"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.533082829603006,"CD8"
"2","knn1-15","CD8",0.664352230027773,"CD8"
"3","knn1-20","CD8",0.70780918150629,"CD8"
"4","knn1-25","CD8",0.740320209116157,"CD8"
"5","knn1-30","CD8",0.769237052769155,"CD8"
"6","knn3-10","CD8",0.197435059630779,"CD8"
"7","knn3-15","CD8",0.353618689756576,"CD8"
"8","knn3-20","CD8",0.427952948864565,"CD8"
"9","knn3-25","CD8",0.488237216141153,"CD8"
"10","knn3-30","CD8",0.53855579153733,"CD8"
"11","knn5-10","CD8",0.0941839568697925,"CD8"
"12","knn5-15","CD8",0.240892011109296,"CD8"
"13","knn5-20","CD8",0.310570168273158,"CD8"
"14","knn5-25","CD8",0.365708217611501,"CD8"
"15","knn5-30","CD8",0.407041333115504,"CD8"
"16","knn1-10","EpCAM",0.239258291128901,"CD8"
"17","knn1-15","EpCAM",0.444045090671459,"CD8"
"18","knn1-20","EpCAM",0.569514785165823,"CD8"
"19","knn1-25","EpCAM",0.658634210096389,"CD8"
"20","knn1-30","EpCAM",0.724146381310243,"CD8"
"21","knn3-10","EpCAM",0.0554647933344225,"CD8"
"22","knn3-15","EpCAM",0.275036758699559,"CD8"
"23","knn3-20","EpCAM",0.433916026793008,"CD8"
"24","knn3-25","EpCAM",0.548194739421663,"CD8"
"25","knn3-30","EpCAM",0.631106028426728,"CD8"
"26","knn5-10","EpCAM",0.00718836791373959,"CD8"
"27","knn5-15","EpCAM",0.169825191962098,"CD8"
"28","knn5-20","EpCAM",0.331236726025159,"CD8"
"29","knn5-25","EpCAM",0.462506126449927,"CD8"
"30","knn5-30","EpCAM",0.562326417252083,"CD8"
"31","knn1-10","SMA",0.371507923541905,"CD8"
"32","knn1-15","SMA",0.676523443881719,"CD8"
"33","knn1-20","SMA",0.816533246201601,"CD8"
"34","knn1-25","SMA",0.891030877307629,"CD8"
"35","knn1-30","SMA",0.931057016827316,"CD8"
"36","knn3-10","SMA",0.0840548929913413,"CD8"
"37","knn3-15","SMA",0.448047704623428,"CD8"
"38","knn3-20","SMA",0.675543211893481,"CD8"
"39","knn3-25","SMA",0.80280999836628,"CD8"
"40","knn3-30","SMA",0.877797745466427,"CD8"
"41","knn5-10","SMA",0.0116810978598268,"CD8"
"42","knn5-15","SMA",0.249469041006372,"CD8"
"43","knn5-20","SMA",0.528671785655939,"CD8"
"44","knn5-25","SMA",0.698987093612155,"CD8"
"45","knn5-30","SMA",0.811223656265316,"CD8"
"46","knn1-10","Unclass",0.248080379023035,"CD8"
"47","knn1-15","Unclass",0.475085770298971,"CD8"
"48","knn1-20","Unclass",0.61975167456298,"CD8"
"49","knn1-25","Unclass",0.715651037412187,"CD8"
"50","knn1-30","Unclass",0.78165332462016,"CD8"
"51","knn3-10","Unclass",0.0671458911942493,"CD8"
"52","knn3-15","Unclass",0.301829766378043,"CD8"
"53","knn3-20","Unclass",0.484397974187224,"CD8"
"54","knn3-25","Unclass",0.611174644665904,"CD8"
"55","knn3-30","Unclass",0.695066165659206,"CD8"
"56","knn5-10","Unclass",0.0102924358764908,"CD8"
"57","knn5-15","Unclass",0.175134781898383,"CD8"
"58","knn5-20","Unclass",0.372814899526221,"CD8"
"59","knn5-25","Unclass",0.526547949681425,"CD8"
"60","knn5-30","Unclass",0.627266786472799,"CD8"
