"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.714628716112979,"CD8"
"2","knn1-15","CD8",0.816824551447156,"CD8"
"3","knn1-20","CD8",0.846378836163618,"CD8"
"4","knn1-25","CD8",0.870301654516087,"CD8"
"5","knn1-30","CD8",0.891867114855721,"CD8"
"6","knn3-10","CD8",0.470074649670406,"CD8"
"7","knn3-15","CD8",0.654297812895621,"CD8"
"8","knn3-20","CD8",0.711005369537696,"CD8"
"9","knn3-25","CD8",0.750731217531759,"CD8"
"10","knn3-30","CD8",0.785218492163967,"CD8"
"11","knn5-10","CD8",0.274719518051251,"CD8"
"12","knn5-15","CD8",0.58872833631641,"CD8"
"13","knn5-20","CD8",0.65172218099271,"CD8"
"14","knn5-25","CD8",0.690487623870433,"CD8"
"15","knn5-30","CD8",0.719518051250709,"CD8"
"16","knn1-10","EpCAM",0.198498275636268,"CD8"
"17","knn1-15","EpCAM",0.348496092897368,"CD8"
"18","knn1-20","EpCAM",0.425241192648535,"CD8"
"19","knn1-25","EpCAM",0.475051294364168,"CD8"
"20","knn1-30","EpCAM",0.512594403457458,"CD8"
"21","knn3-10","EpCAM",0.0547867464093945,"CD8"
"22","knn3-15","EpCAM",0.241148993757367,"CD8"
"23","knn3-20","EpCAM",0.338673767843891,"CD8"
"24","knn3-25","EpCAM",0.395992491378181,"CD8"
"25","knn3-30","EpCAM",0.433491945693456,"CD8"
"26","knn5-10","EpCAM",0.0080324791548435,"CD8"
"27","knn5-15","EpCAM",0.16112978565504,"CD8"
"28","knn5-20","EpCAM",0.283319509320295,"CD8"
"29","knn5-25","EpCAM",0.350853450910202,"CD8"
"30","knn5-30","EpCAM",0.396909241716506,"CD8"
"31","knn1-10","SMA",0.127690225695202,"CD8"
"32","knn1-15","SMA",0.249923604138473,"CD8"
"33","knn1-20","SMA",0.326275810887502,"CD8"
"34","knn1-25","SMA",0.38525341598638,"CD8"
"35","knn1-30","SMA",0.438599554721264,"CD8"
"36","knn3-10","SMA",0.021259876893526,"CD8"
"37","knn3-15","SMA",0.12934910725979,"CD8"
"38","knn3-20","SMA",0.213995721831754,"CD8"
"39","knn3-25","SMA",0.274021041603003,"CD8"
"40","knn3-30","SMA",0.321037237525647,"CD8"
"41","knn5-10","SMA",0.00275025101497359,"CD8"
"42","knn5-15","SMA",0.0623826777840835,"CD8"
"43","knn5-20","SMA",0.150696293709346,"CD8"
"44","knn5-25","SMA",0.216833282402759,"CD8"
"45","knn5-30","SMA",0.267167241454577,"CD8"
"46","knn1-10","Unclass",0.354869690487624,"CD8"
"47","knn1-15","Unclass",0.601650150608984,"CD8"
"48","knn1-20","Unclass",0.752215479984284,"CD8"
"49","knn1-25","Unclass",0.844807264155062,"CD8"
"50","knn1-30","Unclass",0.899113808006286,"CD8"
"51","knn3-10","Unclass",0.0899288427118348,"CD8"
"52","knn3-15","Unclass",0.363513336534684,"CD8"
"53","knn3-20","Unclass",0.570436984327935,"CD8"
"54","knn3-25","Unclass",0.71960536080674,"CD8"
"55","knn3-30","Unclass",0.815558562884708,"CD8"
"56","knn5-10","Unclass",0.0168943990919806,"CD8"
"57","knn5-15","Unclass",0.210154101366395,"CD8"
"58","knn5-20","Unclass",0.421268607849129,"CD8"
"59","knn5-25","Unclass",0.589557777098703,"CD8"
"60","knn5-30","Unclass",0.723054088269961,"CD8"
"61","knn1-10","CD8",0.0258457540052851,"EpCAM"
"62","knn1-15","CD8",0.0688289828276397,"EpCAM"
"63","knn1-20","CD8",0.118357593253155,"EpCAM"
"64","knn1-25","CD8",0.173991156539713,"EpCAM"
"65","knn1-30","CD8",0.231133515319071,"EpCAM"
"66","knn3-10","CD8",0.00112069491806281,"EpCAM"
"67","knn3-15","CD8",0.00966326824290735,"EpCAM"
"68","knn3-20","CD8",0.0252134553161057,"EpCAM"
"69","knn3-25","CD8",0.0486041461351288,"EpCAM"
"70","knn3-30","CD8",0.0805940991269917,"EpCAM"
"71","knn5-10","CD8",0.000135181099065942,"EpCAM"
"72","knn5-15","CD8",0.00260332632717315,"EpCAM"
"73","knn5-20","CD8",0.00818499751441205,"EpCAM"
"74","knn5-25","CD8",0.0173729515702811,"EpCAM"
"75","knn5-30","CD8",0.0316149344589704,"EpCAM"
"76","knn1-10","EpCAM",0.791101595136969,"EpCAM"
"77","knn1-15","EpCAM",0.967451879889413,"EpCAM"
"78","knn1-20","EpCAM",0.987258091242881,"EpCAM"
"79","knn1-25","EpCAM",0.993960457348183,"EpCAM"
"80","knn1-30","EpCAM",0.996886474040868,"EpCAM"
"81","knn3-10","EpCAM",0.442203539128387,"EpCAM"
"82","knn3-15","EpCAM",0.910008634147618,"EpCAM"
"83","knn3-20","EpCAM",0.969933107159365,"EpCAM"
"84","knn3-25","EpCAM",0.986638874595547,"EpCAM"
"85","knn3-30","EpCAM",0.993210420282398,"EpCAM"
"86","knn5-10","EpCAM",0.125295436111668,"EpCAM"
"87","knn5-15","EpCAM",0.797171662553091,"EpCAM"
"88","knn5-20","EpCAM",0.942138128919162,"EpCAM"
"89","knn5-25","EpCAM",0.975240055467857,"EpCAM"
"90","knn5-30","EpCAM",0.987724684068689,"EpCAM"
"91","knn1-10","SMA",0.315791768779271,"EpCAM"
"92","knn1-15","SMA",0.615693217397371,"EpCAM"
"93","knn1-20","SMA",0.776972989944271,"EpCAM"
"94","knn1-25","SMA",0.861369602567569,"EpCAM"
"95","knn1-30","SMA",0.906720680963885,"EpCAM"
"96","knn3-10","SMA",0.0418407305012166,"EpCAM"
"97","knn3-15","SMA",0.34366087858993,"EpCAM"
"98","knn3-20","SMA",0.609317902338197,"EpCAM"
"99","knn3-25","SMA",0.761204768840321,"EpCAM"
"100","knn3-30","SMA",0.842156443777745,"EpCAM"
"101","knn5-10","SMA",0.00305247643052128,"EpCAM"
"102","knn5-15","SMA",0.149087309547274,"EpCAM"
"103","knn5-20","SMA",0.436307898936866,"EpCAM"
"104","knn5-25","SMA",0.650596105040075,"EpCAM"
"105","knn5-30","SMA",0.773022213307053,"EpCAM"
"106","knn1-10","Unclass",0.145310960134658,"EpCAM"
"107","knn1-15","Unclass",0.318848605890407,"EpCAM"
"108","knn1-20","Unclass",0.481148777701224,"EpCAM"
"109","knn1-25","Unclass",0.615858923260743,"EpCAM"
"110","knn1-30","Unclass",0.718845117345915,"EpCAM"
"111","knn3-10","Unclass",0.0196317841288668,"EpCAM"
"112","knn3-15","Unclass",0.128805784006768,"EpCAM"
