"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.537547083541989,"CD8"
"2","knn1-15","CD8",0.804045374382199,"CD8"
"3","knn1-20","CD8",0.86865234020626,"CD8"
"4","knn1-25","CD8",0.903263733153345,"CD8"
"5","knn1-30","CD8",0.926379121397519,"CD8"
"6","knn3-10","CD8",0.116752668974577,"CD8"
"7","knn3-15","CD8",0.449265895911806,"CD8"
"8","knn3-20","CD8",0.64202718688991,"CD8"
"9","knn3-25","CD8",0.749323230783746,"CD8"
"10","knn3-30","CD8",0.815055121310428,"CD8"
"11","knn5-10","CD8",0.0213663117710669,"CD8"
"12","knn5-15","CD8",0.202130825114125,"CD8"
"13","knn5-20","CD8",0.43344437428785,"CD8"
"14","knn5-25","CD8",0.588393680100445,"CD8"
"15","knn5-30","CD8",0.688707933259306,"CD8"
"16","knn1-10","EpCAM",0.267993352057886,"CD8"
"17","knn1-15","EpCAM",0.493754853505773,"CD8"
"18","knn1-20","EpCAM",0.635335699303998,"CD8"
"19","knn1-25","EpCAM",0.729132646766386,"CD8"
"20","knn1-30","EpCAM",0.79118494487869,"CD8"
"21","knn3-10","EpCAM",0.0495184596514911,"CD8"
"22","knn3-15","EpCAM",0.284293873877797,"CD8"
"23","knn3-20","EpCAM",0.476481816136501,"CD8"
"24","knn3-25","EpCAM",0.613613766175329,"CD8"
"25","knn3-30","EpCAM",0.706256758620189,"CD8"
"26","knn5-10","EpCAM",0.00515288089587552,"CD8"
"27","knn5-15","EpCAM",0.145492680731854,"CD8"
"28","knn5-20","EpCAM",0.347463839113995,"CD8"
"29","knn5-25","EpCAM",0.508480480742015,"CD8"
"30","knn5-30","EpCAM",0.625712149912546,"CD8"
"31","knn1-10","EpCAM: SMA",0.100437631997213,"CD8"
"32","knn1-15","EpCAM: SMA",0.267906261113167,"CD8"
"33","knn1-20","EpCAM: SMA",0.429561569669127,"CD8"
"34","knn1-25","EpCAM: SMA",0.564929928077395,"CD8"
"35","knn1-30","EpCAM: SMA",0.667399682118052,"CD8"
"36","knn3-10","EpCAM: SMA",0.00225710698396801,"CD8"
"37","knn3-15","EpCAM: SMA",0.0509409450819018,"CD8"
"38","knn3-20","EpCAM: SMA",0.17410931365078,"CD8"
"39","knn3-25","EpCAM: SMA",0.328463498007795,"CD8"
"40","knn3-30","EpCAM: SMA",0.473956178739649,"CD8"
"41","knn5-10","EpCAM: SMA",7.25757872658524e-06,"CD8"
"42","knn5-15","EpCAM: SMA",0.00633586622830891,"CD8"
"43","knn5-20","EpCAM: SMA",0.0563550988119344,"CD8"
"44","knn5-25","EpCAM: SMA",0.164630915833859,"CD8"
"45","knn5-30","EpCAM: SMA",0.302633775319878,"CD8"
"46","knn1-10","SMA",0.296203560568123,"CD8"
"47","knn1-15","SMA",0.570046521079637,"CD8"
"48","knn1-20","SMA",0.718340627199954,"CD8"
"49","knn1-25","SMA",0.800133539448569,"CD8"
"50","knn1-30","SMA",0.84644414930291,"CD8"
"51","knn3-10","SMA",0.0421157293503741,"CD8"
"52","knn3-15","SMA",0.309818778259197,"CD8"
"53","knn3-20","SMA",0.550959089028718,"CD8"
"54","knn3-25","SMA",0.697380739837575,"CD8"
"55","knn3-30","SMA",0.781858956215028,"CD8"
"56","knn5-10","SMA",0.0054576992023921,"CD8"
"57","knn5-15","SMA",0.133394296994637,"CD8"
"58","knn5-20","SMA",0.380064882753816,"CD8"
"59","knn5-25","SMA",0.578639494291914,"CD8"
"60","knn5-30","SMA",0.704718151930153,"CD8"
"61","knn1-10","Unclass",0.0827218823256185,"CD8"
"62","knn1-15","Unclass",0.201709885547983,"CD8"
"63","knn1-20","Unclass",0.320284206782933,"CD8"
"64","knn1-25","Unclass",0.427093992902088,"CD8"
"65","knn1-30","Unclass",0.521123182883726,"CD8"
"66","knn3-10","Unclass",0.00719951809677255,"CD8"
"67","knn3-15","Unclass",0.0600419488050397,"CD8"
"68","knn3-20","Unclass",0.138663299150138,"CD8"
"69","knn3-25","Unclass",0.225921168179872,"CD8"
"70","knn3-30","Unclass",0.316111099015147,"CD8"
"71","knn5-10","Unclass",0.000638666927939501,"CD8"
"72","knn5-15","Unclass",0.0211848723029023,"CD8"
"73","knn5-20","Unclass",0.0694187405197878,"CD8"
"74","knn5-25","Unclass",0.133394296994637,"CD8"
"75","knn5-30","Unclass",0.205440281013448,"CD8"
"76","knn1-10","CD8",0.0612372222488842,"EpCAM"
"77","knn1-15","CD8",0.143823414351801,"EpCAM"
"78","knn1-20","CD8",0.229414168560879,"EpCAM"
"79","knn1-25","CD8",0.316854779013439,"EpCAM"
"80","knn1-30","CD8",0.401492973600283,"EpCAM"
