"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.50945058818346,"CD8"
"2","knn1-15","CD8",0.666211393576244,"CD8"
"3","knn1-20","CD8",0.71449971361854,"CD8"
"4","knn1-25","CD8",0.756796052341719,"CD8"
"5","knn1-30","CD8",0.791249944926642,"CD8"
"6","knn3-10","CD8",0.112569943164295,"CD8"
"7","knn3-15","CD8",0.295986253689915,"CD8"
"8","knn3-20","CD8",0.410098250870159,"CD8"
"9","knn3-25","CD8",0.500110146715425,"CD8"
"10","knn3-30","CD8",0.576816319337357,"CD8"
"11","knn5-10","CD8",0.0313697845530246,"CD8"
"12","knn5-15","CD8",0.158479094153412,"CD8"
"13","knn5-20","CD8",0.255540379785875,"CD8"
"14","knn5-25","CD8",0.334934132264176,"CD8"
"15","knn5-30","CD8",0.410626955104199,"CD8"
"16","knn1-10","EpCAM",0.202361545578711,"CD8"
"17","knn1-15","EpCAM",0.355641714764066,"CD8"
"18","knn1-20","EpCAM",0.44798872097634,"CD8"
"19","knn1-25","EpCAM",0.512270344098339,"CD8"
"20","knn1-30","EpCAM",0.561043309688505,"CD8"
"21","knn3-10","EpCAM",0.0507115477816452,"CD8"
"22","knn3-15","EpCAM",0.235493677578535,"CD8"
"23","knn3-20","EpCAM",0.356831299290655,"CD8"
"24","knn3-25","EpCAM",0.440234392210424,"CD8"
"25","knn3-30","EpCAM",0.498832444816496,"CD8"
"26","knn5-10","EpCAM",0.00766621139357624,"CD8"
"27","knn5-15","EpCAM",0.135480459972684,"CD8"
"28","knn5-20","EpCAM",0.279288011631493,"CD8"
"29","knn5-25","EpCAM",0.382032867779883,"CD8"
"30","knn5-30","EpCAM",0.451777767986959,"CD8"
"31","knn1-10","SMA",0.492972639555888,"CD8"
"32","knn1-15","SMA",0.773274000969291,"CD8"
"33","knn1-20","SMA",0.871480812442173,"CD8"
"34","knn1-25","SMA",0.923646296867427,"CD8"
"35","knn1-30","SMA",0.952901264484293,"CD8"
"36","knn3-10","SMA",0.170242763360797,"CD8"
"37","knn3-15","SMA",0.61149050535313,"CD8"
"38","knn3-20","SMA",0.788650482442614,"CD8"
"39","knn3-25","SMA",0.870908049521963,"CD8"
"40","knn3-30","SMA",0.919548839053619,"CD8"
"41","knn5-10","SMA",0.0318544301008944,"CD8"
"42","knn5-15","SMA",0.444287791338062,"CD8"
"43","knn5-20","SMA",0.699255408203727,"CD8"
"44","knn5-25","SMA",0.818478212979689,"CD8"
"45","knn5-30","SMA",0.883288540335727,"CD8"
"46","knn1-10","Unclass",0.24589152751465,"CD8"
"47","knn1-15","Unclass",0.42961624884346,"CD8"
"48","knn1-20","Unclass",0.540732255364145,"CD8"
"49","knn1-25","Unclass",0.628320923470062,"CD8"
"50","knn1-30","Unclass",0.697140591267568,"CD8"
"51","knn3-10","Unclass",0.0703176631272855,"CD8"
"52","knn3-15","Unclass",0.282504295721902,"CD8"
"53","knn3-20","Unclass",0.405251795391461,"CD8"
"54","knn3-25","Unclass",0.498127505837776,"CD8"
"55","knn3-30","Unclass",0.577300964885227,"CD8"
"56","knn5-10","Unclass",0.0108384367978147,"CD8"
"57","knn5-15","Unclass",0.181918315195841,"CD8"
"58","knn5-20","Unclass",0.321760585099352,"CD8"
"59","knn5-25","Unclass",0.415737762699916,"CD8"
"60","knn5-30","Unclass",0.493104815614398,"CD8"
"61","knn1-10","CD8",0.0329387430566753,"EpCAM"
"62","knn1-15","CD8",0.0822078521426308,"EpCAM"
"63","knn1-20","CD8",0.140445596027779,"EpCAM"
"64","knn1-25","CD8",0.20820799670835,"EpCAM"
"65","knn1-30","CD8",0.280707704796802,"EpCAM"
"66","knn3-10","CD8",0.00111760421242264,"EpCAM"
"67","knn3-15","CD8",0.0113094874033217,"EpCAM"
"68","knn3-20","CD8",0.0305144871531118,"EpCAM"
"69","knn3-25","CD8",0.0598891292139517,"EpCAM"
"70","knn3-30","CD8",0.0990441981884803,"EpCAM"
"71","knn5-10","CD8",2.22408798492068e-05,"EpCAM"
"72","knn5-15","CD8",0.00143453675027384,"EpCAM"
"73","knn5-20","CD8",0.00640537339657157,"EpCAM"
"74","knn5-25","CD8",0.0172922840827583,"EpCAM"
"75","knn5-30","CD8",0.0357800154574115,"EpCAM"
"76","knn1-10","EpCAM",0.770318433797241,"EpCAM"
"77","knn1-15","EpCAM",0.948239912370933,"EpCAM"
"78","knn1-20","EpCAM",0.975418267546664,"EpCAM"
"79","knn1-25","EpCAM",0.986288497572964,"EpCAM"
"80","knn1-30","EpCAM",0.991865398195153,"EpCAM"
"81","knn3-10","EpCAM",0.376577017386808,"EpCAM"
"82","knn3-15","EpCAM",0.834116397644691,"EpCAM"
"83","knn3-20","EpCAM",0.935201196559336,"EpCAM"
"84","knn3-25","EpCAM",0.967344828161402,"EpCAM"
"85","knn3-30","EpCAM",0.981417744885988,"EpCAM"
"86","knn5-10","EpCAM",0.102430372145522,"EpCAM"
"87","knn5-15","EpCAM",0.640815350655272,"EpCAM"
"88","knn5-20","EpCAM",0.862123225594804,"EpCAM"
"89","knn5-25","EpCAM",0.936218716812437,"EpCAM"
"90","knn5-30","EpCAM",0.965220824135803,"EpCAM"
"91","knn1-10","SMA",0.477205878264544,"EpCAM"
"92","knn1-15","SMA",0.780565919187763,"EpCAM"
"93","knn1-20","SMA",0.899398940222075,"EpCAM"
"94","knn1-25","SMA",0.953360874956213,"EpCAM"
"95","knn1-30","SMA",0.976863924736863,"EpCAM"
"96","knn3-10","SMA",0.132816974239501,"EpCAM"
"97","knn3-15","SMA",0.594009419012616,"EpCAM"
"98","knn3-20","SMA",0.813571384883986,"EpCAM"
"99","knn3-25","SMA",0.910852993344417,"EpCAM"
"100","knn3-30","SMA",0.956218828016836,"EpCAM"
"101","knn5-10","SMA",0.0210621132171989,"EpCAM"
"102","knn5-15","SMA",0.382993511223304,"EpCAM"
"103","knn5-20","SMA",0.706120134112506,"EpCAM"
"104","knn5-25","SMA",0.857808494904058,"EpCAM"
"105","knn5-30","SMA",0.929162797680276,"EpCAM"
"106","knn1-10","Unclass",0.0492579886460308,"EpCAM"
"107","knn1-15","Unclass",0.132277632903158,"EpCAM"
"108","knn1-20","Unclass",0.25342926566175,"EpCAM"
"109","knn1-25","Unclass",0.385045232389393,"EpCAM"
"110","knn1-30","Unclass",0.507820449376977,"EpCAM"
"111","knn3-10","Unclass",0.00400891859281953,"EpCAM"
"112","knn3-15","Unclass",0.0345512068457428,"EpCAM"
"113","knn3-20","Unclass",0.0993778113862184,"EpCAM"
"114","knn3-25","Unclass",0.199167079049647,"EpCAM"
"115","knn3-30","Unclass",0.314341475348765,"EpCAM"
"116","knn5-10","Unclass",0.000339173417700404,"EpCAM"
"117","knn5-15","Unclass",0.0105199361686748,"EpCAM"
"118","knn5-20","Unclass",0.0430805842679136,"EpCAM"
"119","knn5-25","Unclass",0.106500453157927,"EpCAM"
"120","knn5-30","Unclass",0.198271883635717,"EpCAM"
"121","knn1-10","CD8",0.0414747779813266,"SMA"
"122","knn1-15","CD8",0.105584597764659,"SMA"
"123","knn1-20","CD8",0.177070453210453,"SMA"
"124","knn1-25","CD8",0.254886288352033,"SMA"
"125","knn1-30","CD8",0.332997164920111,"SMA"
"126","knn3-10","CD8",0.0018373034286496,"SMA"
"127","knn3-15","CD8",0.0176729814472587,"SMA"
"128","knn3-20","CD8",0.0456777772115367,"SMA"
"129","knn3-25","CD8",0.0850738542334421,"SMA"
"130","knn3-30","CD8",0.13438064099091,"SMA"
"131","knn5-10","CD8",0.000128745349744789,"SMA"
"132","knn5-15","CD8",0.00385967829755733,"SMA"
"133","knn5-20","CD8",0.0142290433415856,"SMA"
"134","knn5-25","CD8",0.0320629564760252,"SMA"
"135","knn5-30","CD8",0.0585228080433657,"SMA"
"136","knn1-10","EpCAM",0.256825515182564,"SMA"
"137","knn1-15","EpCAM",0.480536653532853,"SMA"
"138","knn1-20","EpCAM",0.621743480255023,"SMA"
"139","knn1-25","EpCAM",0.708303270400103,"SMA"
"140","knn1-30","EpCAM",0.762022267581116,"SMA"
"141","knn3-10","EpCAM",0.0450930587481124,"SMA"
"142","knn3-15","EpCAM",0.286823181673099,"SMA"
"143","knn3-20","EpCAM",0.484712830815199,"SMA"
"144","knn3-25","EpCAM",0.615217700339834,"SMA"
"145","knn3-30","EpCAM",0.6948440169622,"SMA"
"146","knn5-10","EpCAM",0.00375775489567603,"SMA"
"147","knn5-15","EpCAM",0.139551912538992,"SMA"
"148","knn5-20","EpCAM",0.358765010232573,"SMA"
"149","knn5-25","EpCAM",0.525055722596686,"SMA"
"150","knn5-30","EpCAM",0.63257686499709,"SMA"
"151","knn1-10","SMA",0.800374970831132,"SMA"
"152","knn1-15","SMA",0.970249095429808,"SMA"
"153","knn1-20","SMA",0.98882329432528,"SMA"
"154","knn1-25","SMA",0.994713394076105,"SMA"
"155","knn1-30","SMA",0.997084454267238,"SMA"
"156","knn3-10","SMA",0.46053016262147,"SMA"
"157","knn3-15","SMA",0.906748133862977,"SMA"
"158","knn3-20","SMA",0.970418073701348,"SMA"
"159","knn3-25","SMA",0.987439281815524,"SMA"
"160","knn3-30","SMA",0.993476902279597,"SMA"
"161","knn5-10","SMA",0.151702254921157,"SMA"
"162","knn5-15","SMA",0.78441591185235,"SMA"
"163","knn5-20","SMA",0.936499038433169,"SMA"
"164","knn5-25","SMA",0.974629119515917,"SMA"
"165","knn5-30","SMA",0.987605577892278,"SMA"
"166","knn1-10","Unclass",0.143856835171084,"SMA"
"167","knn1-15","Unclass",0.308827907700313,"SMA"
"168","knn1-20","Unclass",0.438538847568188,"SMA"
"169","knn1-25","Unclass",0.539944585855714,"SMA"
"170","knn1-30","Unclass",0.620651826976979,"SMA"
"171","knn3-10","Unclass",0.0178768282510212,"SMA"
"172","knn3-15","Unclass",0.13200689860499,"SMA"
"173","knn3-20","Unclass",0.257691864098555,"SMA"
"174","knn3-25","Unclass",0.368284119529328,"SMA"
"175","knn3-30","Unclass",0.462024145117467,"SMA"
"176","knn5-10","Unclass",0.00198482414189883,"SMA"
"177","knn5-15","Unclass",0.0562375780853957,"SMA"
"178","knn5-20","Unclass",0.158152933382328,"SMA"
"179","knn5-25","Unclass",0.26122967902175,"SMA"
"180","knn5-30","Unclass",0.355221830919805,"SMA"
"181","knn1-10","CD8",0.0435280086692779,"Unclass"
"182","knn1-15","CD8",0.107990628462111,"Unclass"
"183","knn1-20","CD8",0.177139017199315,"Unclass"
"184","knn1-25","CD8",0.247377119644511,"Unclass"
"185","knn1-30","CD8",0.316785828878624,"Unclass"
"186","knn3-10","CD8",0.0024942335982952,"Unclass"
"187","knn3-15","CD8",0.0215036838377295,"Unclass"
"188","knn3-20","CD8",0.0520096136964905,"Unclass"
"189","knn3-25","CD8",0.0926983127599421,"Unclass"
"190","knn3-30","CD8",0.139556002203643,"Unclass"
"191","knn5-10","CD8",0.000211888776554204,"Unclass"
"192","knn5-15","CD8",0.00603580314927262,"Unclass"
"193","knn5-20","CD8",0.0207045604518679,"Unclass"
"194","knn5-25","CD8",0.0432616342073241,"Unclass"
"195","knn5-30","CD8",0.0730774120510228,"Unclass"
"196","knn1-10","EpCAM",0.0515313504579825,"Unclass"
"197","knn1-15","EpCAM",0.122550414393907,"Unclass"
"198","knn1-20","EpCAM",0.202874422603084,"Unclass"
"199","knn1-25","EpCAM",0.274286994266895,"Unclass"
"200","knn1-30","EpCAM",0.333991197534825,"Unclass"
"201","knn3-10","EpCAM",0.00613266658998311,"Unclass"
"202","knn3-15","EpCAM",0.0503568812393677,"Unclass"
"203","knn3-20","EpCAM",0.118815117961509,"Unclass"
"204","knn3-25","EpCAM",0.19088757181516,"Unclass"
"205","knn3-30","EpCAM",0.253261573667674,"Unclass"
"206","knn5-10","EpCAM",0.000538802888952119,"Unclass"
"207","knn5-15","EpCAM",0.0208498556129337,"Unclass"
"208","knn5-20","EpCAM",0.073228761177133,"Unclass"
"209","knn5-25","EpCAM",0.14121478862581,"Unclass"
"210","knn5-30","EpCAM",0.204448453514629,"Unclass"
"211","knn1-10","SMA",0.286679460712794,"Unclass"
"212","knn1-15","SMA",0.538645485860965,"Unclass"
"213","knn1-20","SMA",0.684424964130257,"Unclass"
"214","knn1-25","SMA",0.776009347322029,"Unclass"
"215","knn1-30","SMA",0.835707496624915,"Unclass"
"216","knn3-10","SMA",0.0679315417632779,"Unclass"
"217","knn3-15","SMA",0.334645025759621,"Unclass"
"218","knn3-20","SMA",0.535806176255138,"Unclass"
"219","knn3-25","SMA",0.671281806018852,"Unclass"
"220","knn3-30","SMA",0.76045671112295,"Unclass"
"221","knn5-10","SMA",0.0114177780737494,"Unclass"
"222","knn5-15","SMA",0.190863355954983,"Unclass"
"223","knn5-20","SMA",0.409714192310254,"Unclass"
"224","knn5-25","SMA",0.572547690109637,"Unclass"
"225","knn5-30","SMA",0.688923060158251,"Unclass"
"226","knn1-10","Unclass",0.63401359720549,"Unclass"
"227","knn1-15","Unclass",0.886270212675792,"Unclass"
"228","knn1-20","Unclass",0.941167567698464,"Unclass"
"229","knn1-25","Unclass",0.963494590782233,"Unclass"
"230","knn1-30","Unclass",0.974797343520138,"Unclass"
"231","knn3-10","Unclass",0.250101403914494,"Unclass"
"232","knn3-15","Unclass",0.714470792645643,"Unclass"
"233","knn3-20","Unclass",0.862478130051277,"Unclass"
"234","knn3-25","Unclass",0.918277525865566,"Unclass"
"235","knn3-30","Unclass",0.944666759494131,"Unclass"
"236","knn5-10","Unclass",0.0560657702762424,"Unclass"
"237","knn5-15","Unclass",0.511705341413359,"Unclass"
"238","knn5-20","Unclass",0.760916812466325,"Unclass"
"239","knn5-25","Unclass",0.859765953711383,"Unclass"
"240","knn5-30","Unclass",0.90718060793917,"Unclass"
