"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.471048277936532,"CD8"
"2","knn1-15","CD8",0.693638141073846,"CD8"
"3","knn1-20","CD8",0.786283651676944,"CD8"
"4","knn1-25","CD8",0.858775755752745,"CD8"
"5","knn1-30","CD8",0.911640848247857,"CD8"
"6","knn3-10","CD8",0.092871108437359,"CD8"
"7","knn3-15","CD8",0.324635283501278,"CD8"
"8","knn3-20","CD8",0.519401413746428,"CD8"
"9","knn3-25","CD8",0.671454354038201,"CD8"
"10","knn3-30","CD8",0.784027673334336,"CD8"
"11","knn5-10","CD8",0.0178222289066025,"CD8"
"12","knn5-15","CD8",0.138291472401865,"CD8"
"13","knn5-20","CD8",0.301774702962852,"CD8"
"14","knn5-25","CD8",0.464129944352534,"CD8"
"15","knn5-30","CD8",0.616182884644307,"CD8"
"16","knn1-10","EpCAM",0.531433298240337,"CD8"
"17","knn1-15","EpCAM",0.834787186043014,"CD8"
"18","knn1-20","EpCAM",0.920965558730636,"CD8"
"19","knn1-25","EpCAM",0.95713641149045,"CD8"
"20","knn1-30","EpCAM",0.973605053391487,"CD8"
"21","knn3-10","EpCAM",0.154760114302903,"CD8"
"22","knn3-15","EpCAM",0.666416002406377,"CD8"
"23","knn3-20","EpCAM",0.854263799067529,"CD8"
"24","knn3-25","EpCAM",0.923296736351331,"CD8"
"25","knn3-30","EpCAM",0.958038802827493,"CD8"
"26","knn5-10","EpCAM",0.020529402917732,"CD8"
"27","knn5-15","EpCAM",0.440517371033238,"CD8"
"28","knn5-20","EpCAM",0.762746277635735,"CD8"
"29","knn5-25","EpCAM",0.881711535569259,"CD8"
"30","knn5-30","EpCAM",0.935930215069935,"CD8"
"31","knn1-10","EpCAM: SMA",0.00330876823582494,"CD8"
"32","knn1-15","EpCAM: SMA",0.0101519025417356,"CD8"
"33","knn1-20","EpCAM: SMA",0.0173710332380809,"CD8"
"34","knn1-25","EpCAM: SMA",0.0270717401112949,"CD8"
"35","knn1-30","EpCAM: SMA",0.0369980448187697,"CD8"
"36","knn3-10","EpCAM: SMA",7.51992780869304e-05,"CD8"
"37","knn3-15","EpCAM: SMA",0.000300797112347721,"CD8"
"38","knn3-20","EpCAM: SMA",0.000526394946608513,"CD8"
"39","knn3-25","EpCAM: SMA",0.000751992780869304,"CD8"
"40","knn3-30","EpCAM: SMA",0.00120318844939089,"CD8"
