"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.601272631137528,"CD8"
"2","knn1-15","CD8",0.729976115375499,"CD8"
"3","knn1-20","CD8",0.782959870184331,"CD8"
"4","knn1-25","CD8",0.823563731835834,"CD8"
"5","knn1-30","CD8",0.85434025562018,"CD8"
"6","knn3-10","CD8",0.212728134629059,"CD8"
"7","knn3-15","CD8",0.384651849690959,"CD8"
"8","knn3-20","CD8",0.50065637136033,"CD8"
"9","knn3-25","CD8",0.591071526245738,"CD8"
"10","knn3-30","CD8",0.663108283041917,"CD8"
"11","knn5-10","CD8",0.0746531259686036,"CD8"
"12","knn5-15","CD8",0.21890896493883,"CD8"
"13","knn5-20","CD8",0.337584553393987,"CD8"
"14","knn5-25","CD8",0.433779422757854,"CD8"
"15","knn5-30","CD8",0.514604262767335,"CD8"
"16","knn1-10","EpCAM",0.212345251335533,"CD8"
"17","knn1-15","EpCAM",0.369518843327803,"CD8"
"18","knn1-20","EpCAM",0.468093058872865,"CD8"
"19","knn1-25","EpCAM",0.543913067259832,"CD8"
"20","knn1-30","EpCAM",0.598665378233996,"CD8"
"21","knn3-10","EpCAM",0.0819552573522709,"CD8"
"22","knn3-15","EpCAM",0.28264080077306,"CD8"
"23","knn3-20","EpCAM",0.401781318941783,"CD8"
"24","knn3-25","EpCAM",0.487337502506974,"CD8"
"25","knn3-30","EpCAM",0.551579849399238,"CD8"
"26","knn5-10","EpCAM",0.0246959724324029,"CD8"
"27","knn5-15","EpCAM",0.201542472696775,"CD8"
"28","knn5-20","EpCAM",0.341513665287071,"CD8"
"29","knn5-25","EpCAM",0.440953926377012,"CD8"
"30","knn5-30","EpCAM",0.513783798566923,"CD8"
"31","knn1-10","EpCAM: SMA",0.084298138457892,"CD8"
"32","knn1-15","EpCAM: SMA",0.180073659452659,"CD8"
"33","knn1-20","EpCAM: SMA",0.259476361514759,"CD8"
"34","knn1-25","EpCAM: SMA",0.325742520101373,"CD8"
"35","knn1-30","EpCAM: SMA",0.379829343446314,"CD8"
"36","knn3-10","EpCAM: SMA",0.0127992415264281,"CD8"
"37","knn3-15","EpCAM: SMA",0.0808521888161613,"CD8"
