"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.49375208263912,"CD8"
"2","knn1-15","CD8",0.70205764745085,"CD8"
"3","knn1-20","CD8",0.794026991002999,"CD8"
"4","knn1-25","CD8",0.861046317894035,"CD8"
"5","knn1-30","CD8",0.908988670443186,"CD8"
"6","knn3-10","CD8",0.0923858713762079,"CD8"
"7","knn3-15","CD8",0.346467844051983,"CD8"
"8","knn3-20","CD8",0.539236921026325,"CD8"
"9","knn3-25","CD8",0.681856047984005,"CD8"
"10","knn3-30","CD8",0.784821726091303,"CD8"
"11","knn5-10","CD8",0.0136621126291236,"CD8"
"12","knn5-15","CD8",0.149950016661113,"CD8"
"13","knn5-20","CD8",0.331306231256248,"CD8"
"14","knn5-25","CD8",0.494043652115961,"CD8"
"15","knn5-30","CD8",0.627165944685105,"CD8"
"16","knn1-10","EpCAM",0.347675774741753,"CD8"
"17","knn1-15","EpCAM",0.539861712762413,"CD8"
"18","knn1-20","EpCAM",0.619751749416861,"CD8"
"19","knn1-25","EpCAM",0.6669026991003,"CD8"
"20","knn1-30","EpCAM",0.697225924691769,"CD8"
"21","knn3-10","EpCAM",0.127874041986005,"CD8"
"22","knn3-15","EpCAM",0.437104298567144,"CD8"
"23","knn3-20","EpCAM",0.562729090303232,"CD8"
"24","knn3-25","EpCAM",0.627082639120293,"CD8"
"25","knn3-30","EpCAM",0.667694101966011,"CD8"
"26","knn5-10","EpCAM",0.0279906697767411,"CD8"
"27","knn5-15","EpCAM",0.321101299566811,"CD8"
"28","knn5-20","EpCAM",0.504040319893369,"CD8"
"29","knn5-25","EpCAM",0.591386204598467,"CD8"
"30","knn5-30","EpCAM",0.640203265578141,"CD8"
"31","knn1-10","EpCAM: SMA",0.00204098633788737,"CD8"
"32","knn1-15","EpCAM: SMA",0.0056647784071976,"CD8"
"33","knn1-20","EpCAM: SMA",0.00874708430523159,"CD8"
"34","knn1-25","EpCAM: SMA",0.011996001332889,"CD8"
"35","knn1-30","EpCAM: SMA",0.0156614461846051,"CD8"
"36","knn3-10","EpCAM: SMA",8.33055648117294e-05,"CD8"
"37","knn3-15","EpCAM: SMA",0.000958013995334888,"CD8"
"38","knn3-20","EpCAM: SMA",0.00183272242585805,"CD8"
"39","knn3-25","EpCAM: SMA",0.00254081972675775,"CD8"
"40","knn3-30","EpCAM: SMA",0.00304065311562812,"CD8"
"41","knn5-10","EpCAM: SMA",0,"CD8"
"42","knn5-15","EpCAM: SMA",0.000416527824058647,"CD8"
"43","knn5-20","EpCAM: SMA",0.0007080973008997,"CD8"
"44","knn5-25","EpCAM: SMA",0.00133288903698767,"CD8"
"45","knn5-30","EpCAM: SMA",0.00204098633788737,"CD8"
"46","knn1-10","SMA",0.0573975341552816,"CD8"
"47","knn1-15","SMA",0.116002999000333,"CD8"
"48","knn1-20","SMA",0.168360546484505,"CD8"
"49","knn1-25","SMA",0.214595134955015,"CD8"
"50","knn1-30","SMA",0.25745584805065,"CD8"
"51","knn3-10","SMA",0.00737254248583805,"CD8"
"52","knn3-15","SMA",0.0452765744751749,"CD8"
"53","knn3-20","SMA",0.084971676107964,"CD8"
"54","knn3-25","SMA",0.125291569476841,"CD8"
"55","knn3-30","SMA",0.161987670776408,"CD8"
"56","knn5-10","SMA",0.00108297234255248,"CD8"
"57","knn5-15","SMA",0.0201599466844385,"CD8"
"58","knn5-20","SMA",0.0491086304565145,"CD8"
"59","knn5-25","SMA",0.082514161946018,"CD8"
"60","knn5-30","SMA",0.116044651782739,"CD8"
"61","knn1-10","Unclass",0.570393202265911,"CD8"
"62","knn1-15","Unclass",0.826807730756415,"CD8"
"63","knn1-20","Unclass",0.905239920026658,"CD8"
"64","knn1-25","Unclass",0.940936354548484,"CD8"
"65","knn1-30","Unclass",0.96172109296901,"CD8"
"66","knn3-10","Unclass",0.224091969343552,"CD8"
"67","knn3-15","Unclass",0.685688103965345,"CD8"
"68","knn3-20","Unclass",0.833888703765412,"CD8"
"69","knn3-25","Unclass",0.899325224925025,"CD8"
"70","knn3-30","Unclass",0.933355548150616,"CD8"
"71","knn5-10","Unclass",0.0433188937020993,"CD8"
"72","knn5-15","Unclass",0.525533155614795,"CD8"
"73","knn5-20","Unclass",0.7507080973009,"CD8"
"74","knn5-25","Unclass",0.84971676107964,"CD8"
"75","knn5-30","Unclass",0.903698767077641,"CD8"
"76","knn1-10","CD8",0.0983140935138277,"EpCAM"
"77","knn1-15","CD8",0.238161282285524,"EpCAM"
"78","knn1-20","CD8",0.383697367328295,"EpCAM"
"79","knn1-25","CD8",0.518735985383274,"EpCAM"
"80","knn1-30","CD8",0.633759654513745,"EpCAM"
"81","knn3-10","CD8",0.00483348559089777,"EpCAM"
"82","knn3-15","CD8",0.0521883564487999,"EpCAM"
"83","knn3-20","CD8",0.144763723943194,"EpCAM"
"84","knn3-25","CD8",0.266074246325056,"EpCAM"
"85","knn3-30","CD8",0.394958890457603,"EpCAM"
"86","knn5-10","CD8",0.000265758657918778,"EpCAM"
"87","knn5-15","CD8",0.010655261190931,"EpCAM"
"88","knn5-20","CD8",0.0494726351631924,"EpCAM"
"89","knn5-25","CD8",0.124989618802425,"EpCAM"
"90","knn5-30","CD8",0.227016028569056,"EpCAM"
"91","knn1-10","EpCAM",0.858076571713313,"EpCAM"
"92","knn1-15","EpCAM",0.985258699443568,"EpCAM"
"93","knn1-20","EpCAM",0.994975500373723,"EpCAM"
"94","knn1-25","EpCAM",0.99774935636575,"EpCAM"
"95","knn1-30","EpCAM",0.998787476123246,"EpCAM"
"96","knn3-10","EpCAM",0.530778174570218,"EpCAM"
"97","knn3-15","EpCAM",0.943260526534341,"EpCAM"
"98","knn3-20","EpCAM",0.985433103562827,"EpCAM"
"99","knn3-25","EpCAM",0.994394153309526,"EpCAM"
"100","knn3-30","EpCAM",0.997093264679013,"EpCAM"
"101","knn5-10","EpCAM",0.181587907981065,"EpCAM"
"102","knn5-15","EpCAM",0.833859314010464,"EpCAM"
"103","knn5-20","EpCAM",0.964446474545304,"EpCAM"
"104","knn5-25","EpCAM",0.987999335603355,"EpCAM"
"105","knn5-30","EpCAM",0.994435678099826,"EpCAM"
"106","knn1-10","EpCAM: SMA",0.00324723860144506,"EpCAM"
"107","knn1-15","EpCAM: SMA",0.00687650527364837,"EpCAM"
"108","knn1-20","EpCAM: SMA",0.0112033884228885,"EpCAM"
"109","knn1-25","EpCAM: SMA",0.0159870442654265,"EpCAM"
"110","knn1-30","EpCAM: SMA",0.0215347562494809,"EpCAM"
"111","knn3-10","EpCAM: SMA",0.000141184287019351,"EpCAM"
"112","knn3-15","EpCAM: SMA",0.000764056141516485,"EpCAM"
"113","knn3-20","EpCAM: SMA",0.00162777177975251,"EpCAM"
"114","knn3-25","EpCAM: SMA",0.00247487750186862,"EpCAM"
"115","knn3-30","EpCAM: SMA",0.00327215347562495,"EpCAM"
"116","knn5-10","EpCAM: SMA",2.49148741798854e-05,"EpCAM"
"117","knn5-15","EpCAM: SMA",0.000282368574038701,"EpCAM"
"118","knn5-20","EpCAM: SMA",0.000705921435096753,"EpCAM"
