"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.518745227185949,"CD8"
"2","knn1-15","CD8",0.744881156930126,"CD8"
"3","knn1-20","CD8",0.823787705231004,"CD8"
"4","knn1-25","CD8",0.869809564719359,"CD8"
"5","knn1-30","CD8",0.900761263841161,"CD8"
"6","knn3-10","CD8",0.143256013745704,"CD8"
"7","knn3-15","CD8",0.42436282932417,"CD8"
"8","knn3-20","CD8",0.60106433753341,"CD8"
"9","knn3-25","CD8",0.707677071401298,"CD8"
"10","knn3-30","CD8",0.778016418480336,"CD8"
"11","knn5-10","CD8",0.0406882397861779,"CD8"
"12","knn5-15","CD8",0.223451221840397,"CD8"
"13","knn5-20","CD8",0.412311473844979,"CD8"
"14","knn5-25","CD8",0.553789614356625,"CD8"
"15","knn5-30","CD8",0.654066437571592,"CD8"
"16","knn1-10","EpCAM",0.254665425735013,"CD8"
"17","knn1-15","EpCAM",0.447845074455899,"CD8"
"18","knn1-20","EpCAM",0.559600515463918,"CD8"
"19","knn1-25","EpCAM",0.632875143184422,"CD8"
"20","knn1-30","EpCAM",0.685913039327988,"CD8"
"21","knn3-10","EpCAM",0.0508066055746468,"CD8"
"22","knn3-15","EpCAM",0.286523959526537,"CD8"
"23","knn3-20","EpCAM",0.452426975945017,"CD8"
"24","knn3-25","EpCAM",0.559003913707522,"CD8"
"25","knn3-30","EpCAM",0.630512600229095,"CD8"
"26","knn5-10","EpCAM",0.00479667812142039,"CD8"
"27","knn5-15","EpCAM",0.157013650248186,"CD8"
"28","knn5-20","EpCAM",0.350515463917526,"CD8"
"29","knn5-25","EpCAM",0.487017945780832,"CD8"
"30","knn5-30","EpCAM",0.57786846124475,"CD8"
"31","knn1-10","EpCAM: SMA",0.106421821305842,"CD8"
"32","knn1-15","EpCAM: SMA",0.233104238258877,"CD8"
"33","knn1-20","EpCAM: SMA",0.33403732340588,"CD8"
"34","knn1-25","EpCAM: SMA",0.415413802978236,"CD8"
"35","knn1-30","EpCAM: SMA",0.477436521573119,"CD8"
"36","knn3-10","EpCAM: SMA",0.00806605574646812,"CD8"
"37","knn3-15","EpCAM: SMA",0.0929863497518137,"CD8"
"38","knn3-20","EpCAM: SMA",0.204837247040855,"CD8"
"39","knn3-25","EpCAM: SMA",0.302620274914089,"CD8"
"40","knn3-30","EpCAM: SMA",0.379975658648339,"CD8"
"41","knn5-10","EpCAM: SMA",0.000310232913325697,"CD8"
"42","knn5-15","EpCAM: SMA",0.0281596029018709,"CD8"
"43","knn5-20","EpCAM: SMA",0.115883925162276,"CD8"
"44","knn5-25","EpCAM: SMA",0.216363592974418,"CD8"
"45","knn5-30","EpCAM: SMA",0.305102138220695,"CD8"
"46","knn1-10","SMA",0.0754581901489118,"CD8"
"47","knn1-15","SMA",0.182261836578847,"CD8"
"48","knn1-20","SMA",0.288492745322642,"CD8"
"49","knn1-25","SMA",0.384987113402062,"CD8"
"50","knn1-30","SMA",0.46846363115693,"CD8"
"51","knn3-10","SMA",0.00353188239786178,"CD8"
"52","knn3-15","SMA",0.0477520045819015,"CD8"
"53","knn3-20","SMA",0.12768470790378,"CD8"
"54","knn3-25","SMA",0.219597174494082,"CD8"
"55","knn3-30","SMA",0.313287514318442,"CD8"
"56","knn5-10","SMA",0.00025057273768614,"CD8"
"57","knn5-15","SMA",0.0103092783505155,"CD8"
"58","knn5-20","SMA",0.0510333142420771,"CD8"
"59","knn5-25","SMA",0.121050496372661,"CD8"
"60","knn5-30","SMA",0.204324169530355,"CD8"
"61","knn1-10","Unclass",0.215003340969836,"CD8"
"62","knn1-15","Unclass",0.383483676975945,"CD8"
"63","knn1-20","Unclass",0.493461244749905,"CD8"
"64","knn1-25","Unclass",0.576257636502482,"CD8"
"65","knn1-30","Unclass",0.642647479954181,"CD8"
"66","knn3-10","Unclass",0.05684421534937,"CD8"
"67","knn3-15","Unclass",0.238795819014891,"CD8"
"68","knn3-20","Unclass",0.365370847651775,"CD8"
"69","knn3-25","Unclass",0.462306701030928,"CD8"
"70","knn3-30","Unclass",0.540640511645666,"CD8"
"71","knn5-10","Unclass",0.0107268995799924,"CD8"
"72","knn5-15","Unclass",0.148231672394044,"CD8"
"73","knn5-20","Unclass",0.278434039709813,"CD8"
"74","knn5-25","Unclass",0.383042191676212,"CD8"
"75","knn5-30","Unclass",0.467795437189767,"CD8"
"76","knn1-10","CD8",0.0403777741082694,"EpCAM"
"77","knn1-15","CD8",0.0970839699306944,"EpCAM"
"78","knn1-20","CD8",0.161424524535919,"EpCAM"
"79","knn1-25","CD8",0.22962233811456,"EpCAM"
"80","knn1-30","CD8",0.297914739506765,"EpCAM"
"81","knn3-10","CD8",0.00204245549964009,"EpCAM"
"82","knn3-15","CD8",0.0210161296269873,"EpCAM"
"83","knn3-20","CD8",0.0544938028950284,"EpCAM"
"84","knn3-25","CD8",0.0980683244650578,"EpCAM"
"85","knn3-30","CD8",0.148010690026116,"EpCAM"
"86","knn5-10","CD8",0.000125048295896332,"EpCAM"
"87","knn5-15","CD8",0.00441035720526678,"EpCAM"
"88","knn5-20","CD8",0.0199243618128155,"EpCAM"
"89","knn5-25","CD8",0.0463271872630295,"EpCAM"
"90","knn5-30","CD8",0.081435297927565,"EpCAM"
"91","knn1-10","EpCAM",0.802947933416592,"EpCAM"
"92","knn1-15","EpCAM",0.970738698760258,"EpCAM"
"93","knn1-20","EpCAM",0.989890326231766,"EpCAM"
"94","knn1-25","EpCAM",0.995971200415545,"EpCAM"
"95","knn1-30","EpCAM",0.997968766783325,"EpCAM"
"96","knn3-10","EpCAM",0.424155803763954,"EpCAM"
"97","knn3-15","EpCAM",0.895098908392504,"EpCAM"
"98","knn3-20","EpCAM",0.972090182265907,"EpCAM"
"99","knn3-25","EpCAM",0.989858262566151,"EpCAM"
"100","knn3-30","EpCAM",0.99545016584931,"EpCAM"
"101","knn5-10","EpCAM",0.117760224702169,"EpCAM"
"102","knn5-15","EpCAM",0.734666754307353,"EpCAM"
"103","knn5-20","EpCAM",0.931914409251009,"EpCAM"
"104","knn5-25","EpCAM",0.977609942301434,"EpCAM"
"105","knn5-30","EpCAM",0.990706346521653,"EpCAM"
"106","knn1-10","EpCAM: SMA",0.259502468100661,"EpCAM"
"107","knn1-15","EpCAM: SMA",0.48841299283858,"EpCAM"
"108","knn1-20","EpCAM: SMA",0.628888721445302,"EpCAM"
"109","knn1-25","EpCAM: SMA",0.721094204652759,"EpCAM"
"110","knn1-30","EpCAM: SMA",0.780447256071656,"EpCAM"
"111","knn3-10","EpCAM: SMA",0.0316067583794382,"EpCAM"
"112","knn3-15","EpCAM: SMA",0.240540016256278,"EpCAM"
"113","knn3-20","EpCAM: SMA",0.436968444543486,"EpCAM"
"114","knn3-25","EpCAM: SMA",0.57591954585024,"EpCAM"
"115","knn3-30","EpCAM: SMA",0.670407962049445,"EpCAM"
"116","knn5-10","EpCAM: SMA",0.00208894781478103,"EpCAM"
"117","knn5-15","EpCAM: SMA",0.091107302660162,"EpCAM"
"118","knn5-20","EpCAM: SMA",0.281114981908077,"EpCAM"
"119","knn5-25","EpCAM: SMA",0.447640835643253,"EpCAM"
"120","knn5-30","EpCAM: SMA",0.569024254559854,"EpCAM"
"121","knn1-10","SMA",0.110544296755638,"EpCAM"
"122","knn1-15","SMA",0.273838132996879,"EpCAM"
"123","knn1-20","SMA",0.453595058347856,"EpCAM"
"124","knn1-25","SMA",0.606724712589317,"EpCAM"
"125","knn1-30","SMA",0.71783332985977,"EpCAM"
"126","knn3-10","SMA",0.00387810035606701,"EpCAM"
"127","knn3-15","SMA",0.0726482503659266,"EpCAM"
"128","knn3-20","SMA",0.20973164315064,"EpCAM"
"129","knn3-25","SMA",0.379494323929595,"EpCAM"
"130","knn3-30","SMA",0.535426342545759,"EpCAM"
"131","knn5-10","SMA",7.85559807553879e-05,"EpCAM"
"132","knn5-15","SMA",0.0120767796536803,"EpCAM"
"133","knn5-20","SMA",0.0828076228158632,"EpCAM"
"134","knn5-25","SMA",0.214950004729391,"EpCAM"
"135","knn5-30","SMA",0.371444740677088,"EpCAM"
"136","knn1-10","Unclass",0.180544088341811,"EpCAM"
"137","knn1-15","Unclass",0.361641274915472,"EpCAM"
