"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.698171102199538,"CD8"
"2","knn1-15","CD8",0.903461335925791,"CD8"
"3","knn1-20","CD8",0.953214242313768,"CD8"
"4","knn1-25","CD8",0.976242556811277,"CD8"
"5","knn1-30","CD8",0.98836432130271,"CD8"
"6","knn3-10","CD8",0.295499655689229,"CD8"
"7","knn3-15","CD8",0.723386802770689,"CD8"
"8","knn3-20","CD8",0.874275934702475,"CD8"
"9","knn3-25","CD8",0.940474743792279,"CD8"
"10","knn3-30","CD8",0.971452586381496,"CD8"
"11","knn5-10","CD8",0.0840320816624134,"CD8"
"12","knn5-15","CD8",0.512617977072953,"CD8"
"13","knn5-20","CD8",0.75429375784826,"CD8"
"14","knn5-25","CD8",0.876534208287763,"CD8"
"15","knn5-30","CD8",0.938641795276866,"CD8"
"16","knn1-10","EpCAM",0.346538664074209,"CD8"
"17","knn1-15","EpCAM",0.572406529752501,"CD8"
"18","knn1-20","EpCAM",0.672287033661441,"CD8"
"19","knn1-25","EpCAM",0.731508486247823,"CD8"
"20","knn1-30","EpCAM",0.772319439381051,"CD8"
"21","knn3-10","EpCAM",0.108812330376311,"CD8"
"22","knn3-15","EpCAM",0.437791145137117,"CD8"
"23","knn3-20","EpCAM",0.594351278000567,"CD8"
"24","knn3-25","EpCAM",0.677846639931948,"CD8"
"25","knn3-30","EpCAM",0.732855348969093,"CD8"
"26","knn5-10","EpCAM",0.0184206262405315,"CD8"
"27","knn5-15","EpCAM",0.303368169481914,"CD8"
"28","knn5-20","EpCAM",0.515635759711589,"CD8"
"29","knn5-25","EpCAM",0.628265888929396,"CD8"
"30","knn5-30","EpCAM",0.696145744723944,"CD8"
"31","knn1-10","SMA",0.052841576538259,"CD8"
"32","knn1-15","SMA",0.135466034755134,"CD8"
"33","knn1-20","SMA",0.222627293717341,"CD8"
"34","knn1-25","SMA",0.30838092923401,"CD8"
"35","knn1-30","SMA",0.390944626726617,"CD8"
"36","knn3-10","SMA",0.00317981123668327,"CD8"
"37","knn3-15","SMA",0.0275246080933285,"CD8"
"38","knn3-20","SMA",0.069611536436181,"CD8"
"39","knn3-25","SMA",0.124022765018026,"CD8"
"40","knn3-30","SMA",0.1874772147284,"CD8"
"41","knn5-10","SMA",0.000263296471827277,"CD8"
"42","knn5-15","SMA",0.00745331551018755,"CD8"
"43","knn5-20","SMA",0.0278486652894236,"CD8"
"44","knn5-25","SMA",0.0595556365698546,"CD8"
"45","knn5-30","SMA",0.100407096852594,"CD8"
"46","knn1-10","Unclass",0.210981488232673,"CD8"
"47","knn1-15","Unclass",0.428555515048406,"CD8"
"48","knn1-20","Unclass",0.577054725158991,"CD8"
"49","knn1-25","Unclass",0.682322679953012,"CD8"
"50","knn1-30","Unclass",0.760248308826508,"CD8"
"51","knn3-10","Unclass",0.0348564021549804,"CD8"
"52","knn3-15","Unclass",0.221877911451371,"CD8"
"53","knn3-20","Unclass",0.395410539960303,"CD8"
"54","knn3-25","Unclass",0.532831044679386,"CD8"
"55","knn3-30","Unclass",0.640438287357719,"CD8"
"56","knn5-10","Unclass",0.00386843277838539,"CD8"
"57","knn5-15","Unclass",0.105592011990116,"CD8"
"58","knn5-20","Unclass",0.266375015190181,"CD8"
"59","knn5-25","Unclass",0.412909628549439,"CD8"
"60","knn5-30","Unclass",0.534269048487058,"CD8"
"61","knn1-10","CD8",0.242428910865276,"EpCAM"
"62","knn1-15","CD8",0.51981726285352,"EpCAM"
"63","knn1-20","CD8",0.712396380809044,"EpCAM"
"64","knn1-25","CD8",0.838641440565987,"EpCAM"
"65","knn1-30","CD8",0.91299839423584,"EpCAM"
"66","knn3-10","CD8",0.0324115496512944,"EpCAM"
"67","knn3-15","CD8",0.248425343817215,"EpCAM"
"68","knn3-20","CD8",0.495292326106407,"EpCAM"
"69","knn3-25","CD8",0.689814951975208,"EpCAM"
"70","knn3-30","CD8",0.82254232166241,"EpCAM"
"71","knn5-10","CD8",0.00290933654091143,"EpCAM"
"72","knn5-15","CD8",0.0976612726421635,"EpCAM"
"73","knn5-20","CD8",0.310854610202231,"EpCAM"
"74","knn5-25","CD8",0.53167384619031,"EpCAM"
"75","knn5-30","CD8",0.707780549515012,"EpCAM"
"76","knn1-10","EpCAM",0.841592254409926,"EpCAM"
"77","knn1-15","EpCAM",0.980807859356391,"EpCAM"
"78","knn1-20","EpCAM",0.993197722303531,"EpCAM"
"79","knn1-25","EpCAM",0.997025484840046,"EpCAM"
"80","knn1-30","EpCAM",0.998465339787992,"EpCAM"
"81","knn3-10","EpCAM",0.522999164528611,"EpCAM"
"82","knn3-15","EpCAM",0.93392665627759,"EpCAM"
"83","knn3-20","EpCAM",0.982093655750236,"EpCAM"
"84","knn3-25","EpCAM",0.992753322628239,"EpCAM"
"85","knn3-30","EpCAM",0.996397399965633,"EpCAM"
"86","knn5-10","EpCAM",0.190137882405921,"EpCAM"
"87","knn5-15","EpCAM",0.832722036891098,"EpCAM"
"88","knn5-20","EpCAM",0.959974402578703,"EpCAM"
"89","knn5-25","EpCAM",0.985334810715365,"EpCAM"
"90","knn5-30","EpCAM",0.99290738118234,"EpCAM"
"91","knn1-10","SMA",0.0345446680926958,"EpCAM"
"92","knn1-15","SMA",0.0950067252484194,"EpCAM"
"93","knn1-20","SMA",0.173327724021876,"EpCAM"
"94","knn1-25","SMA",0.261348486374706,"EpCAM"
"95","knn1-30","SMA",0.351040191506633,"EpCAM"
"96","knn3-10","SMA",0.00109618586572019,"EpCAM"
"97","knn3-15","SMA",0.0109085306961669,"EpCAM"
"98","knn3-20","SMA",0.0352497822441591,"EpCAM"
"99","knn3-25","SMA",0.0779358523882039,"EpCAM"
"100","knn3-30","SMA",0.13849271480799,"EpCAM"
"101","knn5-10","SMA",0.00010073059306618,"EpCAM"
"102","knn5-15","SMA",0.00210941712538589,"EpCAM"
"103","knn5-20","SMA",0.00966421160534939,"EpCAM"
"104","knn5-25","SMA",0.0269839482837285,"EpCAM"
"105","knn5-30","SMA",0.0575645712728199,"EpCAM"
"106","knn1-10","Unclass",0.0876889439286116,"EpCAM"
"107","knn1-15","Unclass",0.228397731784057,"EpCAM"
"108","knn1-20","Unclass",0.374984446011365,"EpCAM"
"109","knn1-25","Unclass",0.50996936604905,"EpCAM"
"110","knn1-30","Unclass",0.621549236521358,"EpCAM"
"111","knn3-10","Unclass",0.00808214876130997,"EpCAM"
"112","knn3-15","Unclass",0.0759567925009036,"EpCAM"
"113","knn3-20","Unclass",0.193770109085307,"EpCAM"
"114","knn3-25","Unclass",0.329910468278751,"EpCAM"
"115","knn3-30","Unclass",0.460658778078653,"EpCAM"
"116","knn5-10","Unclass",0.000936201982615085,"EpCAM"
"117","knn5-15","Unclass",0.0245308620761168,"EpCAM"
"118","knn5-20","Unclass",0.0989470690360082,"EpCAM"
"119","knn5-25","Unclass",0.21222158360343,"EpCAM"
"120","knn5-30","Unclass",0.340996758845035,"EpCAM"
"121","knn1-10","CD8",0.300335019378572,"SMA"
"122","knn1-15","CD8",0.600013138014846,"SMA"
