"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.506287660466335,"CD8"
"2","knn1-15","CD8",0.661252292376212,"CD8"
"3","knn1-20","CD8",0.710112653916689,"CD8"
"4","knn1-25","CD8",0.746528687450878,"CD8"
"5","knn1-30","CD8",0.783468692690595,"CD8"
"6","knn3-10","CD8",0.162824207492795,"CD8"
"7","knn3-15","CD8",0.337961750065496,"CD8"
"8","knn3-20","CD8",0.438695310453236,"CD8"
"9","knn3-25","CD8",0.509693476552266,"CD8"
"10","knn3-30","CD8",0.571260151951795,"CD8"
"11","knn5-10","CD8",0.053314121037464,"CD8"
"12","knn5-15","CD8",0.20028818443804,"CD8"
"13","knn5-20","CD8",0.299187843856432,"CD8"
"14","knn5-25","CD8",0.380403458213256,"CD8"
"15","knn5-30","CD8",0.442625098244695,"CD8"
"16","knn1-10","EpCAM",0.222294996070212,"CD8"
"17","knn1-15","EpCAM",0.375032748231595,"CD8"
"18","knn1-20","EpCAM",0.46882368352109,"CD8"
"19","knn1-25","EpCAM",0.546764474718365,"CD8"
"20","knn1-30","EpCAM",0.608593135970658,"CD8"
"21","knn3-10","EpCAM",0.0838354728844642,"CD8"
"22","knn3-15","EpCAM",0.280717841236573,"CD8"
"23","knn3-20","EpCAM",0.386691118679591,"CD8"
"24","knn3-25","EpCAM",0.476421273251244,"CD8"
"25","knn3-30","EpCAM",0.545323552528163,"CD8"
"26","knn5-10","EpCAM",0.0167670945768928,"CD8"
"27","knn5-15","EpCAM",0.208671731726487,"CD8"
"28","knn5-20","EpCAM",0.331674089599162,"CD8"
"29","knn5-25","EpCAM",0.421797222949961,"CD8"
"30","knn5-30","EpCAM",0.505632695834425,"CD8"
"31","knn1-10","Unclass",0.533665182080168,"CD8"
"32","knn1-15","Unclass",0.812287136494629,"CD8"
"33","knn1-20","Unclass",0.908173958606235,"CD8"
"34","knn1-25","Unclass",0.952580560649725,"CD8"
"35","knn1-30","Unclass",0.974587372281897,"CD8"
"36","knn3-10","Unclass",0.193345559339796,"CD8"
"37","knn3-15","Unclass",0.650248886560126,"CD8"
"38","knn3-20","Unclass",0.827482315954938,"CD8"
"39","knn3-25","Unclass",0.910400838354729,"CD8"
"40","knn3-30","Unclass",0.951794603091433,"CD8"
"41","knn5-10","Unclass",0.042310715221378,"CD8"
"42","knn5-15","Unclass",0.480875032748232,"CD8"
"43","knn5-20","Unclass",0.739979041131779,"CD8"
"44","knn5-25","Unclass",0.856169766832591,"CD8"
"45","knn5-30","Unclass",0.921666230023579,"CD8"
"46","knn1-10","CD8",0.0178705996339757,"EpCAM"
"47","knn1-15","CD8",0.0496214160117702,"EpCAM"
"48","knn1-20","CD8",0.0901209315678042,"EpCAM"
"49","knn1-25","CD8",0.142354756522051,"EpCAM"
"50","knn1-30","CD8",0.202346861879643,"EpCAM"
"51","knn3-10","CD8",0.000416262963361682,"EpCAM"
"52","knn3-15","CD8",0.00484443965981268,"EpCAM"
"53","knn3-20","CD8",0.0139376323249722,"EpCAM"
"54","knn3-25","CD8",0.0295403165033911,"EpCAM"
"55","knn3-30","CD8",0.0529299888757312,"EpCAM"
"56","knn5-10","CD8",1.43538952883339e-05,"EpCAM"
"57","knn5-15","CD8",0.000574155811533355,"EpCAM"
"58","knn5-20","CD8",0.00276312484300427,"EpCAM"
