"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.505751377269945,"CD8"
"2","knn1-15","CD8",0.689680677412773,"CD8"
"3","knn1-20","CD8",0.767177616812895,"CD8"
"4","knn1-25","CD8",0.821018669659253,"CD8"
"5","knn1-30","CD8",0.861890430524383,"CD8"
"6","knn3-10","CD8",0.167210773311569,"CD8"
"7","knn3-15","CD8",0.411064068557437,"CD8"
"8","knn3-20","CD8",0.556825137726994,"CD8"
"9","knn3-25","CD8",0.656817486227301,"CD8"
"10","knn3-30","CD8",0.730565190777392,"CD8"
"11","knn5-10","CD8",0.0555881452764742,"CD8"
"12","knn5-15","CD8",0.253341154866354,"CD8"
"13","knn5-20","CD8",0.407136298714548,"CD8"
"14","knn5-25","CD8",0.521475209140992,"CD8"
"15","knn5-30","CD8",0.610003060599878,"CD8"
"16","knn1-10","EpCAM",0.0943302387267904,"CD8"
"17","knn1-15","EpCAM",0.174326668026933,"CD8"
"18","knn1-20","EpCAM",0.231585390736584,"CD8"
"19","knn1-25","EpCAM",0.281587941236482,"CD8"
"20","knn1-30","EpCAM",0.325112221995511,"CD8"
"21","knn3-10","EpCAM",0.0247781065088757,"CD8"
"22","knn3-15","EpCAM",0.109288920628443,"CD8"
"23","knn3-20","EpCAM",0.169098143236074,"CD8"
"24","knn3-25","EpCAM",0.221702203631912,"CD8"
"25","knn3-30","EpCAM",0.266195674352173,"CD8"
"26","knn5-10","EpCAM",0.00401703733931851,"CD8"
"27","knn5-15","EpCAM",0.0676902672923893,"CD8"
"28","knn5-20","EpCAM",0.130827892266884,"CD8"
"29","knn5-25","EpCAM",0.18367425015303,"CD8"
"30","knn5-30","EpCAM",0.231381350744746,"CD8"
"31","knn1-10","SMA",0.514499591920016,"CD8"
"32","knn1-15","SMA",0.728690573352377,"CD8"
"33","knn1-20","SMA",0.7972225056111,"CD8"
"34","knn1-25","SMA",0.840644766374209,"CD8"
"35","knn1-30","SMA",0.872959600081616,"CD8"
"36","knn3-10","SMA",0.23343450316262,"CD8"
"37","knn3-15","SMA",0.622245460110182,"CD8"
"38","knn3-20","SMA",0.725923280963069,"CD8"
"39","knn3-25","SMA",0.780975821260967,"CD8"
"40","knn3-30","SMA",0.820304529687819,"CD8"
"41","knn5-10","SMA",0.0593373801265048,"CD8"
"42","knn5-15","SMA",0.515213731891451,"CD8"
"43","knn5-20","SMA",0.671508365639665,"CD8"
"44","knn5-25","SMA",0.740563150377474,"CD8"
"45","knn5-30","SMA",0.787313813507447,"CD8"
"46","knn1-10","Unclass",0.0210033666598653,"CD8"
"47","knn1-15","Unclass",0.0469291981228321,"CD8"
"48","knn1-20","Unclass",0.0727785145888594,"CD8"
"49","knn1-25","Unclass",0.0995587635176495,"CD8"
"50","knn1-30","Unclass",0.126364517445419,"CD8"
"51","knn3-10","Unclass",0.0023209549071618,"CD8"
"52","knn3-15","Unclass",0.0145633544174658,"CD8"
"53","knn3-20","Unclass",0.029840848806366,"CD8"
"54","knn3-25","Unclass",0.0475668230973271,"CD8"
"55","knn3-30","Unclass",0.067473474801061,"CD8"
"56","knn5-10","Unclass",0.0002167924913283,"CD8"
"57","knn5-15","Unclass",0.00650377473984901,"CD8"
"58","knn5-20","Unclass",0.0161701693531932,"CD8"
"59","knn5-25","Unclass",0.0285273413589063,"CD8"
"60","knn5-30","Unclass",0.0429504182819833,"CD8"
"61","knn1-10","CD8",0.0256766355338344,"EpCAM"
"62","knn1-15","CD8",0.0695267526795085,"EpCAM"
"63","knn1-20","CD8",0.125255759220584,"EpCAM"
"64","knn1-25","CD8",0.191413911181316,"EpCAM"
"65","knn1-30","CD8",0.263241171668769,"EpCAM"
"66","knn3-10","CD8",0.000797756739851792,"EpCAM"
"67","knn3-15","CD8",0.00833006456263848,"EpCAM"
"68","knn3-20","CD8",0.0240175135433121,"EpCAM"
"69","knn3-25","CD8",0.0497365547510257,"EpCAM"
"70","knn3-30","CD8",0.0860464130100607,"EpCAM"
"71","knn5-10","CD8",6.36085108187475e-05,"EpCAM"
"72","knn5-15","CD8",0.00169092624593171,"EpCAM"
"73","knn5-20","CD8",0.00702078938161926,"EpCAM"
"74","knn5-25","CD8",0.0174022284181624,"EpCAM"
"75","knn5-30","CD8",0.034534120665345,"EpCAM"
"76","knn1-10","EpCAM",0.80344970157007,"EpCAM"
"77","knn1-15","EpCAM",0.967079945296681,"EpCAM"
"78","knn1-20","EpCAM",0.983215304207703,"EpCAM"
"79","knn1-25","EpCAM",0.990418968057926,"EpCAM"
"80","knn1-30","EpCAM",0.994015499273803,"EpCAM"
"81","knn3-10","EpCAM",0.448604323258452,"EpCAM"
"82","knn3-15","EpCAM",0.896445344387079,"EpCAM"
"83","knn3-20","EpCAM",0.95810849491662,"EpCAM"
"84","knn3-25","EpCAM",0.977461384333224,"EpCAM"
"85","knn3-30","EpCAM",0.986467289323312,"EpCAM"
"86","knn5-10","EpCAM",0.134060237259745,"EpCAM"
"87","knn5-15","EpCAM",0.763787144719964,"EpCAM"
"88","knn5-20","EpCAM",0.916919333806863,"EpCAM"
"89","knn5-25","EpCAM",0.957803704135613,"EpCAM"
"90","knn5-30","EpCAM",0.975174128298366,"EpCAM"
"91","knn1-10","SMA",0.335322866199497,"EpCAM"
"92","knn1-15","SMA",0.633723642223329,"EpCAM"
"93","knn1-20","SMA",0.804276612210714,"EpCAM"
"94","knn1-25","SMA",0.894340962820825,"EpCAM"
"95","knn1-30","SMA",0.940311363660458,"EpCAM"
"96","knn3-10","SMA",0.0702184952346624,"EpCAM"
"97","knn3-15","SMA",0.402928111781356,"EpCAM"
"98","knn3-20","SMA",0.659259808962439,"EpCAM"
"99","knn3-25","SMA",0.811000561875179,"EpCAM"
"100","knn3-30","SMA",0.892337294730035,"EpCAM"
"101","knn5-10","SMA",0.0101217042840332,"EpCAM"
"102","knn5-15","SMA",0.220021838922048,"EpCAM"
"103","knn5-20","SMA",0.512923129114676,"EpCAM"
"104","knn5-25","SMA",0.717959863029673,"EpCAM"
"105","knn5-30","SMA",0.837178114431711,"EpCAM"
"106","knn1-10","Unclass",0.0113355666988243,"EpCAM"
"107","knn1-15","Unclass",0.0287589979539262,"EpCAM"
"108","knn1-20","Unclass",0.053401995186956,"EpCAM"
"109","knn1-25","Unclass",0.0808384661867758,"EpCAM"
"110","knn1-30","Unclass",0.108407454917468,"EpCAM"
"111","knn3-10","Unclass",0.000466462412670815,"EpCAM"
"112","knn3-15","Unclass",0.00427237164332588,"EpCAM"
"113","knn3-20","Unclass",0.0128436184761521,"EpCAM"
"114","knn3-25","Unclass",0.0272535965312159,"EpCAM"
"115","knn3-30","Unclass",0.0456126029662769,"EpCAM"
"116","knn5-10","Unclass",4.50560284966128e-05,"EpCAM"
"117","knn5-15","Unclass",0.0009700297899859,"EpCAM"
"118","knn5-20","Unclass",0.00442079150190295,"EpCAM"
"119","knn5-25","Unclass",0.0115396440043678,"EpCAM"
"120","knn5-30","Unclass",0.0228487071570176,"EpCAM"
"121","knn1-10","CD8",0.066974175606751,"SMA"
"122","knn1-15","CD8",0.164389763196924,"SMA"
"123","knn1-20","CD8",0.263566877165598,"SMA"
"124","knn1-25","CD8",0.360488097365164,"SMA"
"125","knn1-30","CD8",0.44915853408559,"SMA"
"126","knn3-10","CD8",0.00386176566985685,"SMA"
"127","knn3-15","CD8",0.0340642151451807,"SMA"
"128","knn3-20","CD8",0.0873090081192445,"SMA"
"129","knn3-25","CD8",0.157268022760631,"SMA"
"130","knn3-30","CD8",0.237057384982851,"SMA"
"131","knn5-10","CD8",0.000368309186793046,"SMA"
"132","knn5-15","CD8",0.00925596063476334,"SMA"
"133","knn5-20","CD8",0.0339359646247795,"SMA"
"134","knn5-25","CD8",0.0753301902821183,"SMA"
"135","knn5-30","CD8",0.130865954090698,"SMA"
"136","knn1-10","EpCAM",0.142422750984624,"SMA"
"137","knn1-15","EpCAM",0.276705430477804,"SMA"
"138","knn1-20","EpCAM",0.371913355263807,"SMA"
"139","knn1-25","EpCAM",0.445216748860269,"SMA"
"140","knn1-30","EpCAM",0.502607212502343,"SMA"
"141","knn3-10","EpCAM",0.0263779531874639,"SMA"
"142","knn3-15","EpCAM",0.161882849178484,"SMA"
"143","knn3-20","EpCAM",0.27472248012391,"SMA"
"144","knn3-25","EpCAM",0.362631086829987,"SMA"
"145","knn3-30","EpCAM",0.431767982750853,"SMA"
"146","knn5-10","EpCAM",0.00306814706498136,"SMA"
"147","knn5-15","EpCAM",0.0850706528828415,"SMA"
"148","knn5-20","EpCAM",0.202619379859407,"SMA"
"149","knn5-25","EpCAM",0.299211752570765,"SMA"
"150","knn5-30","EpCAM",0.376453642917666,"SMA"
"151","knn1-10","SMA",0.805412171960929,"SMA"
