"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.561777710782836,"CD8"
"2","knn1-15","CD8",0.780964224701035,"CD8"
"3","knn1-20","CD8",0.875339161893277,"CD8"
"4","knn1-25","CD8",0.926866646568184,"CD8"
"5","knn1-30","CD8",0.956813385589388,"CD8"
"6","knn3-10","CD8",0.184767862526379,"CD8"
"7","knn3-15","CD8",0.525801426992262,"CD8"
"8","knn3-20","CD8",0.721485277861522,"CD8"
"9","knn3-25","CD8",0.834212641945533,"CD8"
"10","knn3-30","CD8",0.899620641141594,"CD8"
"11","knn5-10","CD8",0.0478595116068737,"CD8"
"12","knn5-15","CD8",0.31874937192242,"CD8"
"13","knn5-20","CD8",0.552921816902824,"CD8"
"14","knn5-25","CD8",0.715342679127726,"CD8"
"15","knn5-30","CD8",0.820294442769571,"CD8"
"16","knn1-10","EpCAM",0.129019696512913,"CD8"
"17","knn1-15","EpCAM",0.24423424781429,"CD8"
"18","knn1-20","EpCAM",0.335355743141393,"CD8"
"19","knn1-25","EpCAM",0.415146718922721,"CD8"
"20","knn1-30","EpCAM",0.480567279670385,"CD8"
"21","knn3-10","EpCAM",0.0305120088433323,"CD8"
"22","knn3-15","EpCAM",0.144683951361672,"CD8"
"23","knn3-20","EpCAM",0.241495829564868,"CD8"
"24","knn3-25","EpCAM",0.327956989247312,"CD8"
"25","knn3-30","EpCAM",0.402170636116973,"CD8"
"26","knn5-10","EpCAM",0.00454728168023314,"CD8"
"27","knn5-15","EpCAM",0.080180383881017,"CD8"
"28","knn5-20","EpCAM",0.17469349814089,"CD8"
"29","knn5-25","EpCAM",0.263365490905437,"CD8"
"30","knn5-30","EpCAM",0.342264596522963,"CD8"
"31","knn1-10","SMA",0.577316350115566,"CD8"
"32","knn1-15","SMA",0.816538538840318,"CD8"
"33","knn1-20","SMA",0.897334438749874,"CD8"
"34","knn1-25","SMA",0.93640086423475,"CD8"
"35","knn1-30","SMA",0.958609687468596,"CD8"
"36","knn3-10","SMA",0.248618229323686,"CD8"
"37","knn3-15","SMA",0.671251633001708,"CD8"
"38","knn3-20","SMA",0.820332127424379,"CD8"
"39","knn3-25","SMA",0.889923123304191,"CD8"
"40","knn3-30","SMA",0.928411717415335,"CD8"
"41","knn5-10","SMA",0.0665636619435233,"CD8"
"42","knn5-15","SMA",0.513604160385891,"CD8"
"43","knn5-20","SMA",0.736320470304492,"CD8"
"44","knn5-25","SMA",0.839551301376746,"CD8"
"45","knn5-30","SMA",0.896078283589589,"CD8"
"46","knn1-10","Unclass",0.266870163802633,"CD8"
"47","knn1-15","Unclass",0.443259471409909,"CD8"
"48","knn1-20","Unclass",0.553738317757009,"CD8"
"49","knn1-25","Unclass",0.632649984926138,"CD8"
"50","knn1-30","Unclass",0.688850366797307,"CD8"
"51","knn3-10","Unclass",0.0704954275952166,"CD8"
"52","knn3-15","Unclass",0.265350216058688,"CD8"
"53","knn3-20","Unclass",0.400047733896091,"CD8"
"54","knn3-25","Unclass",0.498693598633303,"CD8"
"55","knn3-30","Unclass",0.572919807054567,"CD8"
"56","knn5-10","Unclass",0.0134408602150538,"CD8"
"57","knn5-15","Unclass",0.161466184303085,"CD8"
"58","knn5-20","Unclass",0.300824037785147,"CD8"
"59","knn5-25","Unclass",0.407333433825746,"CD8"
"60","knn5-30","Unclass",0.49022711285298,"CD8"
"61","knn1-10","CD8",0.140948180815877,"EpCAM"
"62","knn1-15","CD8",0.335336273428886,"EpCAM"
"63","knn1-20","CD8",0.518081587651599,"EpCAM"
"64","knn1-25","CD8",0.671885336273429,"EpCAM"
"65","knn1-30","CD8",0.788269018743109,"EpCAM"
"66","knn3-10","CD8",0.00703417861080485,"EpCAM"
"67","knn3-15","CD8",0.0852701212789416,"EpCAM"
"68","knn3-20","CD8",0.240077177508269,"EpCAM"
"69","knn3-25","CD8",0.422094818081588,"EpCAM"
"70","knn3-30","CD8",0.589503858875413,"EpCAM"
"71","knn5-10","CD8",0.000253583241455347,"EpCAM"
"72","knn5-15","CD8",0.0183131201764057,"EpCAM"
"73","knn5-20","CD8",0.0960859977949283,"EpCAM"
"74","knn5-25","CD8",0.239040793825799,"EpCAM"
"75","knn5-30","CD8",0.410033076074972,"EpCAM"
"76","knn1-10","EpCAM",0.708787210584344,"EpCAM"
"77","knn1-15","EpCAM",0.915049614112459,"EpCAM"
"78","knn1-20","EpCAM",0.957629547960309,"EpCAM"
"79","knn1-25","EpCAM",0.975964718853363,"EpCAM"
"80","knn1-30","EpCAM",0.985413450937155,"EpCAM"
"81","knn3-10","EpCAM",0.303208379272326,"EpCAM"
"82","knn3-15","EpCAM",0.757574421168688,"EpCAM"
"83","knn3-20","EpCAM",0.889393605292172,"EpCAM"
"84","knn3-25","EpCAM",0.941080485115766,"EpCAM"
"85","knn3-30","EpCAM",0.965545755237045,"EpCAM"
"86","knn5-10","EpCAM",0.0719514884233738,"EpCAM"
"87","knn5-15","EpCAM",0.541234840132304,"EpCAM"
"88","knn5-20","EpCAM",0.787861080485116,"EpCAM"
