"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.642673982314233,"CD8"
"2","knn1-15","CD8",0.794633934800234,"CD8"
"3","knn1-20","CD8",0.843307502309708,"CD8"
"4","knn1-25","CD8",0.874389577087693,"CD8"
"5","knn1-30","CD8",0.897656353111978,"CD8"
"6","knn3-10","CD8",0.316939117974244,"CD8"
"7","knn3-15","CD8",0.552614212719422,"CD8"
"8","knn3-20","CD8",0.660086354808907,"CD8"
"9","knn3-25","CD8",0.729952674547957,"CD8"
"10","knn3-30","CD8",0.780681411090371,"CD8"
"11","knn5-10","CD8",0.155834606029753,"CD8"
"12","knn5-15","CD8",0.417340724399947,"CD8"
"13","knn5-20","CD8",0.540952542564625,"CD8"
"14","knn5-25","CD8",0.62077417651828,"CD8"
"15","knn5-30","CD8",0.681420517751758,"CD8"
"16","knn1-10","EpCAM",0.0639742066858985,"CD8"
"17","knn1-15","EpCAM",0.139515809717744,"CD8"
"18","knn1-20","EpCAM",0.20956124969361,"CD8"
"19","knn1-25","EpCAM",0.279041046816373,"CD8"
"20","knn1-30","EpCAM",0.344627335633614,"CD8"
"21","knn3-10","EpCAM",0.00725908328148274,"CD8"
"22","knn3-15","EpCAM",0.0531232912872146,"CD8"
"23","knn3-20","EpCAM",0.109555593265079,"CD8"
"24","knn3-25","EpCAM",0.169560872598375,"CD8"
"25","knn3-30","EpCAM",0.231432773346909,"CD8"
"26","knn5-10","EpCAM",0.000603352376642721,"CD8"
"27","knn5-15","EpCAM",0.0209005034221393,"CD8"
"28","knn5-20","EpCAM",0.0621735769368554,"CD8"
"29","knn5-25","EpCAM",0.110997982540491,"CD8"
"30","knn5-30","EpCAM",0.165742783339933,"CD8"
"31","knn1-10","SMA",0.426702113618794,"CD8"
"32","knn1-15","SMA",0.699012010483248,"CD8"
"33","knn1-20","SMA",0.815487301317948,"CD8"
"34","knn1-25","SMA",0.883043912740162,"CD8"
"35","knn1-30","SMA",0.923308256500179,"CD8"
"36","knn3-10","SMA",0.135216924034165,"CD8"
"37","knn3-15","SMA",0.523379904594905,"CD8"
"38","knn3-20","SMA",0.710108037784943,"CD8"
"39","knn3-25","SMA",0.814252314422007,"CD8"
"40","knn3-30","SMA",0.879480362765616,"CD8"
"41","knn5-10","SMA",0.0227105605520674,"CD8"
