"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.484297429989852,"CD8"
"2","knn1-15","CD8",0.620066375929126,"CD8"
"3","knn1-20","CD8",0.669025480676925,"CD8"
"4","knn1-25","CD8",0.716078334567597,"CD8"
"5","knn1-30","CD8",0.760059244630955,"CD8"
"6","knn3-10","CD8",0.161373049178529,"CD8"
"7","knn3-15","CD8",0.295153460051016,"CD8"
"8","knn3-20","CD8",0.379947338105817,"CD8"
"9","knn3-25","CD8",0.457637346059958,"CD8"
"10","knn3-30","CD8",0.531309141775693,"CD8"
"11","knn5-10","CD8",0.0728352395841905,"CD8"
"12","knn5-15","CD8",0.195452426012781,"CD8"
"13","knn5-20","CD8",0.257275295537453,"CD8"
"14","knn5-25","CD8",0.313009133547272,"CD8"
"15","knn5-30","CD8",0.373008036424477,"CD8"
"16","knn1-10","EpCAM",0.220603966098906,"CD8"
"17","knn1-15","EpCAM",0.469952549439096,"CD8"
"18","knn1-20","EpCAM",0.631695877561096,"CD8"
"19","knn1-25","EpCAM",0.724731890616857,"CD8"
"20","knn1-30","EpCAM",0.780575440906223,"CD8"
"21","knn3-10","EpCAM",0.0252063962258976,"CD8"
"22","knn3-15","EpCAM",0.225129597630215,"CD8"
"23","knn3-20","EpCAM",0.455072821525549,"CD8"
"24","knn3-25","EpCAM",0.612893935653748,"CD8"
"25","knn3-30","EpCAM",0.702734578567706,"CD8"
"26","knn5-10","EpCAM",0.0017965385775803,"CD8"
"27","knn5-15","EpCAM",0.084670451740311,"CD8"
"28","knn5-20","EpCAM",0.287446172412847,"CD8"
"29","knn5-25","EpCAM",0.490743026413231,"CD8"
"30","knn5-30","EpCAM",0.625990839024658,"CD8"
"31","knn1-10","EpCAM: SMA",0.185592034888505,"CD8"
"32","knn1-15","EpCAM: SMA",0.44532214268082,"CD8"
"33","knn1-20","EpCAM: SMA",0.609095147974437,"CD8"
"34","knn1-25","EpCAM: SMA",0.699168929482432,"CD8"
"35","knn1-30","EpCAM: SMA",0.748896020187059,"CD8"
"36","knn3-10","EpCAM: SMA",0.0119723525055542,"CD8"
"37","knn3-15","EpCAM: SMA",0.18667544364903,"CD8"
"38","knn3-20","EpCAM: SMA",0.433994349817603,"CD8"
"39","knn3-25","EpCAM: SMA",0.595381113031076,"CD8"
"40","knn3-30","EpCAM: SMA",0.679434433198936,"CD8"
"41","knn5-10","EpCAM: SMA",0.000219424559093777,"CD8"
"42","knn5-15","EpCAM: SMA",0.0482734030006308,"CD8"
"43","knn5-20","EpCAM: SMA",0.249801146493321,"CD8"
"44","knn5-25","EpCAM: SMA",0.471447379247922,"CD8"
"45","knn5-30","EpCAM: SMA",0.608423160262212,"CD8"
