"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.275832981864192,"CD8"
"2","knn1-15","CD8",0.374778574441164,"CD8"
"3","knn1-20","CD8",0.412062420919443,"CD8"
"4","knn1-25","CD8",0.453606073386757,"CD8"
"5","knn1-30","CD8",0.502108814846057,"CD8"
"6","knn3-10","CD8",0.0225221425558836,"CD8"
"7","knn3-15","CD8",0.0670603121045972,"CD8"
"8","knn3-20","CD8",0.10337410375369,"CD8"
"9","knn3-25","CD8",0.145002108814846,"CD8"
"10","knn3-30","CD8",0.192197385069591,"CD8"
"11","knn5-10","CD8",0.00379586672290173,"CD8"
"12","knn5-15","CD8",0.0242935470265711,"CD8"
"13","knn5-20","CD8",0.0394348376212569,"CD8"
"14","knn5-25","CD8",0.0536482496836778,"CD8"
"15","knn5-30","CD8",0.0734289329396879,"CD8"
"16","knn1-10","EpCAM",0.223323492197385,"CD8"
"17","knn1-15","EpCAM",0.502066638549135,"CD8"
"18","knn1-20","EpCAM",0.696035428089414,"CD8"
"19","knn1-25","EpCAM",0.810712779417967,"CD8"
"20","knn1-30","EpCAM",0.871952762547448,"CD8"
"21","knn3-10","EpCAM",0.0133698861239983,"CD8"
"22","knn3-15","EpCAM",0.191733445803458,"CD8"
"23","knn3-20","EpCAM",0.458245466048081,"CD8"
"24","knn3-25","EpCAM",0.664276676507803,"CD8"
"25","knn3-30","EpCAM",0.787600168705188,"CD8"
"26","knn5-10","EpCAM",0.000421762969211303,"CD8"
"27","knn5-15","EpCAM",0.047237452551666,"CD8"
"28","knn5-20","EpCAM",0.239983129481232,"CD8"
"29","knn5-25","EpCAM",0.488949810206664,"CD8"
"30","knn5-30","EpCAM",0.675073808519612,"CD8"
"31","knn1-10","EpCAM: SMA",0.516322226908477,"CD8"
"32","knn1-15","EpCAM: SMA",0.854913538591312,"CD8"
"33","knn1-20","EpCAM: SMA",0.938000843525938,"CD8"
"34","knn1-25","EpCAM: SMA",0.966090257275411,"CD8"
"35","knn1-30","EpCAM: SMA",0.978490088570224,"CD8"
"36","knn3-10","EpCAM: SMA",0.131041754533952,"CD8"
"37","knn3-15","EpCAM: SMA",0.67874314635175,"CD8"
"38","knn3-20","EpCAM: SMA",0.887726697595951,"CD8"
"39","knn3-25","EpCAM: SMA",0.945592576971742,"CD8"
"40","knn3-30","EpCAM: SMA",0.96680725432307,"CD8"
"41","knn5-10","EpCAM: SMA",0.0148038802193167,"CD8"
"42","knn5-15","EpCAM: SMA",0.426824124841839,"CD8"
"43","knn5-20","EpCAM: SMA",0.804934626739772,"CD8"
"44","knn5-25","EpCAM: SMA",0.920708561788275,"CD8"
"45","knn5-30","EpCAM: SMA",0.954365246731337,"CD8"
"46","knn1-10","SMA",0.194432728806411,"CD8"
"47","knn1-15","SMA",0.418810628426824,"CD8"
"48","knn1-20","SMA",0.600885702235344,"CD8"
"49","knn1-25","SMA",0.740742302825812,"CD8"
"50","knn1-30","SMA",0.840278363559679,"CD8"
"51","knn3-10","SMA",0.0144242935470266,"CD8"
"52","knn3-15","SMA",0.115563053563897,"CD8"
"53","knn3-20","SMA",0.273260227752003,"CD8"
"54","knn3-25","SMA",0.46343315056938,"CD8"
"55","knn3-30","SMA",0.641628005061156,"CD8"
"56","knn5-10","SMA",0.00130746520455504,"CD8"
"57","knn5-15","SMA",0.0286798819063686,"CD8"
"58","knn5-20","SMA",0.107633909742725,"CD8"
"59","knn5-25","SMA",0.238169548713623,"CD8"
"60","knn5-30","SMA",0.411218894981021,"CD8"
"61","knn1-10","Unclass",0.169380008435259,"CD8"
"62","knn1-15","Unclass",0.387009700548292,"CD8"
"63","knn1-20","Unclass",0.55934204976803,"CD8"
"64","knn1-25","Unclass",0.687768873892872,"CD8"
"65","knn1-30","Unclass",0.778532264867145,"CD8"
"66","knn3-10","Unclass",0.00999578237030789,"CD8"
"67","knn3-15","Unclass",0.10970054829186,"CD8"
"68","knn3-20","Unclass",0.274103753690426,"CD8"
"69","knn3-25","Unclass",0.447448334036272,"CD8"
"70","knn3-30","Unclass",0.601349641501476,"CD8"
"71","knn5-10","Unclass",0.000421762969211303,"CD8"
"72","knn5-15","Unclass",0.0238296077604386,"CD8"
"73","knn5-20","Unclass",0.111598481653311,"CD8"
"74","knn5-25","Unclass",0.250442851117672,"CD8"
"75","knn5-30","Unclass",0.414002530577815,"CD8"
"76","knn1-10","CD8",0.0205404418477269,"EpCAM"
"77","knn1-15","CD8",0.0577098636255109,"EpCAM"
"78","knn1-20","CD8",0.107287818991306,"EpCAM"
"79","knn1-25","CD8",0.167638094970576,"EpCAM"
"80","knn1-30","CD8",0.234814117779245,"EpCAM"
"81","knn3-10","CD8",0.000126402719062935,"EpCAM"
