"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.527480916030534,"CD8"
"2","knn1-15","CD8",0.730407124681934,"CD8"
"3","knn1-20","CD8",0.789949109414758,"CD8"
"4","knn1-25","CD8",0.837022900763359,"CD8"
"5","knn1-30","CD8",0.871374045801527,"CD8"
"6","knn3-10","CD8",0.0954198473282443,"CD8"
"7","knn3-15","CD8",0.345674300254453,"CD8"
"8","knn3-20","CD8",0.514631043256997,"CD8"
"9","knn3-25","CD8",0.628625954198473,"CD8"
"10","knn3-30","CD8",0.718447837150127,"CD8"
"11","knn5-10","CD8",0.0103053435114504,"CD8"
"12","knn5-15","CD8",0.128371501272265,"CD8"
"13","knn5-20","CD8",0.281297709923664,"CD8"
"14","knn5-25","CD8",0.421882951653944,"CD8"
"15","knn5-30","CD8",0.537022900763359,"CD8"
"16","knn1-10","EpCAM",0.527480916030534,"CD8"
"17","knn1-15","EpCAM",0.790203562340967,"CD8"
"18","knn1-20","EpCAM",0.881043256997455,"CD8"
"19","knn1-25","EpCAM",0.924427480916031,"CD8"
"20","knn1-30","EpCAM",0.948473282442748,"CD8"
"21","knn3-10","EpCAM",0.189058524173028,"CD8"
"22","knn3-15","EpCAM",0.65089058524173,"CD8"
"23","knn3-20","EpCAM",0.816157760814249,"CD8"
"24","knn3-25","EpCAM",0.889185750636132,"CD8"
"25","knn3-30","EpCAM",0.927099236641221,"CD8"
"26","knn5-10","EpCAM",0.0379134860050891,"CD8"
"27","knn5-15","EpCAM",0.484732824427481,"CD8"
"28","knn5-20","EpCAM",0.738422391857506,"CD8"
"29","knn5-25","EpCAM",0.852290076335878,"CD8"
"30","knn5-30","EpCAM",0.904198473282443,"CD8"
"31","knn1-10","EpCAM: SMA",0.00572519083969466,"CD8"
"32","knn1-15","EpCAM: SMA",0.0145038167938931,"CD8"
"33","knn1-20","EpCAM: SMA",0.0237913486005089,"CD8"
"34","knn1-25","EpCAM: SMA",0.0356234096692112,"CD8"
"35","knn1-30","EpCAM: SMA",0.0479643765903308,"CD8"
"36","knn3-10","EpCAM: SMA",0,"CD8"
"37","knn3-15","EpCAM: SMA",0.00089058524173028,"CD8"
"38","knn3-20","EpCAM: SMA",0.00305343511450382,"CD8"
"39","knn3-25","EpCAM: SMA",0.00572519083969466,"CD8"
"40","knn3-30","EpCAM: SMA",0.0099236641221374,"CD8"
"41","knn5-10","EpCAM: SMA",0,"CD8"
"42","knn5-15","EpCAM: SMA",0,"CD8"
"43","knn5-20","EpCAM: SMA",0.000254452926208651,"CD8"
"44","knn5-25","EpCAM: SMA",0.00139949109414758,"CD8"
"45","knn5-30","EpCAM: SMA",0.00368956743002545,"CD8"
"46","knn1-10","SMA",0.00801526717557252,"CD8"
"47","knn1-15","SMA",0.0203562340966921,"CD8"
"48","knn1-20","SMA",0.0361323155216285,"CD8"
"49","knn1-25","SMA",0.0517811704834606,"CD8"
"50","knn1-30","SMA",0.0648854961832061,"CD8"
"51","knn3-10","SMA",0.000254452926208651,"CD8"
"52","knn3-15","SMA",0.00356234096692112,"CD8"
"53","knn3-20","SMA",0.00865139949109415,"CD8"
"54","knn3-25","SMA",0.0153944020356234,"CD8"
"55","knn3-30","SMA",0.0232824427480916,"CD8"
"56","knn5-10","SMA",0,"CD8"
"57","knn5-15","SMA",0.00114503816793893,"CD8"
"58","knn5-20","SMA",0.00368956743002545,"CD8"
"59","knn5-25","SMA",0.00674300254452926,"CD8"
"60","knn5-30","SMA",0.0125954198473282,"CD8"
"61","knn1-10","Unclass",0.336005089058524,"CD8"
"62","knn1-15","Unclass",0.555979643765903,"CD8"
"63","knn1-20","Unclass",0.701653944020356,"CD8"
"64","knn1-25","Unclass",0.800127226463104,"CD8"
"65","knn1-30","Unclass",0.861323155216285,"CD8"
"66","knn3-10","Unclass",0.106106870229008,"CD8"
"67","knn3-15","Unclass",0.387150127226463,"CD8"
"68","knn3-20","Unclass",0.556615776081425,"CD8"
"69","knn3-25","Unclass",0.677608142493639,"CD8"
"70","knn3-30","Unclass",0.769592875318066,"CD8"
"71","knn5-10","Unclass",0.0194656488549618,"CD8"
"72","knn5-15","Unclass",0.262086513994911,"CD8"
