"","Var1","Var2","value","L1"
"1","knn1-10","CD8",0.488330405478077,"CD8"
"2","knn1-15","CD8",0.67972848623908,"CD8"
"3","knn1-20","CD8",0.732226723550712,"CD8"
"4","knn1-25","CD8",0.771436083127188,"CD8"
"5","knn1-30","CD8",0.80392930125838,"CD8"
"6","knn3-10","CD8",0.0869513259001661,"CD8"
"7","knn3-15","CD8",0.27468062476846,"CD8"
"8","knn3-20","CD8",0.389010384923338,"CD8"
"9","knn3-25","CD8",0.483239522460832,"CD8"
"10","knn3-30","CD8",0.562411118679716,"CD8"
"11","knn5-10","CD8",0.0135995889052211,"CD8"
"12","knn5-15","CD8",0.116851300804264,"CD8"
"13","knn5-20","CD8",0.210650222875512,"CD8"
"14","knn5-25","CD8",0.292331409314165,"CD8"
"15","knn5-30","CD8",0.370224309563929,"CD8"
"16","knn1-10","EpCAM",0.194074976995423,"CD8"
"17","knn1-15","EpCAM",0.386452992985098,"CD8"
"18","knn1-20","EpCAM",0.502013647390624,"CD8"
"19","knn1-25","EpCAM",0.581866418097731,"CD8"
"20","knn1-30","EpCAM",0.637244708947287,"CD8"
"21","knn3-10","EpCAM",0.0362217521719906,"CD8"
"22","knn3-15","EpCAM",0.234742288985289,"CD8"
"23","knn3-20","EpCAM",0.391723132446611,"CD8"
"24","knn3-25","EpCAM",0.502097300397949,"CD8"
"25","knn3-30","EpCAM",0.5801814075216,"CD8"
"26","knn5-10","EpCAM",0.00356122802614754,"CD8"
"27","knn5-15","EpCAM",0.121356612770229,"CD8"
"28","knn5-20","EpCAM",0.292749674350793,"CD8"
"29","knn5-25","EpCAM",0.423343969215693,"CD8"
"30","knn5-30","EpCAM",0.521899162274884,"CD8"
"31","knn1-10","SMA",0.359492823767014,"CD8"
"32","knn1-15","SMA",0.63135314714564,"CD8"
"33","knn1-20","SMA",0.735513091695646,"CD8"
"34","knn1-25","SMA",0.798599409648777,"CD8"
"35","knn1-30","SMA",0.84260089150205,"CD8"
"36","knn3-10","SMA",0.0968104303349705,"CD8"
"37","knn3-15","SMA",0.469735536992555,"CD8"
"38","knn3-20","SMA",0.631042435975573,"CD8"
"39","knn3-25","SMA",0.719033449252501,"CD8"
"40","knn3-30","SMA",0.777232041491892,"CD8"
"41","knn5-10","SMA",0.0120340826252704,"CD8"
"42","knn5-15","SMA",0.320510522353279,"CD8"
"43","knn5-20","SMA",0.54140226341137,"CD8"
"44","knn5-25","SMA",0.653413640220366,"CD8"
"45","knn5-30","SMA",0.725653987260842,"CD8"
"46","knn1-10","Unclass",0.23799280584137,"CD8"
"47","knn1-15","Unclass",0.430024259372124,"CD8"
"48","knn1-20","Unclass",0.534733923684556,"CD8"
"49","knn1-25","Unclass",0.613953321621912,"CD8"
"50","knn1-30","Unclass",0.676991837856571,"CD8"
"51","knn3-10","Unclass",0.0678545393706904,"CD8"
"52","knn3-15","Unclass",0.28898528902114,"CD8"
"53","knn3-20","Unclass",0.404402538271251,"CD8"
"54","knn3-25","Unclass",0.489609101447197,"CD8"
"55","knn3-30","Unclass",0.558180666594964,"CD8"
"56","knn5-10","Unclass",0.0105402789230273,"CD8"
"57","knn5-15","Unclass",0.197911064902783,"CD8"
"58","knn5-20","Unclass",0.329019228241255,"CD8"
"59","knn5-25","Unclass",0.414130187980258,"CD8"
"60","knn5-30","Unclass",0.482402992387576,"CD8"
