"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,23352,0.149066461116821,4.39799588900308,2.48445529290853,4.57857999314834,3.2459318259678
100,5880,0.592006802721088,17.4663265306122,9.86683673469388,18.1835034013605,12.8909863945578
150,2576,1.3513198757764,39.8687888198758,22.5221273291925,41.5058229813665,29.4250776397516
200,1470,2.36802721088435,69.865306122449,39.4673469387755,72.7340136054422,51.5639455782313
250,952,3.65651260504202,107.88025210084,60.9422268907563,112.30987394958,79.6207983193277
300,644,5.40527950310559,159.475155279503,90.0885093167702,166.023291925466,117.700310559006
350,480,7.25208333333333,213.9625,120.86875,222.747916666667,157.914583333333
400,357,9.75070028011205,287.680672268908,162.512605042017,299.49299719888,212.322128851541
450,285,12.2140350877193,360.357894736842,203.568421052632,375.154385964912,265.961403508772
500,238,14.6260504201681,431.521008403361,243.768907563025,449.239495798319,318.483193277311
