"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,53628,0.507924964570747,6.05901767733274,3.11456701722981,1.22689639740434
100,13366,2.03793206643723,24.3104144845129,12.4964836151429,4.9226395331438
150,5995,4.54361968306922,54.2006672226856,27.8612176814012,10.9751459549625
200,3362,8.10202260559191,96.6487209994051,49.6811421772754,19.570493753718
250,2145,12.6988344988345,151.483916083916,77.8685314685315,30.6741258741259
300,1458,18.6824417009602,222.862139917695,114.559670781893,45.1275720164609
350,1081,25.1979648473636,300.585568917669,154.512488436633,60.8658649398705
400,861,31.6364692218351,377.390243902439,193.993031358885,76.418118466899
450,648,42.0354938271605,501.439814814815,257.759259259259,101.537037037037
500,528,51.5890151515151,615.403409090909,316.340909090909,124.613636363636
