"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,123552,0.183064620564621,3.74797656047656,2.28610625485625,1.84045584045584
100,30888,0.732258482258482,14.9919062419062,9.14442501942502,7.36182336182336
150,13728,1.64758158508159,33.731789044289,20.5749562937063,16.5641025641026
200,7722,2.92903392903393,59.967624967625,36.5777000777001,29.4472934472934
250,4898,4.61780318497346,94.542670477746,57.6670069416088,46.4254797876684
300,3432,6.59032634032634,134.927156177156,82.2998251748252,66.2564102564103
350,2565,8.81793372319688,180.534113060429,110.118128654971,88.6518518518518
400,1950,11.5989743589744,237.471794871795,144.847692307692,116.611282051282
450,1540,14.687012987013,300.694805194805,183.411038961039,147.657142857143
500,1240,18.2403225806452,373.443548387097,227.784677419355,183.38064516129
