"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,12096,0.280505952380952,4.81340939153439,2.08316798941799,3.52529761904762,3.13508597883598
100,3024,1.12202380952381,19.2536375661376,8.33267195767196,14.1011904761905,12.5403439153439
150,1344,2.52455357142857,43.3206845238095,18.7485119047619,31.7276785714286,28.2157738095238
200,744,4.56048387096774,78.2567204301075,33.8682795698925,57.3145161290323,50.9704301075269
250,475,7.14315789473684,122.574736842105,53.0484210526316,89.7726315789474,79.8357894736842
300,336,10.0982142857143,173.282738095238,74.9940476190476,126.910714285714,112.863095238095
350,252,13.4642857142857,231.043650793651,99.9920634920635,169.214285714286,150.484126984127
400,192,17.671875,303.244791666667,131.239583333333,222.09375,197.510416666667
450,154,22.0324675324675,378.071428571429,163.623376623377,276.896103896104,246.246753246753
500,130,26.1,447.869230769231,193.830769230769,328.015384615385,291.707692307692
