"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,173432,1.03076133585497,2.52000784169012,5.16279002721528,4.40389316850408,2.25234097513723
100,43358,4.1230453434199,10.0800313667605,20.6511601088611,17.6155726740163,9.00936390054892
150,19293,9.26589954905924,22.6532939408075,46.4102524231587,39.588244440989,20.2471362670399
200,10906,16.3916192921328,40.0742710434623,82.100953603521,70.0326425820649,35.8177150192555
250,6890,25.9458635703919,63.4325108853411,129.955442670537,110.852830188679,56.6949201741655
300,4806,37.1966292134831,90.9384103204328,186.307324178111,158.921348314607,81.2792342904702
350,3572,50.0467525195969,122.354423292273,250.66993281075,213.823068309071,109.358342665174
400,2747,65.0771751001092,159.100837277029,325.953039679651,278.040043684019,142.201674554059
450,2124,84.1652542372881,205.767419962335,421.559792843691,359.593220338983,183.911487758945
500,1749,102.210977701544,249.885648942253,511.94568324757,436.692967409949,223.343624928531
