"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,8500,4.95258823529412,5.51435294117647,0.241647058823529,0.182470588235294,2.13976470588235
100,2150,19.58,21.8009302325581,0.955348837209302,0.721395348837209,8.45953488372093
150,924,45.5595238095238,50.7272727272727,2.22294372294372,1.67857142857143,19.6839826839827
200,525,80.1847619047619,89.28,3.91238095238095,2.95428571428571,34.6438095238095
250,340,123.814705882353,137.858823529412,6.04117647058824,4.56176470588235,53.4941176470588
300,238,176.878151260504,196.941176470588,8.63025210084034,6.51680672268908,76.4201680672269
350,168,250.577380952381,279,12.2261904761905,9.23214285714286,108.261904761905
400,143,294.384615384615,327.776223776224,14.3636363636364,10.8461538461538,127.188811188811
450,99,425.222222222222,473.454545454545,20.7474747474747,15.6666666666667,183.717171717172
500,90,467.744444444444,520.8,22.8222222222222,17.2333333333333,202.088888888889
