"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,15680,0.227040816326531,7.50835459183673,0.1125,0.0201530612244898,2.28163265306122
100,3920,0.908163265306122,30.0334183673469,0.45,0.0806122448979592,9.1265306122449
150,1739,2.04715353651524,67.7004025301898,1.01437607820587,0.181713628522139,20.5727429557217
200,980,3.63265306122449,120.133673469388,1.8,0.322448979591837,36.5061224489796
250,616,5.77922077922078,191.121753246753,2.86363636363636,0.512987012987013,58.0779220779221
300,437,8.14645308924485,269.407322654462,4.03661327231121,0.723112128146453,81.8672768878719
350,320,11.125,367.909375,5.5125,0.9875,111.8
400,238,14.9579831932773,494.668067226891,7.41176470588235,1.32773109243697,150.319327731092
450,192,18.5416666666667,613.182291666667,9.1875,1.64583333333333,186.333333333333
500,154,23.1168831168831,764.487012987013,11.4545454545455,2.05194805194805,232.311688311688
