"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.Unclass"
50,50982,0.47155858930603,2.15419167549331,11.7373582833157
100,12702,1.89269406392694,8.64627617698,47.1102188631712
150,5684,4.22959183673469,19.3217804363125,105.276917663617
200,3139,7.65880853775088,34.9872570882447,190.632048423065
250,2065,11.6421307506053,53.18401937046,289.779176755448
300,1421,16.9183673469388,77.2871217452498,421.107670654469
350,1050,22.8961904761905,104.595238095238,569.899047619048
400,814,29.534398034398,134.920147420147,735.127764127764
450,627,38.3429027113238,175.159489633174,954.37639553429
500,493,48.7647058823529,222.768762677485,1213.78093306288
