"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,52993,0.231011643047195,5.72205763025305,5.04028833996943,2.47447776121375
100,13365,0.915974560419005,22.6882903105125,19.9850355405911,9.81144781144781
150,5940,2.06094276094276,51.0486531986532,44.96632996633,22.0757575757576
200,3283,3.72890648796832,92.3633871459031,81.3585135546756,39.942126104173
250,2106,5.81291547958215,143.983380816714,126.828110161443,62.2649572649573
300,1485,8.24377104377104,204.194612794613,179.86531986532,88.3030303030303
350,1064,11.5056390977444,284.989661654135,251.033834586466,123.242481203008
400,850,14.4023529411765,356.74,314.235294117647,154.270588235294
450,660,18.5484848484848,459.437878787879,404.69696969697,198.681818181818
500,540,22.6703703703704,561.535185185185,494.62962962963,242.833333333333
