"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,157677,0.441402360521826,4.94465267604026,5.74436347723511,2.83060306829785
100,39624,1.75648596810014,19.6764082374319,22.8587219866747,11.2639057137089
150,17576,3.95988848429677,44.3592398725535,51.5335685025034,25.3937756030951
200,9906,7.02594387240056,78.7056329497274,91.434887946699,45.0556228548355
250,6262,11.1145001596934,124.506228042159,144.642925582881,71.2745129351645
300,4420,15.7463800904977,176.393212669683,204.921719457014,100.977601809955
350,3168,21.9693813131313,246.104166666667,285.907196969697,140.884154040404
400,2457,28.3268213268213,317.321123321123,368.642246642247,181.652828652829
450,1960,35.509693877551,397.784693877551,462.119387755102,227.714795918367
500,1581,44.022137887413,493.142314990512,572.899430740038,282.302972802024
