"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,117612,0.712580348943985,5.30353195252185,1.97928782777268,1.33592660612863,4.08204094820256
100,29502,2.84075655887736,21.1429394617314,7.89058368924141,5.3257745237611,16.2733712968612
150,13068,6.41322314049587,47.7317875726967,17.8135904499541,12.0233394551576,36.7383685338231
200,7326,11.4398034398034,85.1431886431886,31.7755937755938,21.4470379470379,65.533306033306
250,4661,17.9806908388758,133.825144818708,49.943788886505,33.7097189444325,103.003003647286
300,3300,25.3963636363636,189.017878787879,70.5418181818182,47.6124242424242,145.483939393939
350,2394,35.0075187969925,260.550960735171,97.2380952380952,65.6311612364244,200.541771094403
400,1813,46.2261445118588,344.047986762273,128.399338113624,86.6635410921125,264.80805295091
450,1452,57.7190082644628,429.58608815427,160.322314049587,108.210055096419,330.645316804408
500,1200,69.84,519.799166666667,193.99,130.934166666667,400.080833333333
