"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,172159,0.403562985379794,4.36822356077812,2.36930976597215,3.23184381879542,4.03506061257326
100,43092,1.61229462545252,17.4517079736378,9.46574770258981,12.9117005476655,16.1206720504966
150,19224,3.61407615480649,39.119277985851,21.2181647940075,28.942519766958,36.1356637536413
200,10773,6.44917850181008,69.8068318945512,37.8629908103592,51.6468021906618,64.4826882019864
250,6955,9.98950395398994,108.127821710999,58.6481667864845,79.9987059669303,99.8809489575845
300,4806,14.456304619226,156.477111943404,84.87265917603,115.770079067832,144.542655014565
350,3496,19.8732837528604,215.111270022883,116.675629290618,159.150743707094,198.704805491991
400,2680,25.9242537313433,280.607835820896,152.200746268657,207.608582089552,259.205970149254
450,2124,32.7104519774011,354.062617702448,192.042372881356,261.954331450094,327.058380414313
500,1696,40.9652122641509,443.413325471698,240.505896226415,328.060731132075,409.594339622641
