"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.Unclass"
50,23200,0.329051724137931,6.00581896551724,6.4275
100,5800,1.31620689655172,24.023275862069,25.71
150,2613,2.92154611557597,53.3237657864524,57.0677382319173
200,1450,5.2648275862069,96.0931034482759,102.84
250,920,8.29782608695652,151.451086956522,162.084782608696
300,627,12.1754385964912,222.224880382775,237.827751196172
350,493,15.4847870182556,282.62677484787,302.470588235294
400,350,21.8114285714286,398.1,426.051428571429
450,286,26.6923076923077,487.185314685315,521.391608391608
500,240,31.8083333333333,580.5625,621.325
