"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,158330,0.590166108760184,3.26141602981115,5.26257184361776,2.34416724562622
100,39694,2.35403335516703,13.0090189953142,20.9911573537562,9.35033002468887
150,17582,5.31458309634854,29.3698100329883,47.3906836537368,21.1097713570697
200,9879,9.45854843607653,52.2704727199109,84.342848466444,37.5697945136147
250,6319,14.7873081183732,81.7186263649312,131.859946194018,58.7358759297357
300,4366,21.4019697663765,118.273018781493,190.843563902886,85.0096197892808
350,3264,28.6277573529412,158.204656862745,255.276654411765,113.710784313725
400,2464,37.9224837662338,209.569805194805,338.158685064935,150.62987012987
450,1950,47.9184615384615,264.810256410256,427.293846153846,190.334358974359
500,1620,57.6796296296296,318.753086419753,514.335185185185,229.106172839506
