"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,205260,0.912735067718991,5.25512520705447,7.07584039754458,2.05339082139725
100,51315,3.65094027087596,21.0205008282179,28.3033615901783,8.21356328558901
150,22770,8.22784365393061,47.3722880983751,63.7851119894598,18.5102766798419
200,12948,14.4692616620327,83.3076150756874,112.170759962929,32.5516682113068
250,8184,22.8919843597263,131.801930596285,177.466642228739,51.500366568915
300,5720,32.7531468531469,188.578146853147,253.913811188811,73.6851398601399
350,4183,44.7879512311738,257.869232608176,347.211809705953,100.75998087497
400,3198,58.5828642901814,337.294246404002,454.15478424015,131.794559099437
450,2553,73.3834704269487,422.509596553075,568.894242068155,165.091656874266
500,2046,91.5679374389052,527.207722385142,709.866568914956,206.00146627566
