"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,132184,0.593233674272227,2.85441505779822,6.90156902499546,0.315605519578769
100,32984,2.37739510065486,11.4391219985447,27.6581675964104,1.2647950521465
150,14774,5.30770272099635,25.5386489779342,61.7488154866658,2.82374441586571
200,8246,9.50958040261945,45.756487994179,110.632670385642,5.05918020858598
250,5350,14.6571962616822,70.5248598130841,170.519065420561,7.79775700934579
300,3649,21.4897232118389,103.400383666758,250.007399287476,11.4327212935051
350,2660,29.4796992481203,141.845112781955,342.961278195489,15.6834586466165
400,2077,37.7544535387578,181.660086663457,439.22821376986,20.08570052961
450,1652,47.4673123486683,228.394673123487,552.225786924939,25.2530266343826
500,1325,59.1818867924528,284.760754716981,688.510943396226,31.4852830188679
