"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,177776,0.596672216722167,1.74912249122491,9.15866596165962,0.94030127801278
100,44280,2.39552845528455,7.02240289069557,36.7703477868112,3.77513550135501
150,19710,5.38173515981735,15.7763571790969,82.6073566717402,8.48112633181126
200,11152,9.51165710186514,27.8830703012912,145.999910329986,14.9895086083214
250,7074,14.9949109414758,43.9570257280181,230.165535764772,23.6306191687871
300,4905,21.6256880733945,63.3949031600408,331.945158002039,34.080122324159
350,3666,28.9345335515548,84.8205128205128,444.13284233497,45.5981996726678
400,2788,38.0466284074605,111.532281205165,583.999641319943,59.9580344332855
450,2190,48.4356164383562,141.987214611872,743.466210045662,76.3301369863014
500,1782,59.5252525252525,174.496071829405,913.687429854097,93.8063973063973
