"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,138334,0.367675336504402,2.91832810444287,6.40799080486359,1.7354952506253
100,34463,1.47584365841627,11.714128195456,25.7215854684734,6.9662536633491
150,15456,3.29076086956522,26.1195652173913,57.3526785714286,15.5329968944099
200,8640,5.88680555555556,46.725,102.597569444444,27.7868055555556
250,5472,9.29495614035088,73.7763157894737,161.996162280702,43.8739035087719
300,3840,13.2453125,105.13125,230.84453125,62.5203125
350,2829,17.9787910922587,142.702014846235,313.341463414634,84.8632025450689
400,2160,23.5472222222222,186.9,410.390277777778,111.147222222222
450,1728,29.4340277777778,233.625,512.987847222222,138.934027777778
500,1392,36.5387931034483,290.01724137931,636.8125,172.469827586207
