"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.EpCAM: SMA","Nexpected.SMA","Nexpected.Unclass"
50,14112,0.556972789115646,5.87953514739229,0.0183531746031746,0.0359977324263039,3.41376133786848
100,3552,2.21283783783784,23.3592342342342,0.0729166666666667,0.143018018018018,13.5627815315315
150,1568,5.01275510204082,52.9158163265306,0.165178571428571,0.323979591836735,30.7238520408163
200,888,8.85135135135135,93.4369369369369,0.291666666666667,0.572072072072072,54.2511261261261
250,551,14.2649727767695,150.584392014519,0.47005444646098,0.921960072595281,87.431941923775
300,400,19.65,207.43,0.6475,1.27,120.4375
350,294,26.734693877551,282.21768707483,0.880952380952381,1.72789115646258,163.860544217687
400,216,36.3888888888889,384.12962962963,1.19907407407407,2.35185185185185,223.032407407407
450,176,44.6590909090909,471.431818181818,1.47159090909091,2.88636363636364,273.721590909091
500,150,52.4,553.146666666667,1.72666666666667,3.38666666666667,321.166666666667
