"gridsize","Ntiles","Nexpected.CD8","Nexpected.EpCAM","Nexpected.SMA","Nexpected.Unclass"
50,227856,0.367245102169791,3.29188171476722,6.47763499754231,2.6295203988484
100,56964,1.46898040867917,13.1675268590689,25.9105399901692,10.5180815953936
150,25380,3.29704491725768,29.5537825059102,58.1547675334909,23.6072498029945
200,14241,5.87592163471666,52.6701074362755,103.642159960677,42.0723263815743
250,9153,9.1422484431334,81.9485414618158,161.25510761499,65.4596307221676
300,6298,13.2865989202922,119.097332486504,234.355033343919,95.1336932359479
350,4698,17.8116219667944,159.658365261814,314.169433801618,127.533418475947
400,3570,23.4394957983193,210.105042016807,413.436414565826,167.829691876751
450,2835,29.5164021164021,264.57671957672,520.623633156966,211.341093474427
500,2240,37.3566964285714,334.854910714286,658.914285714286,267.478571428571
