"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",41.0853628141511,27.8686203461886
"2","knn3","CD8",1,"CD8",65.400331724436,58.9251132016605
"3","knn5","CD8",1,"CD8",84.0248651210439,79.4230791954578
"4","knn1","EpCAM",0,"CD8",27.4639782272422,15.7419820861291
"5","knn3","EpCAM",0,"CD8",32.1225777378723,20.7092052026516
"6","knn5","EpCAM",0,"CD8",35.9521657484984,24.468214841784
"7","knn1","EpCAM: SMA",0,"CD8",28.3284341851458,16.5081797906369
"8","knn3","EpCAM: SMA",0,"CD8",34.5773378976414,22.343486177816
"9","knn5","EpCAM: SMA",0,"CD8",39.5764143858096,27.185433812214
"10","knn1","SMA",0,"CD8",13.7335971107424,10.9553639829994
"11","knn3","SMA",0,"CD8",17.8734545331956,15.3339502816649
"12","knn5","SMA",0,"CD8",21.2069887315443,18.8515406084027
"13","knn1","Unclass",0,"CD8",18.7155344096369,13.2276226133036
"14","knn3","Unclass",0,"CD8",24.2862577170351,18.744532193775
"15","knn5","Unclass",0,"CD8",28.5993982427089,22.7977376967847
"16","knn1","CD8",1,"EpCAM",76.3820065584328,69.0990231363402
"17","knn3","CD8",1,"EpCAM",104.066405577397,98.3703808520616
"18","knn5","CD8",1,"EpCAM",124.700542307219,118.951829008546
"19","knn1","EpCAM",0,"EpCAM",9.11236946252232,8.45281018360182
"20","knn3","EpCAM",0,"EpCAM",11.8135563883465,10.6048349505494
"21","knn5","EpCAM",0,"EpCAM",14.4924136851361,12.9819178580168
"22","knn1","EpCAM: SMA",0,"EpCAM",15.9386379170283,11.8903322073015
"23","knn3","EpCAM: SMA",0,"EpCAM",21.712270670359,17.7258078134957
"24","knn5","EpCAM: SMA",0,"EpCAM",26.345555425053,21.9880032286421
"25","knn1","SMA",0,"EpCAM",20.6687121717434,17.741758650145
"26","knn3","SMA",0,"EpCAM",25.8134274507595,22.8094060938443
"27","knn5","SMA",0,"EpCAM",29.6776901944166,26.6285854287384
"28","knn1","Unclass",0,"EpCAM",29.5244257477325,25.2525246138427
"29","knn3","Unclass",0,"EpCAM",36.6626027559651,32.3114943551353
"30","knn5","Unclass",0,"EpCAM",41.8880378507282,37.4624052642762
"31","knn1","CD8",1,"EpCAM: SMA",71.3998269235685,63.5708266424151
"32","knn3","CD8",1,"EpCAM: SMA",98.3616747022312,91.3367725075315
"33","knn5","CD8",1,"EpCAM: SMA",118.415224104496,110.878008515575
"34","knn1","EpCAM",0,"EpCAM: SMA",11.6969310631234,9.52575456328756
"35","knn3","EpCAM",0,"EpCAM: SMA",15.8505932031421,13.2012386849503
"36","knn5","EpCAM",0,"EpCAM: SMA",19.3068160664016,16.3160683040487
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",11.2491684248924,9.46414285606512
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",15.8720397835643,14.0284799906987
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",19.9152793741453,18.050889902265
"40","knn1","SMA",0,"EpCAM: SMA",14.5547593203295,10.8632407687576
"41","knn3","SMA",0,"EpCAM: SMA",19.460846455373,16.0717088872778
"42","knn5","SMA",0,"EpCAM: SMA",23.2829241866882,19.9467719457294
"43","knn1","Unclass",0,"EpCAM: SMA",28.5949505933178,23.1019479698145
"44","knn3","Unclass",0,"EpCAM: SMA",36.5023773673758,31.0849805092766
"45","knn5","Unclass",0,"EpCAM: SMA",42.2689429761798,36.8949785655609
"46","knn1","CD8",1,"SMA",72.2878199895844,60.4722250293472
"47","knn3","CD8",1,"SMA",101.613204405044,89.2645319859209
"48","knn5","CD8",1,"SMA",123.699242927428,110.279703014683
"49","knn1","EpCAM",0,"SMA",36.5172337542336,20.2800394476941
"50","knn3","EpCAM",0,"SMA",42.8250453532422,25.4909184929749
"51","knn5","EpCAM",0,"SMA",47.2712026594273,29.3196578383542
"52","knn1","EpCAM: SMA",0,"SMA",34.6106841639608,17.1711968132688
"53","knn3","EpCAM: SMA",0,"SMA",41.3857999440677,23.3048900753284
"54","knn5","EpCAM: SMA",0,"SMA",46.6233317502718,28.0122301421013
"55","knn1","SMA",0,"SMA",9.58912677933434,8.5603738236133
"56","knn3","SMA",0,"SMA",12.5167402583921,10.933192697528
"57","knn5","SMA",0,"SMA",15.2525244919019,13.3468142385577
"58","knn1","Unclass",0,"SMA",22.3042128633502,15.2161098839348
"59","knn3","Unclass",0,"SMA",29.6677682023795,22.1602391695068
"60","knn5","Unclass",0,"SMA",35.2672063037452,27.3499237494411
"61","knn1","CD8",1,"Unclass",68.5137733372201,56.9642870577701
"62","knn3","CD8",1,"Unclass",95.6832140004871,83.6814523690642
"63","knn5","CD8",1,"Unclass",116.249790237708,103.538998478205
"64","knn1","EpCAM",0,"Unclass",38.3430927665835,24.8712685643495
"65","knn3","EpCAM",0,"Unclass",43.0116124903213,29.4718410177405
"66","knn5","EpCAM",0,"Unclass",46.5874150557082,33.050900787461
"67","knn1","EpCAM: SMA",0,"Unclass",43.4623523834067,28.2242803274061
"68","knn3","EpCAM: SMA",0,"Unclass",51.8797879184674,35.7145149874965
"69","knn5","EpCAM: SMA",0,"Unclass",58.2871143736307,41.3898166541947
"70","knn1","SMA",0,"Unclass",15.2699586385327,12.0216471417186
"71","knn3","SMA",0,"Unclass",20.0749989752864,17.1329556119098
"72","knn5","SMA",0,"Unclass",23.8367172844466,20.9448579875179
"73","knn1","Unclass",0,"Unclass",10.4067835971271,8.90449324779311
"74","knn3","Unclass",0,"Unclass",13.7798909005724,11.4276025359821
"75","knn5","Unclass",0,"Unclass",16.8198569155187,13.8674494228818
