"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",28.602569843018,20.8396257164088
"2","knn3","CD8",1,"CD8",44.4942118844329,40.1425907738957
"3","knn5","CD8",1,"CD8",56.6819626507845,54.4504930766172
"4","knn1","EpCAM",0,"CD8",40.1137178859172,22.9019649811972
"5","knn3","EpCAM",0,"CD8",44.9270325366952,26.2055547597154
"6","knn5","EpCAM",0,"CD8",48.7189160850594,28.8428322163407
"7","knn1","EpCAM: SMA",0,"CD8",56.4232175689654,22.2252109101351
"8","knn3","EpCAM: SMA",0,"CD8",67.362948168925,28.6233479325862
"9","knn5","EpCAM: SMA",0,"CD8",74.7208657910285,33.6010739938247
"10","knn1","SMA",0,"CD8",14.3252424893672,9.98098191562363
"11","knn3","SMA",0,"CD8",18.227737713612,13.494936478146
"12","knn5","SMA",0,"CD8",21.3648165566498,16.4393670640886
"13","knn1","Unclass",0,"CD8",19.9975330976156,11.2587743560301
"14","knn3","Unclass",0,"CD8",26.0789306004034,16.5255980377183
"15","knn5","Unclass",0,"CD8",31.1061829261428,20.5761978556234
"16","knn1","CD8",1,"EpCAM",50.9367032193278,46.9572145681574
"17","knn3","CD8",1,"EpCAM",68.4473225869139,65.3596056272434
"18","knn5","CD8",1,"EpCAM",81.9189038519995,79.0271816813108
"19","knn1","EpCAM",0,"EpCAM",8.45544390758204,8.1859635963028
"20","knn3","EpCAM",0,"EpCAM",10.3564645016475,9.85701991162786
"21","knn5","EpCAM",0,"EpCAM",12.3830856216425,11.7222932615227
"22","knn1","EpCAM: SMA",0,"EpCAM",21.3329920182259,15.9050306507093
"23","knn3","EpCAM: SMA",0,"EpCAM",27.9300213622554,21.524092033868
"24","knn5","EpCAM: SMA",0,"EpCAM",33.1966170772254,25.8707179907991
"25","knn1","SMA",0,"EpCAM",24.5815397649129,21.8123818048377
"26","knn3","SMA",0,"EpCAM",28.4219326508611,25.404149346946
"27","knn5","SMA",0,"EpCAM",31.4629494657905,28.2510589582794
"28","knn1","Unclass",0,"EpCAM",37.2440432971374,32.5345969699949
"29","knn3","Unclass",0,"EpCAM",46.1295789462802,41.3025957664276
"30","knn5","Unclass",0,"EpCAM",52.6176263052502,47.5977160478822
"31","knn1","CD8",1,"EpCAM: SMA",44.8674735637383,40.3473047415073
"32","knn3","CD8",1,"EpCAM: SMA",63.0578228971637,59.9487985635237
"33","knn5","CD8",1,"EpCAM: SMA",76.9797446921969,74.0243655953319
"34","knn1","EpCAM",0,"EpCAM: SMA",11.7649717121267,9.89999998711728
