"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",14.2385209829019,9.24553946506166
"2","knn3","CD8",1,"CD8",22.0199336489751,16.9215010395443
"3","knn5","CD8",1,"CD8",28.3318639533633,23.3649693575367
"4","knn1","EpCAM",0,"CD8",78.9715129988598,35.340911137094
"5","knn3","EpCAM",0,"CD8",87.1290119223447,42.6442814249276
"6","knn5","EpCAM",0,"CD8",93.2790979052928,47.9836310900008
"7","knn1","EpCAM: SMA",0,"CD8",70.3662210214015,19.2338243727039
"8","knn3","EpCAM: SMA",0,"CD8",76.1212139820092,23.9412844428633
"9","knn5","EpCAM: SMA",0,"CD8",80.3224988606672,27.486163368945
"10","knn1","SMA",0,"CD8",16.3315179416376,11.1449540151585
"11","knn3","SMA",0,"CD8",20.7838391797493,15.5096306905379
"12","knn5","SMA",0,"CD8",24.3009558413228,18.8494610795032
"13","knn1","Unclass",0,"CD8",27.2868032678045,15.536408851469
"14","knn3","Unclass",0,"CD8",35.2322583582712,22.1515398054945
"15","knn5","Unclass",0,"CD8",41.2404748421431,27.1107942512301
"16","knn1","CD8",1,"EpCAM",38.7490046194589,34.9584038537226
"17","knn3","CD8",1,"EpCAM",49.9619963062409,46.6187691133361
"18","knn5","CD8",1,"EpCAM",58.802681480117,55.4859529875696
"19","knn1","EpCAM",0,"EpCAM",9.52346997184385,8.15414005275841
"20","knn3","EpCAM",0,"EpCAM",13.1885287861911,11.0239100121654
"21","knn5","EpCAM",0,"EpCAM",16.6707060961187,14.2126935859073
"22","knn1","EpCAM: SMA",0,"EpCAM",12.8643615792997,9.84936546179335
"23","knn3","EpCAM: SMA",0,"EpCAM",16.9344050316041,13.780748076224
"24","knn5","EpCAM: SMA",0,"EpCAM",20.2349775139235,16.7775461533927
"25","knn1","SMA",0,"EpCAM",19.7627645715191,17.6819116613562
"26","knn3","SMA",0,"EpCAM",24.7189342268146,22.3734227631226
"27","knn5","SMA",0,"EpCAM",28.4787271649088,25.8862991266791
"28","knn1","Unclass",0,"EpCAM",35.2081178221474,30.3237530658715
"29","knn3","Unclass",0,"EpCAM",44.0494791043246,38.8921387350167
"30","knn5","Unclass",0,"EpCAM",50.6140315761875,45.1431335686098
"31","knn1","CD8",1,"EpCAM: SMA",33.8897613103316,30.1239107686911
"32","knn3","CD8",1,"EpCAM: SMA",44.4247198730707,41.3025766184626
"33","knn5","CD8",1,"EpCAM: SMA",52.7698117196822,49.827185998096
"34","knn1","EpCAM",0,"EpCAM: SMA",18.4023633618103,14.2804061566879
"35","knn3","EpCAM",0,"EpCAM: SMA",24.6725975240907,20.4268863347465
"36","knn5","EpCAM",0,"EpCAM: SMA",29.4664230837943,24.9194652105296
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",8.76824669044639,8.22192191643721
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",11.2028791852069,10.3230362986743
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",13.6245193056958,12.591178297703
"40","knn1","SMA",0,"EpCAM: SMA",15.0183081973324,12.2576506721313
"41","knn3","SMA",0,"EpCAM: SMA",19.977171806943,17.4364899513985
"42","knn5","SMA",0,"EpCAM: SMA",23.8045785438915,21.2207699837768
"43","knn1","Unclass",0,"EpCAM: SMA",43.8051664543526,32.6377082528779
"44","knn3","Unclass",0,"EpCAM: SMA",56.1322354742534,43.4746246691785
"45","knn5","Unclass",0,"EpCAM: SMA",65.165884004324,51.1932467111515
"46","knn1","CD8",1,"SMA",29.0442117886608,24.0852652051003
"47","knn3","CD8",1,"SMA",39.1199954241579,34.9223364015088
"48","knn5","CD8",1,"SMA",47.0508601838099,43.1244490007103
"49","knn1","EpCAM",0,"SMA",54.2788076577143,26.2274665189004
"50","knn3","EpCAM",0,"SMA",61.1867955123399,32.064116260831
"51","knn5","EpCAM",0,"SMA",66.2724836349212,36.4566476161173
"52","knn1","EpCAM: SMA",0,"SMA",44.4013803957267,13.1308796354247
"53","knn3","EpCAM: SMA",0,"SMA",49.6862457312081,17.2882574901318
"54","knn5","EpCAM: SMA",0,"SMA",53.5943293042685,20.4213885849755
"55","knn1","SMA",0,"SMA",9.47419399627922,8.48645980371086
"56","knn3","SMA",0,"SMA",12.5203551013146,11.0612074605561
"57","knn5","SMA",0,"SMA",15.3625830122821,13.6371439419812
"58","knn1","Unclass",0,"SMA",25.5470858254524,16.7358895789863
"59","knn3","Unclass",0,"SMA",34.397995986998,25.0147420090003
"60","knn5","Unclass",0,"SMA",41.0235142702978,31.1868129945609
"61","knn1","CD8",1,"Unclass",29.6967977822974,22.0422321918626
"62","knn3","CD8",1,"Unclass",40.1104712365614,32.1309684974427
"63","knn5","CD8",1,"Unclass",48.0907014318852,39.7831434598443
"64","knn1","EpCAM",0,"Unclass",82.2548830653155,41.7166034088067
"65","knn3","EpCAM",0,"Unclass",90.8065317866691,48.4551813089566
"66","knn5","EpCAM",0,"Unclass",96.6443516979288,53.4889705535651
"67","knn1","EpCAM: SMA",0,"Unclass",87.0848036804695,36.0879481267637
"68","knn3","EpCAM: SMA",0,"Unclass",95.783544799216,42.350927921032
"69","knn5","EpCAM: SMA",0,"Unclass",101.785290934467,46.8411460318888
"70","knn1","SMA",0,"Unclass",16.2579181830765,11.00181803158
"71","knn3","SMA",0,"Unclass",21.3385701302266,15.4527559638006
"72","knn5","SMA",0,"Unclass",25.2683040004939,18.8014514389282
"73","knn1","Unclass",0,"Unclass",10.6970985437183,8.59069263796619
"74","knn3","Unclass",0,"Unclass",14.7195535305117,11.4591051959681
"75","knn5","Unclass",0,"Unclass",18.2944620375394,14.1969131742851
