"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",21.6561117743354,13.6693086877135
"2","knn3","CD8",1,"CD8",33.9038605901383,27.8204151905315
"3","knn5","CD8",1,"CD8",43.2294456260855,36.9769586417321
"4","knn1","EpCAM",0.0127495887848295,"CD8",20.6414312449977,12.5782709463582
"5","knn3","EpCAM",0,"CD8",25.684014726961,17.5004884190786
"6","knn5","EpCAM",0,"CD8",29.5435818441129,21.1924655401171
"7","knn1","EpCAM: SMA",0,"CD8",75.1417159149145,49.2269235276793
"8","knn3","EpCAM: SMA",0,"CD8",94.6472227236652,69.1200769032046
"9","knn5","EpCAM: SMA",0,"CD8",110.917236908825,85.0844758121028
"10","knn1","SMA",0,"CD8",23.7282234175906,18.7181729877679
"11","knn3","SMA",0.31472266635648,"CD8",31.71923347689,26.9476160152997
"12","knn5","SMA",1.79148977319521e-07,"CD8",37.7593842017302,33.0768933906518
"13","knn1","Unclass",0,"CD8",12.9944005762141,9.79897953870731
"14","knn3","Unclass",0,"CD8",16.9412440359339,13.5940989362287
"15","knn5","Unclass",0,"CD8",20.0924552549183,16.72998887439
"16","knn1","CD8",1,"EpCAM",41.8981441726559,33.3165124103526
"17","knn3","CD8",1,"EpCAM",59.3506876842811,48.1904302500689
"18","knn5","CD8",1,"EpCAM",72.6254058175559,58.7971108762914
"19","knn1","EpCAM",0,"EpCAM",8.85541123983258,8.21522975941621
"20","knn3","EpCAM",0,"EpCAM",11.4768222127396,10.3685868458087
"21","knn5","EpCAM",0,"EpCAM",14.101462223071,12.7515881864531
"22","knn1","EpCAM: SMA",0,"EpCAM",63.5155846327364,36.6679691373233
"23","knn3","EpCAM: SMA",0,"EpCAM",85.1900376477757,57.0949465724838
"24","knn5","EpCAM: SMA",0,"EpCAM",101.905802144691,71.7590436566214
"25","knn1","SMA",0,"EpCAM",26.0730317423509,21.819344538692
"26","knn3","SMA",0,"EpCAM",34.6754395966273,30.4272705815187
"27","knn5","SMA",0,"EpCAM",40.9918853594141,36.6239161427367
"28","knn1","Unclass",0,"EpCAM",14.8780096147165,12.6816796856821
"29","knn3","Unclass",0,"EpCAM",19.5148978481094,17.5285128851837
"30","knn5","Unclass",0,"EpCAM",23.0541589740537,20.9580425541913
"31","knn1","CD8",1,"EpCAM: SMA",35.5524098553123,29.3972787856294
"32","knn3","CD8",1,"EpCAM: SMA",52.0015570868765,44.9230982927428
"33","knn5","CD8",1,"EpCAM: SMA",63.8368243162587,55.6922495724528
"34","knn1","EpCAM",0,"EpCAM: SMA",9.82702735303731,8.69770084562589
"35","knn3","EpCAM",0,"EpCAM: SMA",12.9441070380712,11.4106376533568
"36","knn5","EpCAM",0,"EpCAM: SMA",15.7101019551376,14.0117618436369
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",23.0452934314336,15.2266214243345
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",34.9776866813631,25.4310567436833
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",44.4652004993169,32.9440402437427
"40","knn1","SMA",0,"EpCAM: SMA",16.5090243168737,12.8646842168785
"41","knn3","SMA",0,"EpCAM: SMA",23.0053678574245,19.3007472415836
"42","knn5","SMA",0,"EpCAM: SMA",28.130029228962,24.4226080857015
"43","knn1","Unclass",0,"EpCAM: SMA",16.646981589585,13.4617977996996
"44","knn3","Unclass",0,"EpCAM: SMA",22.3509056071976,19.7527895486208
"45","knn5","Unclass",0,"EpCAM: SMA",26.6593049463152,24.3358915626008
"46","knn1","CD8",1,"SMA",43.575407097531,32.3975307701067
