"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",8.55901771985593,7.93977329651156
"2","knn3","CD8",1,"CD8",10.9358332501037,9.86095586858106
"3","knn5","CD8",1,"CD8",13.183022894361,11.8442275941293
"4","knn1","EpCAM",0,"CD8",22.3074046634206,12.9653384066906
"5","knn3","EpCAM",0,"CD8",26.8977347268818,16.7387288259494
"6","knn5","EpCAM",0,"CD8",30.1955845472013,19.4997513488512
"7","knn1","EpCAM: SMA",0,"CD8",86.7047102819315,66.2857450738841
"8","knn3","EpCAM: SMA",0,"CD8",115.537832166079,97.765819773342
"9","knn5","EpCAM: SMA",0,"CD8",134.590814450091,115.995060331399
"10","knn1","SMA",0,"CD8",69.1556965756161,57.1541774501215
"11","knn3","SMA",0,"CD8",92.9823657270467,81.4728425000602
"12","knn5","SMA",0,"CD8",109.878591913971,97.4382584238923
"13","knn1","Unclass",0,"CD8",20.6503046856663,15.3935051239153
"14","knn3","Unclass",0,"CD8",27.030770888554,21.888060330955
"15","knn5","Unclass",0,"CD8",32.0277727817763,26.7765997331975
"16","knn1","CD8",1,"EpCAM",13.7993994408398,11.9004201606499
"17","knn3","CD8",1,"EpCAM",17.7903315882783,16.2731969809743
"18","knn5","CD8",1,"EpCAM",20.8724835572064,19.3886944182427
"19","knn1","EpCAM",0,"EpCAM",8.04553204769026,7.65571681816925
"20","knn3","EpCAM",0,"EpCAM",9.91638221822313,9.25782200176572
"21","knn5","EpCAM",0,"EpCAM",11.8199317536639,10.9623038823871
"22","knn1","EpCAM: SMA",0,"EpCAM",67.7612508367941,47.4195634287413
"23","knn3","EpCAM: SMA",0,"EpCAM",92.6883541299371,69.7039945444885
"24","knn5","EpCAM: SMA",0,"EpCAM",109.613997947193,85.4640741166485
"25","knn1","SMA",0,"EpCAM",78.3455544510863,65.8032294021812
"26","knn3","SMA",0,"EpCAM",102.578827682232,89.6033374811066
"27","knn5","SMA",0,"EpCAM",120.110939335509,106.669714862778
