"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",13.6379671816009,8.02309167341326
"2","knn3","CD8",1,"CD8",19.5149206939808,9.860320344985
"3","knn5","CD8",1,"CD8",24.2712923135607,11.6773693069241
"4","knn1","EpCAM",0,"CD8",141.750725010917,123.001443080225
"5","knn3","EpCAM",0,"CD8",153.335126312092,136.324081478479
"6","knn5","EpCAM",0,"CD8",159.950466961025,143.004855585071
"7","knn1","EpCAM: SMA",0,"CD8",165.116959046462,153.015211652855
"8","knn3","EpCAM: SMA",0,"CD8",178.570277858514,164.904785633717
"9","knn5","EpCAM: SMA",0,"CD8",184.709416604786,170.612423409666
"10","knn1","SMA",0,"CD8",54.9619958539383,42.2619213943713
"11","knn3","SMA",0,"CD8",70.2646798349859,57.109110871544
"12","knn5","SMA",0,"CD8",80.9084119693906,68.1133288804929
"13","knn1","Unclass",0,"CD8",19.5607112737619,12.0208152801713
"14","knn3","Unclass",0,"CD8",25.5393123173911,16.8694440441932
"15","knn5","Unclass",0,"CD8",29.8949264693608,20.3376267034901
"16","knn1","CD8",1,"EpCAM",88.1811437101493,80.5804876994036
"17","knn3","CD8",1,"EpCAM",119.277222005337,113.615666585786
"18","knn5","CD8",1,"EpCAM",142.461807494182,137.338552359272
"19","knn1","EpCAM",0,"EpCAM",8.75428065391017,8.23893196961861
"20","knn3","EpCAM",0,"EpCAM",11.4791001717311,10.6502907561708
"21","knn5","EpCAM",0,"EpCAM",14.2164520924908,13.2997701711628
"22","knn1","EpCAM: SMA",0,"EpCAM",17.0362521233465,11.4542568506212
"23","knn3","EpCAM: SMA",0,"EpCAM",23.7701527305605,17.4323981398426
"24","knn5","EpCAM: SMA",0,"EpCAM",28.9934535866535,21.6049634340084
"25","knn1","SMA",0,"EpCAM",17.2572174785222,15.0602124819005
"26","knn3","SMA",0,"EpCAM",22.8727020390851,20.3850184883977
"27","knn5","SMA",0,"EpCAM",27.1497392761094,24.3373678227851
"28","knn1","Unclass",0,"EpCAM",24.8703738908812,22.10814329608
"29","knn3","Unclass",0,"EpCAM",31.8693128362933,29.4063445911281
"30","knn5","Unclass",0,"EpCAM",37.1345191653784,34.7549797947587
"31","knn1","CD8",1,"EpCAM: SMA",87.011051967984,79.6173975962543
"32","knn3","CD8",1,"EpCAM: SMA",118.261686676732,112.311594840354
"33","knn5","CD8",1,"EpCAM: SMA",141.601198590587,135.68208934632
"34","knn1","EpCAM",0,"EpCAM: SMA",10.9557358344651,9.23092628071542
"35","knn3","EpCAM",0,"EpCAM: SMA",14.6466914592212,12.7047726876427
"36","knn5","EpCAM",0,"EpCAM: SMA",17.7905820980001,15.72204243905
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",11.336536234096,9.5524865872714
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",15.7879712897379,13.8952582272091
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",19.6135143047533,17.5851146138243
"40","knn1","SMA",0,"EpCAM: SMA",14.2469321490011,11.4999999999998
"41","knn3","SMA",0,"EpCAM: SMA",19.8437188095056,17.5007776596953
"42","knn5","SMA",0,"EpCAM: SMA",24.2055146043441,21.8419166043628
"43","knn1","Unclass",0,"EpCAM: SMA",25.4049165995008,21.9440196864653
"44","knn3","Unclass",0,"EpCAM: SMA",33.3823496144924,30.7790466929569
"45","knn5","Unclass",0,"EpCAM: SMA",39.2619103094313,36.9357423708789
"46","knn1","CD8",1,"SMA",86.3980075035904,78.5015923405384
"47","knn3","CD8",1,"SMA",117.759851295742,112.049225557955
"48","knn5","CD8",1,"SMA",141.233671323605,136.92717802802
"49","knn1","EpCAM",0,"SMA",20.7803522264313,13.7440896388221
"50","knn3","EpCAM",0,"SMA",25.077015875419,17.5203433403852
"51","knn5","EpCAM",0,"SMA",28.4425317892892,20.4656370783544
"52","knn1","EpCAM: SMA",0,"SMA",23.7811779951576,13.6619910701189
"53","knn3","EpCAM: SMA",0,"SMA",31.2360675983685,20.0266333766978
"54","knn5","EpCAM: SMA",0,"SMA",36.900043096161,24.6774708282248
"55","knn1","SMA",0,"SMA",10.9348692794044,9.21357693841013
"56","knn3","SMA",0,"SMA",15.194260920322,13.0363918212201
"57","knn5","SMA",0,"SMA",19.0005455505836,16.6948802470329
"58","knn1","Unclass",0,"SMA",20.3869811264177,14.9482440440342
"59","knn3","Unclass",0,"SMA",27.9827821689174,23.7191898511794
"60","knn5","Unclass",0,"SMA",33.7239631310613,30.1447851156634
"61","knn1","CD8",1,"Unclass",63.8391130539084,51.8367630162231
"62","knn3","CD8",1,"Unclass",87.3918678193544,79.0012816027253
"63","knn5","CD8",1,"Unclass",104.943614491758,98.0264246175918
"64","knn1","EpCAM",0,"Unclass",54.9237686374683,27.652486325826
"65","knn3","EpCAM",0,"Unclass",60.8027160173156,32.4913947546845
"66","knn5","EpCAM",0,"Unclass",65.0379593495067,36.2549852865972
"67","knn1","EpCAM: SMA",0,"Unclass",70.7353853970845,40.5913168016602
"68","knn3","EpCAM: SMA",0,"Unclass",82.0611642632303,51.0494831126619
