"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",22.5498186499662,10.0578327685445
"2","knn3","CD8",1,"CD8",37.5238521635985,29.1841233138068
"3","knn5","CD8",1,"CD8",49.4089459938123,42.3705100670758
"4","knn1","EpCAM",0,"CD8",67.2670495860031,28.5043856274786
"5","knn3","EpCAM",0,"CD8",73.8246082169253,33.133459557974
"6","knn5","EpCAM",0,"CD8",78.3604531575431,36.611904725491
"7","knn1","EpCAM: SMA",0,"CD8",59.4240185641146,31.9225625537797
"8","knn3","EpCAM: SMA",0,"CD8",68.8985902373071,40.6553178872469
"9","knn5","EpCAM: SMA",0,"CD8",75.5819648943664,46.9364540831807
"10","knn1","SMA",0,"CD8",18.5560460962938,13.282319074621
"11","knn3","SMA",0,"CD8",24.2694839967484,19.1766915908138
"12","knn5","SMA",0,"CD8",28.6762341773833,23.4802391206295
"13","knn1","Unclass",0,"CD8",21.3326562984627,12.0602653370489
"14","knn3","Unclass",0,"CD8",26.2698530241219,16.6053107477751
"15","knn5","Unclass",0,"CD8",30.0084751563385,19.9949983026797
"16","knn1","CD8",1,"EpCAM",57.9582259063884,52.976976131148
"17","knn3","CD8",1,"EpCAM",75.7834984049471,71.907955184757
"18","knn5","CD8",1,"EpCAM",90.2500225328028,86.7319309778503
"19","knn1","EpCAM",0,"EpCAM",8.72619875624176,8.26196102629304
"20","knn3","EpCAM",0,"EpCAM",11.3003053800301,10.4376698369871
"21","knn5","EpCAM",0,"EpCAM",13.9490620075267,12.9512974188039
"22","knn1","EpCAM: SMA",0,"EpCAM",18.5227398207021,13.1213566371788
"23","knn3","EpCAM: SMA",0,"EpCAM",25.6361967022224,19.781992567986
"24","knn5","EpCAM: SMA",0,"EpCAM",31.2239848211512,24.528331284256
"25","knn1","SMA",0,"EpCAM",17.2679588632159,15.0332963783729
"26","knn3","SMA",0,"EpCAM",22.4797525468461,20.1602706591175
"27","knn5","SMA",0,"EpCAM",26.3515776858406,23.8732164749621
"28","knn1","Unclass",0,"EpCAM",21.0158326109127,19.068298298485
"29","knn3","Unclass",0,"EpCAM",26.291690137815,24.3579533095639
"30","knn5","Unclass",0,"EpCAM",30.1536066771283,28.206952506967
"31","knn1","CD8",1,"EpCAM: SMA",58.1322347412591,53.1204292151345
"32","knn3","CD8",1,"EpCAM: SMA",76.6931937049956,72.8609515046695
"33","knn5","CD8",1,"EpCAM: SMA",91.4695714071445,88.1269004862715
"34","knn1","EpCAM",0,"EpCAM: SMA",23.6936293463129,9.91614844584253
"35","knn3","EpCAM",0,"EpCAM: SMA",28.2571623199905,13.9884848553274
"36","knn5","EpCAM",0,"EpCAM: SMA",31.986125122465,17.2838024909885
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",11.1801101375359,9.33434518324776
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",15.5423253493544,13.2109946873674
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",19.3645088150872,16.8515548414549
"40","knn1","SMA",0,"EpCAM: SMA",13.3704230272457,10.8004629530401
"41","knn3","SMA",0,"EpCAM: SMA",17.9821134894899,15.7935318574934
"42","knn5","SMA",0,"EpCAM: SMA",21.5571132631854,19.3609102013737
"43","knn1","Unclass",0,"EpCAM: SMA",32.4432523639285,20.2237484161563
"44","knn3","Unclass",0,"EpCAM: SMA",38.9093469053481,26.6724093867128
"45","knn5","Unclass",0,"EpCAM: SMA",43.5655102805464,31.2465925973197
"46","knn1","CD8",1,"SMA",56.1922530923142,49.5816498313643
"47","knn3","CD8",1,"SMA",74.8179477283473,69.7366330231575
"48","knn5","CD8",1,"SMA",89.6203204251944,85.2933419770762
"49","knn1","EpCAM",0,"SMA",55.8044065117706,18.4791774708718
"50","knn3","EpCAM",0,"SMA",62.350303419592,22.7993600808577
"51","knn5","EpCAM",0,"SMA",66.9690033454005,26.0437575116478
"52","knn1","EpCAM: SMA",0,"SMA",35.0709886927681,17.0660481658745
"53","knn3","EpCAM: SMA",0,"SMA",42.4932040157183,23.5415035168707
"54","knn5","EpCAM: SMA",0,"SMA",48.0493880806711,28.3529570960044
"55","knn1","SMA",0,"SMA",9.88072396455208,8.70517087712891
"56","knn3","SMA",0,"SMA",13.0096207043646,11.1932001932398
"57","knn5","SMA",0,"SMA",15.9075057329958,13.7847360346833
"58","knn1","Unclass",0,"SMA",28.4451445111036,13.8105032493389
"59","knn3","Unclass",0,"SMA",35.3117752826392,19.9214098837106
"60","knn5","Unclass",0,"SMA",40.4025985484953,24.4922377237145
"61","knn1","CD8",1,"Unclass",47.7820302046292,41.0320606266899
"62","knn3","CD8",1,"Unclass",64.4470522056418,58.7164700862305
"63","knn5","CD8",1,"Unclass",77.4506531884644,72.0433311652002
"64","knn1","EpCAM",0,"Unclass",48.7576479785762,26.4682829061488
"65","knn3","EpCAM",0,"Unclass",52.7796284002508,30.177776809066
"66","knn5","EpCAM",0,"Unclass",55.9241651547448,33.1534700020947
"67","knn1","EpCAM: SMA",0,"Unclass",54.2334250467866,34.2600350250078
"68","knn3","EpCAM: SMA",0,"Unclass",63.0794362504307,43.278685304257
"69","knn5","EpCAM: SMA",0,"Unclass",69.8145870486819,49.8944850484893
"70","knn1","SMA",0,"Unclass",19.1081333851311,14.4256715614904
"71","knn3","SMA",0,"Unclass",25.2608258310393,20.7847904890172
"72","knn5","SMA",0,"Unclass",29.9346065700308,25.474491965498
"73","knn1","Unclass",0,"Unclass",9.66370544831246,8.66487160897396
"74","knn3","Unclass",0,"Unclass",12.5108854257189,10.8467311835221
"75","knn5","Unclass",0,"Unclass",15.1825104831612,13.0243603896979
