"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",18.1985309030569,9.63379468330113
"2","knn3","CD8",1,"CD8",27.2244829545621,16.1044034194168
"3","knn5","CD8",1,"CD8",34.5631449054642,21.8146052818234
"4","knn1","EpCAM",0,"CD8",65.5576805913654,34.8365469005407
"5","knn3","EpCAM",0,"CD8",70.8010078561864,39.0680733420075
"6","knn5","EpCAM",0,"CD8",74.3413994877003,42.2453914361252
"7","knn1","SMA",0,"CD8",17.3812997310058,11.0794855269437
"8","knn3","SMA",0,"CD8",22.2120559237338,15.3768550910762
"9","knn5","SMA",0,"CD8",25.9320001103991,18.5819842214409
"10","knn1","Unclass",0,"CD8",33.2587952114314,18.8533816595298
"11","knn3","Unclass",0,"CD8",41.3666397039867,25.4526979064706
"12","knn5","Unclass",0,"CD8",47.1569883362086,30.2297278172348
"13","knn1","CD8",1,"EpCAM",58.4493489591598,52.7365148639906
"14","knn3","CD8",1,"EpCAM",76.8235628209372,72.0315424863103
"15","knn5","CD8",1,"EpCAM",90.266127388867,85.9311664451555
"16","knn1","EpCAM",0,"EpCAM",8.58229616173874,8.18840643837258
"17","knn3","EpCAM",0,"EpCAM",10.7872906095935,10.0003482864799
"18","knn5","EpCAM",0,"EpCAM",13.1045282734053,12.0763006095361
"19","knn1","SMA",0,"EpCAM",15.9538834804647,12.8269248068284
"20","knn3","SMA",0,"EpCAM",20.4134261109622,17.3521438367713
"21","knn5","SMA",0,"EpCAM",23.8151997461412,20.5871309693638
"22","knn1","Unclass",0,"EpCAM",28.8757581430386,20.9764153276955
"23","knn3","Unclass",0,"EpCAM",37.100670245548,27.7890734285837
"24","knn5","Unclass",0,"EpCAM",43.0786797046537,32.694791139111
"25","knn1","CD8",1,"SMA",49.8977875441203,41.7480538468561
"26","knn3","CD8",1,"SMA",67.5891593934373,61.4947263328442
"27","knn5","CD8",1,"SMA",80.7333558738768,75.6433494003882
"28","knn1","EpCAM",0,"SMA",34.7548931414529,14.928161306739
"29","knn3","EpCAM",0,"SMA",39.4283095201529,18.9882994973973
"30","knn5","EpCAM",0,"SMA",42.8308058351408,21.9938027436
"31","knn1","SMA",0,"SMA",9.12820094761699,8.30963296421615
"32","knn3","SMA",0,"SMA",11.6750849112121,10.3714886296335
"33","knn5","SMA",0,"SMA",14.1066942032107,12.5158754909822
"34","knn1","Unclass",0,"SMA",25.286467321945,14.9586095610526
"35","knn3","Unclass",0,"SMA",33.5141217314606,21.5459989917187
"36","knn5","Unclass",0,"SMA",39.5684935063452,26.3917745057905
"37","knn1","CD8",1,"Unclass",58.6756704296735,46.0848131166873
"38","knn3","CD8",1,"Unclass",79.3498969816849,67.373156257729
"39","knn5","CD8",1,"Unclass",94.6624832993061,82.5655258291284
"40","knn1","EpCAM",0,"Unclass",104.452671789124,24.7735746310457
"41","knn3","EpCAM",0,"Unclass",118.066778177064,29.893741936697
"42","knn5","EpCAM",0,"Unclass",128.06677382723,33.6546351719103
"43","knn1","SMA",0,"Unclass",22.4983143139428,12.5717938258621
"44","knn3","SMA",0,"Unclass",29.2639861711589,17.7711079900835
"45","knn5","SMA",0,"Unclass",34.4356518206064,21.5670268465827
"46","knn1","Unclass",0,"Unclass",9.71182501573514,8.41486779456602
"47","knn3","Unclass",0,"Unclass",12.7561178024168,10.6992516620452
"48","knn5","Unclass",0,"Unclass",15.5224867246446,12.9663342900584
