"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",29.9571160213051,10.5054702324278
"2","knn3","CD8",1,"CD8",54.3597338110855,45.0393537408542
"3","knn5","CD8",1,"CD8",74.2671173376389,68.6086696239617
"4","knn1","EpCAM",0,"CD8",18.9845512178127,11.539497389401
"5","knn3","EpCAM",0,"CD8",22.1832643188894,14.9962493684191
"6","knn5","EpCAM",0,"CD8",24.6700896402997,17.5260422443362
"7","knn1","EpCAM: SMA",0,"CD8",33.9713360507884,19.2866499659665
"8","knn3","EpCAM: SMA",0,"CD8",43.2761676430318,27.7100480836151
"9","knn5","EpCAM: SMA",0,"CD8",50.4673868448613,34.0116321917017
"10","knn1","SMA",0,"CD8",23.3274400632651,18.3312551809183
"11","knn3","SMA",0,"CD8",31.5034609637733,26.8140699213029
"12","knn5","SMA",0,"CD8",37.925897409212,33.3707155629499
"13","knn1","Unclass",0,"CD8",17.9291982005627,11.2389945619264
"14","knn3","Unclass",0,"CD8",22.4092032065563,15.7625590001929
"15","knn5","Unclass",0,"CD8",25.8611635913528,18.8265851355611
"16","knn1","CD8",1,"EpCAM",71.3299719623143,66.5082701581901
"17","knn3","CD8",1,"EpCAM",91.609287152736,88.1065946645676
"18","knn5","CD8",1,"EpCAM",108.581223715076,105.600798411824
"19","knn1","EpCAM",0,"EpCAM",8.20508718506441,7.97119815335179
"20","knn3","EpCAM",0,"EpCAM",9.98972099337498,9.60788490966971
"21","knn5","EpCAM",0,"EpCAM",11.879594692328,11.3928414327021
"22","knn1","EpCAM: SMA",0,"EpCAM",26.4105922115494,15.6540729524296
"23","knn3","EpCAM: SMA",0,"EpCAM",35.380848847024,22.2811474779616
"24","knn5","EpCAM: SMA",0,"EpCAM",42.1522310202455,27.1294510120771
"25","knn1","SMA",0,"EpCAM",29.5165905568578,25.0379711638144
"26","knn3","SMA",0,"EpCAM",38.4509976971756,33.8297143112742
"27","knn5","SMA",0,"EpCAM",45.0680431808429,40.1945311562451
"28","knn1","Unclass",0,"EpCAM",28.4099203182693,23.8941415267295
"29","knn3","Unclass",0,"EpCAM",33.9864823560932,29.8110225114141
"30","knn5","Unclass",0,"EpCAM",38.0581761758033,33.9935431822978
"31","knn1","CD8",1,"EpCAM: SMA",69.4945023105458,64.7252265842
"32","knn3","CD8",1,"EpCAM: SMA",89.6391932639949,86.1844394438472
"33","knn5","CD8",1,"EpCAM: SMA",107.083485207527,104.727345838824
"34","knn1","EpCAM",0,"EpCAM: SMA",9.43402782244458,8.66083136887032
"35","knn3","EpCAM",0,"EpCAM: SMA",11.8876801779804,11.0421761396702
"36","knn5","EpCAM",0,"EpCAM: SMA",14.0360452502083,13.2002815248983
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",11.0717963800094,8.65563400335266
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",15.7569726426382,12.8456127884462
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",19.8174367573514,16.5709942090958
"40","knn1","SMA",0,"EpCAM: SMA",24.7727159357385,18.8809427730714
"41","knn3","SMA",0,"EpCAM: SMA",33.9930441928856,28.9276077408255
"42","knn5","SMA",0,"EpCAM: SMA",40.7639204485914,35.8773902847857
"43","knn1","Unclass",0,"EpCAM: SMA",27.7697678945991,21.0347329876963
"44","knn3","Unclass",0,"EpCAM: SMA",34.2992524968784,29.0984834695998
"45","knn5","Unclass",0,"EpCAM: SMA",39.1341422447993,34.8706761174182
"46","knn1","CD8",1,"SMA",63.1171627055972,57.507043046917
"47","knn3","CD8",1,"SMA",84.0028491053783,80.7284486818328
"48","knn5","CD8",1,"SMA",101.744163399423,99.090111497529
"49","knn1","EpCAM",0,"SMA",16.5822901418919,11.0054531937587
"50","knn3","EpCAM",0,"SMA",20.2167631982758,14.4007026010926
"51","knn5","EpCAM",0,"SMA",22.8886884219434,16.9213011128991
"52","knn1","EpCAM: SMA",0,"SMA",24.7510060630753,14.9003355666916
"53","knn3","EpCAM: SMA",0,"SMA",33.2301123926632,23.1464173784291
"54","knn5","EpCAM: SMA",0,"SMA",39.7183541235293,29.0409156000161
"55","knn1","SMA",0,"SMA",12.9039036302601,9.30053761886914
"56","knn3","SMA",0,"SMA",19.0200673401504,14.8459072469958
"57","knn5","SMA",0,"SMA",24.2578785795251,19.7608948216266
"58","knn1","Unclass",0,"SMA",14.0498867394226,9.84123975929863
