"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",35.3703573199021,25.0306782558658
"2","knn3","CD8",1,"CD8",56.7175943267715,51.9737694949998
"3","knn5","CD8",1,"CD8",72.6007449839337,70.3926997871839
"4","knn1","EpCAM",0,"CD8",26.9612802015604,19.2927447224426
"5","knn3","EpCAM",0,"CD8",32.6957878212506,25.0670276482467
"6","knn5","EpCAM",0,"CD8",37.1951351482085,29.1693170701404
"7","knn1","EpCAM: SMA",0,"CD8",50.4976880667146,37.5902910114657
"8","knn3","EpCAM: SMA",0,"CD8",70.4688204470277,53.2093490272457
"9","knn5","EpCAM: SMA",0,"CD8",83.9352813883211,63.976095768722
"10","knn1","SMA",0,"CD8",16.1042060286524,11.1045032622505
"11","knn3","SMA",0,"CD8",20.8917800036548,15.7637907847557
"12","knn5","SMA",0,"CD8",24.6161604562709,19.2349500702409
"13","knn1","Unclass",0,"CD8",12.6633079753508,9.62548700066622
"14","knn3","Unclass",0,"CD8",15.8320599193818,12.7051015128802
"15","knn5","Unclass",0,"CD8",18.5467683239362,15.4301509246518
"16","knn1","CD8",1,"EpCAM",65.4044601898727,59.1361987280204
"17","knn3","CD8",1,"EpCAM",88.6309194709352,83.5900612483242
"18","knn5","CD8",1,"EpCAM",106.540923517315,101.950202514344
"19","knn1","EpCAM",0,"EpCAM",10.1058237647658,8.83232698669936
"20","knn3","EpCAM",0,"EpCAM",13.5778009955454,11.5375255206798
"21","knn5","EpCAM",0,"EpCAM",16.7917397507116,14.4461508402263
"22","knn1","EpCAM: SMA",0,"EpCAM",37.2721045106929,28.4487258062639
"23","knn3","EpCAM: SMA",0,"EpCAM",51.8975183983179,42.7324582677247
"24","knn5","EpCAM: SMA",0,"EpCAM",62.937028032827,53.0691043865824
"25","knn1","SMA",0,"EpCAM",21.1379836933775,17.464249196573
"26","knn3","SMA",0,"EpCAM",26.6373947809881,22.7305496415993
"27","knn5","SMA",0,"EpCAM",30.7585217914206,26.640425870222
"28","knn1","Unclass",0,"EpCAM",13.7640828786727,11.0510451994369
"29","knn3","Unclass",0,"EpCAM",18.0225776217603,15.7580770831763
"30","knn5","Unclass",0,"EpCAM",21.2942974615082,19.0210151957934
"31","knn1","CD8",1,"EpCAM: SMA",64.999255430238,57.0543600437341
"32","knn3","CD8",1,"EpCAM: SMA",89.9347284536549,82.1866653737025
"33","knn5","CD8",1,"EpCAM: SMA",108.972392650099,100.333521482014
"34","knn1","EpCAM",0,"EpCAM: SMA",12.8266532944539,10.2156742312978
"35","knn3","EpCAM",0,"EpCAM: SMA",17.5355424557282,14.8826693724767
"36","knn5","EpCAM",0,"EpCAM: SMA",21.360210841529,18.5430575363736
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",18.6633565548979,11.6726175299281
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",27.8662127501446,21.1456527746333
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",35.2902275921284,28.1722627226988
"40","knn1","SMA",0,"EpCAM: SMA",13.3808709069911,10.2716551733402
"41","knn3","SMA",0,"EpCAM: SMA",18.1102091328574,15.0139897511422
"42","knn5","SMA",0,"EpCAM: SMA",21.9315992139317,18.8416332020481
"43","knn1","Unclass",0,"EpCAM: SMA",18.320875489788,14.3000000000007
"44","knn3","Unclass",0,"EpCAM: SMA",24.0539696220145,19.7097773710323
"45","knn5","Unclass",0,"EpCAM: SMA",28.357914846736,23.5853452169319
"46","knn1","CD8",1,"SMA",56.3722122000121,49.9196354153353
"47","knn3","CD8",1,"SMA",79.3624156777806,74.4381898526277
"48","knn5","CD8",1,"SMA",97.0998577967932,92.6955562562521
"49","knn1","EpCAM",0,"SMA",23.8396515807098,19.2854867711447
"50","knn3","EpCAM",0,"SMA",30.0313055445399,25.1927548636198
"51","knn5","EpCAM",0,"SMA",34.6188337638095,29.5347934163301
"52","knn1","EpCAM: SMA",0,"SMA",45.2793449133566,33.9802884037201
"53","knn3","EpCAM: SMA",0,"SMA",61.7549945044264,49.501695368769
"54","knn5","EpCAM: SMA",0,"SMA",73.7143565492336,60.3775689613466
"55","knn1","SMA",0,"SMA",9.65461293893144,8.63481325797058
"56","knn3","SMA",0,"SMA",12.6657383553237,11.0447034915479
"57","knn5","SMA",0,"SMA",15.5169306701871,13.602547180933
"58","knn1","Unclass",0,"SMA",12.1612788239746,9.91261822123665
"59","knn3","Unclass",0,"SMA",15.7452160793746,13.4779538306048
"60","knn5","Unclass",0,"SMA",18.6335365068028,16.2291600198283
"61","knn1","CD8",1,"Unclass",59.1290146896005,53.353631552683
"62","knn3","CD8",1,"Unclass",82.1311601196844,77.8379037985493
"63","knn5","CD8",1,"Unclass",99.937303457613,96.3353772050135
"64","knn1","EpCAM",0,"Unclass",25.249368984302,18.6935817862701
"65","knn3","EpCAM",0,"Unclass",31.9308680145918,25.1230485704373
"66","knn5","EpCAM",0,"Unclass",36.9283607319958,29.7978473316077
"67","knn1","EpCAM: SMA",0,"Unclass",65.7657674523353,50.562337761539
"68","knn3","EpCAM: SMA",0,"Unclass",87.6089975177662,70.1726850897559
