"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",48.8401127813097,21.0237960416284
"2","knn3","CD8",1,"CD8",80.3745038740159,66.9532573839152
"3","knn5","CD8",1,"CD8",104.896942102247,93.925763982354
"4","knn1","EpCAM",0,"CD8",30.0490782013468,20.235612172602
"5","knn3","EpCAM",0,"CD8",39.2281808267701,28.261692526447
"6","knn5","EpCAM",0,"CD8",45.6798001940276,33.8211885401547
"7","knn1","SMA",0,"CD8",16.6409453786323,11.8004237212061
"8","knn3","SMA",0,"CD8",23.0636859928962,17.8992483778463
"9","knn5","SMA",0,"CD8",28.3175590625925,22.7934196128364
"10","knn1","Unclass",0,"CD8",16.7958583428677,13.0862523283024
"11","knn3","Unclass",0,"CD8",22.1894313245735,18.2292186020046
"12","knn5","Unclass",0,"CD8",26.2862534942782,21.9900472132131
"13","knn1","CD8",1,"EpCAM",93.8266840969721,83.0832113004787
"14","knn3","CD8",1,"EpCAM",128.488664281734,118.545548528679
"15","knn5","CD8",1,"EpCAM",155.233090482297,145.642080591571
"16","knn1","EpCAM",0,"EpCAM",13.9586519799365,10.3768974168574
"17","knn3","EpCAM",0,"EpCAM",19.1422248677506,15.2879317760122
"18","knn5","EpCAM",0,"EpCAM",23.4874324242855,19.2739915399057
"19","knn1","SMA",0,"EpCAM",17.1331689500337,12.2036879671685
"20","knn3","SMA",0,"EpCAM",23.0215553090437,18.1738402640506
"21","knn5","SMA",0,"EpCAM",27.7724492588814,22.6173271491988
"22","knn1","Unclass",0,"EpCAM",16.7155906642332,15.4728794993042
"23","knn3","Unclass",0,"EpCAM",21.4131073123457,20.6847314471019
"24","knn5","Unclass",0,"EpCAM",25.0562169379351,24.4640669055658
"25","knn1","CD8",1,"SMA",90.3062872859436,77.5025806021972
"26","knn3","CD8",1,"SMA",123.948473610572,112.524179482735
"27","knn5","CD8",1,"SMA",149.671896397842,138.567935206283
"28","knn1","EpCAM",0,"SMA",30.0971944407072,14.0456398928633
"29","knn3","EpCAM",0,"SMA",39.1746956935148,20.5189743772295
"30","knn5","EpCAM",0,"SMA",45.8742287610349,25.2698226594428
"31","knn1","SMA",0,"SMA",12.7448094878773,9.88433103452061
"32","knn3","SMA",0,"SMA",17.7497782805203,14.3567596459713
"33","knn5","SMA",0,"SMA",22.0780811406493,18.3964944905031
"34","knn1","Unclass",0,"SMA",20.5731125651832,14.7989864517814
"35","knn3","Unclass",0,"SMA",26.9799977728866,20.3832983569554
"36","knn5","Unclass",0,"SMA",31.6626447306693,24.4044431655357
"37","knn1","CD8",1,"Unclass",104.124040431048,92.2068327186225
"38","knn3","CD8",1,"Unclass",140.378936879699,130.137815103721
"39","knn5","CD8",1,"Unclass",167.956558852978,158.038584847132
"40","knn1","EpCAM",0,"Unclass",28.2069905403932,22.7299362075661
"41","knn3","EpCAM",0,"Unclass",37.5972223291058,31.6926700678304
"42","knn5","EpCAM",0,"Unclass",44.2982673925672,37.7841928385078
"43","knn1","SMA",0,"Unclass",26.1591565676568,22.0238507078122
"44","knn3","SMA",0,"Unclass",34.3982277601722,30.3652300464222
"45","knn5","SMA",0,"Unclass",40.4525429547454,36.2181900809384
"46","knn1","Unclass",0,"Unclass",11.8068877670161,10.5588825166304
"47","knn3","Unclass",0,"Unclass",15.9122315639089,14.7915361187317
"48","knn5","Unclass",0,"Unclass",19.3937597705638,18.2695309988571
