"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",19.698255561736,9.98098191562381
"2","knn3","CD8",1,"CD8",33.642364480183,27.7095143957889
"3","knn5","CD8",1,"CD8",44.5803013679618,40.3212596437948
"4","knn1","EpCAM",0,"CD8",32.9006990367175,16.714664220378
"5","knn3","EpCAM",0,"CD8",38.8586183513779,20.9592955338829
"6","knn5","EpCAM",0,"CD8",42.9350860839283,24.0773156351268
"7","knn1","SMA",0,"CD8",14.745324929994,11.0602893271374
"8","knn3","SMA",0,"CD8",19.424460317679,15.1381663644227
"9","knn5","SMA",0,"CD8",23.1057276183023,18.2196155625534
"10","knn1","Unclass",0,"CD8",17.2962428627628,12.8082004981181
"11","knn3","Unclass",0,"CD8",22.6161297328567,18.3535418954299
"12","knn5","Unclass",0,"CD8",26.9342267565733,22.7146766542685
"13","knn1","CD8",1,"EpCAM",47.1170520361685,43.0381807204565
"14","knn3","CD8",1,"EpCAM",61.2852425027553,58.003450481825
"15","knn5","CD8",1,"EpCAM",72.8095537425839,69.8093374537689
"16","knn1","EpCAM",0,"EpCAM",8.90768873095759,8.41486779456239
"17","knn3","EpCAM",0,"EpCAM",11.5596152632344,10.6749952337927
"18","knn5","EpCAM",0,"EpCAM",14.2201374678116,13.2077919597864
"19","knn1","SMA",0,"EpCAM",13.3279703229652,10.6667708328253
"20","knn3","SMA",0,"EpCAM",17.5847112342721,14.9890564265604
"21","knn5","SMA",0,"EpCAM",20.911633721182,18.1324851234546
"22","knn1","Unclass",0,"EpCAM",26.2794946418777,23.9534966132282
"23","knn3","Unclass",0,"EpCAM",33.0179936422313,30.970203979956
"24","knn5","Unclass",0,"EpCAM",38.0642007018214,36.1188197460606
"25","knn1","CD8",1,"SMA",44.4899804748513,40.1123422402618
"26","knn3","CD8",1,"SMA",58.7511721658286,55.4237727448873
"27","knn5","CD8",1,"SMA",70.3322775658093,67.4787460473165
"28","knn1","EpCAM",0,"SMA",17.1919273106617,11.5485929878914
"29","knn3","EpCAM",0,"SMA",21.2567230197246,16.0444033399994
"30","knn5","EpCAM",0,"SMA",24.4375371462426,19.2760106426639
"31","knn1","SMA",0,"SMA",9.37039344055156,8.67294644281706
"32","knn3","SMA",0,"SMA",11.9924104047436,10.8873214235448
"33","knn5","SMA",0,"SMA",14.4717941394311,13.1609395913256
"34","knn1","Unclass",0,"SMA",22.225358743697,18.3357574154991
"35","knn3","Unclass",0,"SMA",29.5313663566027,26.6886799064017
"36","knn5","Unclass",0,"SMA",35.1068363872259,32.8349697818205
"37","knn1","CD8",1,"Unclass",37.0577992101473,31.4985713961762
"38","knn3","CD8",1,"Unclass",50.4208747026813,45.8277971019844
"39","knn5","CD8",1,"Unclass",60.9249318675813,56.7864581465907
"40","knn1","EpCAM",0,"Unclass",41.8466801378062,24.3310501211923
"41","knn3","EpCAM",0,"Unclass",48.031856037199,28.8347365180189
"42","knn5","EpCAM",0,"Unclass",52.1116811687993,32.0544208543693
"43","knn1","SMA",0,"Unclass",18.1144917091818,12.9437243481163
"44","knn3","SMA",0,"Unclass",23.6608616035618,18.2653392197478
"45","knn5","SMA",0,"Unclass",27.9207533735064,22.197718389127
"46","knn1","Unclass",0,"Unclass",10.4638645698602,8.80908621821847
"47","knn3","Unclass",0,"Unclass",14.1301477591659,11.3340374044883
"48","knn5","Unclass",0,"Unclass",17.4671132854767,13.7751295024818
