"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",13.7073342714686,9.70051545022111
"2","knn3","CD8",1,"CD8",21.7198482961329,16.0359383532576
"3","knn5","CD8",1,"CD8",28.492335317623,21.8804346423154
"4","knn1","EpCAM",0,"CD8",24.1615536034761,15.2042757144166
"5","knn3","EpCAM",0,"CD8",29.8404496162519,20.7440807589864
"6","knn5","EpCAM",0,"CD8",33.9960611972592,24.7151889058092
"7","knn1","EpCAM: SMA",0,"CD8",31.5006822122762,22.4243171579425
"8","knn3","EpCAM: SMA",0,"CD8",40.3470121992023,31.021740736195
"9","knn5","EpCAM: SMA",0,"CD8",46.9364004159818,37.4437193316932
"10","knn1","SMA",0,"CD8",20.8394837958077,13.3093951778426
"11","knn3","SMA",0,"CD8",26.3342130305681,18.7490518001068
"12","knn5","SMA",0,"CD8",30.4675558313002,22.7748137643364
"13","knn1","Unclass",0,"CD8",36.0759414116323,28.7800277970674
"14","knn3","Unclass",0,"CD8",47.0690260529832,40.5907299462922
"15","knn5","Unclass",0,"CD8",55.1582516498875,48.8576263510028
"16","knn1","CD8",1,"EpCAM",42.5941606395896,36.2932500611338
"17","knn3","CD8",1,"EpCAM",54.3786629894839,48.502620230956
"18","knn5","CD8",1,"EpCAM",64.0597396172723,58.2704073158161
"19","knn1","EpCAM",0,"EpCAM",9.40059839104855,8.5
"20","knn3","EpCAM",0,"EpCAM",12.4531523146624,11.0262562885032
"21","knn5","EpCAM",0,"EpCAM",15.3434880325671,13.7830208105686
"22","knn1","EpCAM: SMA",0,"EpCAM",19.0543978089175,16.1941347407016
"23","knn3","EpCAM: SMA",0,"EpCAM",26.7930631968458,24.1772485107861
"24","knn5","EpCAM: SMA",0,"EpCAM",32.7704885972811,30.111871206697
"25","knn1","SMA",0,"EpCAM",16.0848890266722,13.1643457870115
"26","knn3","SMA",0,"EpCAM",21.2602884947941,18.3734709151026
"27","knn5","SMA",0,"EpCAM",25.2853293375582,22.1652643566465
"28","knn1","Unclass",0,"EpCAM",29.7315264817636,26.1811000532822
"29","knn3","Unclass",0,"EpCAM",39.4979333634922,36.2689709408693
"30","knn5","Unclass",0,"EpCAM",46.8049203654549,43.630620983852
"31","knn1","CD8",1,"EpCAM: SMA",41.9037855751256,35.7144928564734
"32","knn3","CD8",1,"EpCAM: SMA",53.6727931842861,48.2193244015364
"33","knn5","CD8",1,"EpCAM: SMA",63.267798791085,57.9671325949583
"34","knn1","EpCAM",0,"EpCAM: SMA",11.9355632882737,9.91564420499166
"35","knn3","EpCAM",0,"EpCAM: SMA",16.2843684432313,14.2941960530179
"36","knn5","EpCAM",0,"EpCAM: SMA",19.8165477413651,17.7625438689484
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",14.8092458180589,12.1433109158922
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",21.4989913655778,19.5297697640169
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",26.8797261853714,24.9059883292791
"40","knn1","SMA",0,"EpCAM: SMA",12.4597530130056,10.3740059764777
"41","knn3","SMA",0,"EpCAM: SMA",17.1476048622901,15.0808145224583
"42","knn5","SMA",0,"EpCAM: SMA",20.9726818366709,18.7604500286223
"43","knn1","Unclass",0,"EpCAM: SMA",27.467575176843,23.3314165857251
"44","knn3","Unclass",0,"EpCAM: SMA",37.2335884261602,33.7533542670428
"45","knn5","Unclass",0,"EpCAM: SMA",44.4934697581845,41.1776019523989
"46","knn1","CD8",1,"SMA",40.2649715649331,33.3286663399551
"47","knn3","CD8",1,"SMA",51.8883669753902,45.5577949094158
"48","knn5","CD8",1,"SMA",61.3653910572321,55.155508344049
"49","knn1","EpCAM",0,"SMA",15.9747144708965,12.4422666745255
"50","knn3","EpCAM",0,"SMA",20.6555905887123,17.2093539536755
"51","knn5","EpCAM",0,"SMA",24.2497197569878,20.6216387895724
"52","knn1","EpCAM: SMA",0,"SMA",19.5949038704082,15.6604597633662
"53","knn3","EpCAM: SMA",0,"SMA",27.0423025802341,23.2974138225949
"54","knn5","EpCAM: SMA",0,"SMA",32.8735222689565,29.0435023962682
"55","knn1","SMA",0,"SMA",10.1350287521137,9.00277734924123
"56","knn3","SMA",0,"SMA",13.6835007557044,12.2544147438516
"57","knn5","SMA",0,"SMA",16.8878936068789,15.3373920606543
"58","knn1","Unclass",0,"SMA",25.0622518317181,20.1801883043739
"59","knn3","Unclass",0,"SMA",34.7250408052442,30.874821986568
"60","knn5","Unclass",0,"SMA",41.9928662054802,38.4742878253638
"61","knn1","CD8",1,"Unclass",41.5868116924677,33.31816321468
"62","knn3","CD8",1,"Unclass",53.686491777068,45.8316872283801
"63","knn5","CD8",1,"Unclass",63.4625881248285,55.7131441952927
"64","knn1","EpCAM",0,"Unclass",19.7144192491562,15.4547727256015
"65","knn3","EpCAM",0,"Unclass",24.7688248252153,20.1476563364005
"66","knn5","EpCAM",0,"Unclass",28.4322932713363,23.5461094426559
"67","knn1","EpCAM: SMA",0,"Unclass",25.5588526161386,19.7800404448517
"68","knn3","EpCAM: SMA",0,"Unclass",33.4574016699049,27.3414459095025
"69","knn5","EpCAM: SMA",0,"Unclass",39.4275047036163,33.1275859451008
"70","knn1","SMA",0,"Unclass",14.7965264703856,10.9658560997304
"71","knn3","SMA",0,"Unclass",19.5721492058169,15.4354236436658
"72","knn5","SMA",0,"Unclass",23.3807821439957,18.9161780012484
"73","knn1","Unclass",0,"Unclass",14.0889233822629,9.91413132856256
"74","knn3","Unclass",0,"Unclass",20.4858467876836,15.3237493526605
"75","knn5","Unclass",0,"Unclass",25.9027458686134,20.2788550044328
