"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",20.7782571497314,9.90050503762178
"2","knn3","CD8",1,"CD8",34.1785553248904,24.9962132248932
"3","knn5","CD8",1,"CD8",44.8891347439382,36.3087044925713
"4","knn1","EpCAM",0,"CD8",48.125741857298,23.9240464804766
"5","knn3","EpCAM",0,"CD8",56.3160400554865,30.1550720680538
"6","knn5","EpCAM",0,"CD8",62.5837058993072,34.8382394182761
"7","knn1","SMA",0,"CD8",13.0448387969486,10.0603180864227
"8","knn3","SMA",0,"CD8",16.5123579147296,13.2285684670635
"9","knn5","SMA",0,"CD8",19.3030039110976,15.8053947647009
"10","knn1","Unclass",0,"CD8",27.4100533091431,17.9877736254376
"11","knn3","Unclass",0,"CD8",34.656263513854,25.1314896833076
"12","knn5","Unclass",0,"CD8",40.2326986630621,30.4529778120998
"13","knn1","CD8",1,"EpCAM",51.3604345097053,44.9087964657254
"14","knn3","CD8",1,"EpCAM",68.3883254607415,61.8598095931349
"15","knn5","CD8",1,"EpCAM",81.9246137655945,74.9877071410244
"16","knn1","EpCAM",0,"EpCAM",9.28890465175825,8.35463942968206
"17","knn3","EpCAM",0,"EpCAM",12.4384194612413,10.7937135870224
"18","knn5","EpCAM",0,"EpCAM",15.4557478157006,13.4441298489291
"19","knn1","SMA",0,"EpCAM",12.3372929074741,10.2044108110159
"20","knn3","SMA",0,"EpCAM",15.7859199504357,13.7253362803299
"21","knn5","SMA",0,"EpCAM",18.5508641013208,16.4573297302038
"22","knn1","Unclass",0,"EpCAM",34.4106169255213,29.6627712798389
"23","knn3","Unclass",0,"EpCAM",43.5540671049343,38.3960031125084
"24","knn5","Unclass",0,"EpCAM",50.4525898076041,44.8403763543012
"25","knn1","CD8",1,"SMA",48.898780086783,41.3367874900799
"26","knn3","CD8",1,"SMA",66.146792192894,58.2627200527043
"27","knn5","CD8",1,"SMA",79.7885173796056,71.2978975791415
"28","knn1","EpCAM",0,"SMA",29.283754658424,15.5823618235491
"29","knn3","EpCAM",0,"SMA",35.9574165773872,20.4760796139965
"30","knn5","EpCAM",0,"SMA",41.0472941280798,24.1099523363784
"31","knn1","SMA",0,"SMA",8.90868894616169,8.33846508657347
"32","knn3","SMA",0,"SMA",11.1566094989354,10.2056366378028
"33","knn5","SMA",0,"SMA",13.3725114887857,12.1758628312275
"34","knn1","Unclass",0,"SMA",31.0118425046997,22.8877696597981
"35","knn3","Unclass",0,"SMA",40.5915947966254,32.2557212867676
"36","knn5","Unclass",0,"SMA",47.7460599376991,39.0714558632952
"37","knn1","CD8",1,"Unclass",57.9346540166953,44.8325774409634
"38","knn3","CD8",1,"Unclass",76.9408017479738,63.9704043002077
"39","knn5","CD8",1,"Unclass",91.3183964076363,77.9276506677332
"40","knn1","EpCAM",0,"Unclass",68.941062545575,48.7052358581697
"41","knn3","EpCAM",0,"Unclass",80.5329287558176,60.0665974277544
"42","knn5","EpCAM",0,"Unclass",88.9627133463197,67.666766212474
"43","knn1","SMA",0,"Unclass",21.5467958061075,13.9474011916197
"44","knn3","SMA",0,"Unclass",27.1639838192981,18.9639123149205
"45","knn5","SMA",0,"Unclass",31.3298932535248,22.5944818086262
"46","knn1","Unclass",0,"Unclass",11.0100199612628,9.05207158610618
"47","knn3","Unclass",0,"Unclass",14.9468053841571,12.070852184353
"48","knn5","Unclass",0,"Unclass",18.4242483022962,14.849239933493
