"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",14.9134749339892,8.6469647854028
"2","knn3","CD8",1,"CD8",28.1821038543323,19.9654145405943
"3","knn5","CD8",1,"CD8",37.6432931171225,29.0474426200208
"4","knn1","EpCAM",0,"CD8",43.1513216028062,21.8789853512444
"5","knn3","EpCAM",0,"CD8",47.7725991706215,25.8944870041974
"6","knn5","EpCAM",0,"CD8",51.4715078708494,28.9324100266065
"7","knn1","EpCAM: SMA",0,"CD8",75.3222285773225,44.2398010845437
"8","knn3","EpCAM: SMA",0,"CD8",87.6000093785154,56.0459976442696
"9","knn5","EpCAM: SMA",0,"CD8",97.5622664462006,65.484676716734
"10","knn1","SMA",0,"CD8",27.6381325291087,18.0277563773199
"11","knn3","SMA",0,"CD8",35.1541298238559,24.5878252558618
"12","knn5","SMA",0,"CD8",40.9418545179794,29.7106359521141
"13","knn1","Unclass",0,"CD8",15.436039465825,10.2736750952179
"14","knn3","Unclass",0,"CD8",19.2026160560444,13.1543129363949
"15","knn5","Unclass",0,"CD8",22.2754034309174,15.6831777690418
"16","knn1","CD8",1,"EpCAM",51.4051352098648,44.9959025907529
"17","knn3","CD8",1,"EpCAM",65.1439809480011,58.7996925966156
"18","knn5","CD8",1,"EpCAM",76.5137815509398,69.8953842341861
"19","knn1","EpCAM",0,"EpCAM",6.52604699947067,7.5802374632987
"20","knn3","EpCAM",0,"EpCAM",9.79469910621414,9.35774644036132
"21","knn5","EpCAM",0,"EpCAM",12.1003524928819,11.2675446815589
"22","knn1","EpCAM: SMA",0,"EpCAM",29.9532916885105,18.3575597506858
"23","knn3","EpCAM: SMA",0,"EpCAM",38.7977960765146,24.9846149656783
"24","knn5","EpCAM: SMA",0,"EpCAM",46.044560542328,30.219300847191
"25","knn1","SMA",0,"EpCAM",24.5440242622013,19.3080294178358
"26","knn3","SMA",0,"EpCAM",30.8716190593437,24.8585615098137
"27","knn5","SMA",0,"EpCAM",35.8113735328693,29.2126486287241
"28","knn1","Unclass",0,"EpCAM",22.4239898900041,19.409926584073
"29","knn3","Unclass",0,"EpCAM",27.45606550992,24.4913257309974
"30","knn5","Unclass",0,"EpCAM",31.3524016250434,28.3243160552194
