"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",14.7334704079921,10.0687635785135
"2","knn3","CD8",1,"CD8",22.51889458423,18.7966115036571
"3","knn5","CD8",1,"CD8",28.7587704316903,25.1847608729094
"4","knn1","EpCAM",0,"CD8",39.4465589065672,13.2555648476735
"5","knn3","EpCAM",0,"CD8",44.8085737802091,16.9575737092481
"6","knn5","EpCAM",0,"CD8",48.6408728763437,19.8300805915817
"7","knn1","EpCAM: SMA",0,"CD8",415.793260353002,330.665938454753
"8","knn3","EpCAM: SMA",0,"CD8",534.054430609626,449.333262196682
"9","knn5","EpCAM: SMA",0,"CD8",622.343434079928,527.419803831367
"10","knn1","SMA",0,"CD8",101.232213696623,69.3236609898269
"11","knn3","SMA",0,"CD8",132.807954298937,97.8826344899396
"12","knn5","SMA",0,"CD8",153.933682392969,116.748548416971
"13","knn1","Unclass",0,"CD8",11.9722852131922,9.44933860119265
"14","knn3","Unclass",0,"CD8",15.3104812717432,12.2295843200307
"15","knn5","Unclass",0,"CD8",18.1445552675746,14.6791218119421
"16","knn1","CD8",1,"EpCAM",28.3323177742721,24.2705582960094
"17","knn3","CD8",1,"EpCAM",38.0283638817046,34.1292920883223
"18","knn5","CD8",1,"EpCAM",45.6121697254902,41.6038742409111
"19","knn1","EpCAM",0,"EpCAM",8.3898086565384,8.04114419719005
"20","knn3","EpCAM",0,"EpCAM",10.4819273985855,9.84554882080621
"21","knn5","EpCAM",0,"EpCAM",12.6957257763889,11.8878420881603
"22","knn1","EpCAM: SMA",0,"EpCAM",378.717596722243,283.967260390447
"23","knn3","EpCAM: SMA",0,"EpCAM",493.961252569885,398.888575461244
"24","knn5","EpCAM: SMA",0,"EpCAM",576.184421407437,467.346645917394
"25","knn1","SMA",0,"EpCAM",158.092980610026,133.803718182725
"26","knn3","SMA",0,"EpCAM",207.948666330271,180.84513187159
"27","knn5","SMA",0,"EpCAM",240.725680151127,206.739030876172
"28","knn1","Unclass",0,"EpCAM",16.1130706338408,13.0361037123829
"29","knn3","Unclass",0,"EpCAM",20.8663192887049,17.7242483671192
"30","knn5","Unclass",0,"EpCAM",24.5422393785579,21.1660781141731
"31","knn1","CD8",1,"EpCAM: SMA",40.2416708888225,30.6453911706147
"32","knn3","CD8",1,"EpCAM: SMA",53.849171135351,44.4126784508478
"33","knn5","CD8",1,"EpCAM: SMA",63.7739939097604,54.0975140722899
"34","knn1","EpCAM",0,"EpCAM: SMA",13.4781884353942,9.23958873543612
"35","knn3","EpCAM",0,"EpCAM: SMA",19.2880675695388,13.3324391186096
"36","knn5","EpCAM",0,"EpCAM: SMA",23.5103792548318,16.5035825966442
"37","knn1","EpCAM: SMA",8.83404460694237e-13,"EpCAM: SMA",59.2172436225991,17.0552044842625
"38","knn3","EpCAM: SMA",5.60257618076321e-10,"EpCAM: SMA",98.2564344609073,38.4742523321469
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",130.713938964692,62.4271613373137
"40","knn1","SMA",7.30889569977577e-08,"EpCAM: SMA",78.5722219056943,21.8343765654072
"41","knn3","SMA",1.43951517372898e-12,"EpCAM: SMA",101.684091999486,34.9991290734291
"42","knn5","SMA",1.52100554373646e-14,"EpCAM: SMA",117.904699758015,48.671627029535
"43","knn1","Unclass",1.11022302462516e-16,"EpCAM: SMA",25.2970264875974,15.2793978938958
"44","knn3","Unclass",0,"EpCAM: SMA",30.1041796497311,20.6416425808154
"45","knn5","Unclass",0,"EpCAM: SMA",33.6787442190418,24.4373466215986
"46","knn1","CD8",1,"SMA",25.6898060100656,21.0016665951369
"47","knn3","CD8",1,"SMA",34.7195033276886,29.8379149841158
"48","knn5","CD8",1,"SMA",41.6334209762352,36.4790472432549
"49","knn1","EpCAM",0,"SMA",92.7112610383792,84.8046576245885
"50","knn3","EpCAM",0,"SMA",109.151986901565,103.656896707649
"51","knn5","EpCAM",0,"SMA",117.387507084373,109.192054705067
"52","knn1","EpCAM: SMA",0,"SMA",422.386048460894,311.435707113081
"53","knn3","EpCAM: SMA",0,"SMA",627.312921706015,562.061655840829
"54","knn5","EpCAM: SMA",0,"SMA",790.511727732739,634.653109174353
"55","knn1","SMA",0,"SMA",15.0628021319433,9.38616002420548
"56","knn3","SMA",0,"SMA",21.7171338152562,14.0578960226259
"57","knn5","SMA",0,"SMA",27.0987300244978,17.8302884909874
"58","knn1","Unclass",0,"SMA",10.0833250376312,8.74642784226866
"59","knn3","Unclass",0,"SMA",12.6688164496464,11.2238298957291
"60","knn5","Unclass",0,"SMA",14.9522906762055,13.467348344501
"61","knn1","CD8",1,"Unclass",25.5522098450563,20.2484567313167
"62","knn3","CD8",1,"Unclass",34.8569465346413,29.512504206638
"63","knn5","CD8",1,"Unclass",42.1635964237391,36.5677012118167
"64","knn1","EpCAM",0,"Unclass",45.6433883436532,18.1648011274554
"65","knn3","EpCAM",0,"Unclass",51.9010584551483,22.2571758633588
"66","knn5","EpCAM",0,"Unclass",56.1194299732661,25.3771142457967
"67","knn1","EpCAM: SMA",0,"Unclass",427.897332790665,331.395730171805
"68","knn3","EpCAM: SMA",0,"Unclass",542.899942212863,449.193735992621
"69","knn5","EpCAM: SMA",0,"Unclass",629.761701267383,522.303608980836
"70","knn1","SMA",0,"Unclass",86.1620028519848,52.5188061459957
"71","knn3","SMA",0,"Unclass",114.361251819862,75.8333358809412
"72","knn5","SMA",0,"Unclass",133.27163971231,92.5160311436114
"73","knn1","Unclass",0,"Unclass",8.93640755749591,8.34505841801015
"74","knn3","Unclass",0,"Unclass",11.3290142541079,10.3883627487494
"75","knn5","Unclass",0,"Unclass",13.6465874939806,12.4501638095593
