"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",15.2393846796459,9.80612053770537
"2","knn3","CD8",1,"CD8",23.6886177723504,16.8328327462805
"3","knn5","CD8",1,"CD8",30.6850978489107,22.8848168341548
"4","knn1","EpCAM",0,"CD8",40.786521927908,17.1327172392468
"5","knn3","EpCAM",0,"CD8",46.0960082025034,21.9909491163588
"6","knn5","EpCAM",0,"CD8",50.0233445312216,25.6390355453932
"7","knn1","EpCAM: SMA",0,"CD8",87.4687489625359,32.2264642688561
"8","knn3","EpCAM: SMA",0,"CD8",104.055734519621,41.2910322150459
"9","knn5","EpCAM: SMA",0,"CD8",117.521932617032,47.9299081590188
"10","knn1","SMA",0,"CD8",53.3394317434607,32.174679479578
"11","knn3","SMA",0,"CD8",65.9897286838817,42.2685095712465
"12","knn5","SMA",0,"CD8",74.9542375697642,49.6473937608395
"13","knn1","Unclass",0,"CD8",34.9983477991909,20.3577994881568
"14","knn3","Unclass",0,"CD8",41.8889614629541,27.3101600359078
"15","knn5","Unclass",0,"CD8",46.8882364592749,32.2255744482036
"16","knn1","CD8",1,"EpCAM",54.8167141640655,46.2482432098779
"17","knn3","CD8",1,"EpCAM",69.7145324666733,61.9304738971838
"18","knn5","CD8",1,"EpCAM",81.671053095432,74.0389518411073
"19","knn1","EpCAM",0,"EpCAM",8.81572540970125,8.34505841800952
"20","knn3","EpCAM",0,"EpCAM",11.2783157605212,10.4173823301453
"21","knn5","EpCAM",0,"EpCAM",13.7478769105631,12.7571934637808
"22","knn1","EpCAM: SMA",0,"EpCAM",29.7785289028937,15.3574086355742
"23","knn3","EpCAM: SMA",0,"EpCAM",39.5988158192979,22.0402027622041
"24","knn5","EpCAM: SMA",0,"EpCAM",47.1211151529136,26.9463989034395
"25","knn1","SMA",0,"EpCAM",28.0593083064576,21.3768566445117
"26","knn3","SMA",0,"EpCAM",36.6400833687779,28.7692051030404
"27","knn5","SMA",0,"EpCAM",43.1165110483384,34.3659060238463
"28","knn1","Unclass",0,"EpCAM",23.7521148413418,19.1407941319063
"29","knn3","Unclass",0,"EpCAM",30.3412868654736,25.4553606889769
"30","knn5","Unclass",0,"EpCAM",35.1722123066279,30.03722861591
"31","knn1","CD8",1,"EpCAM: SMA",52.7118885946196,44.3521138114347
"32","knn3","CD8",1,"EpCAM: SMA",66.8997015508613,59.3526390061745
"33","knn5","CD8",1,"EpCAM: SMA",78.2821125971333,71.0153891059392
"34","knn1","EpCAM",0,"EpCAM: SMA",10.5135398522411,9.36002136749699
"35","knn3","EpCAM",0,"EpCAM: SMA",13.8219092386448,12.6083769506328
"36","knn5","EpCAM",0,"EpCAM: SMA",16.6324518138077,15.4263486115509
"37","knn1","EpCAM: SMA",0,"EpCAM: SMA",11.4289727745432,9.462557793746
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",16.0795870065096,13.6505670407405
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",20.1650614618406,17.4474685876401
