"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",10.0334814420506,8.65852181379682
"2","knn3","CD8",1,"CD8",13.7028926249274,11.7440795458915
"3","knn5","CD8",1,"CD8",16.944188804094,14.8119550907224
"4","knn1","EpCAM",0,"CD8",28.3569657704269,12.6826653350159
"5","knn3","EpCAM",0,"CD8",32.3115937542865,16.5966291506159
"6","knn5","EpCAM",0,"CD8",35.3623476736152,19.5005000304999
"7","knn1","SMA",0,"CD8",46.090095892047,37.2318412076464
"8","knn3","SMA",0,"CD8",62.6416107193287,52.8279052469775
"9","knn5","SMA",0,"CD8",74.4703415108304,63.9403553905565
"10","knn1","Unclass",0,"CD8",23.2883254703333,17.1793479459869
"11","knn3","Unclass",0,"CD8",29.7078643603586,23.6832370081125
"12","knn5","Unclass",0,"CD8",34.6289710750606,28.4964176761593
"13","knn1","CD8",1,"EpCAM",16.9228425815913,14.5670861877041
"14","knn3","CD8",1,"EpCAM",22.1602757781198,20.1072103935767
"15","knn5","CD8",1,"EpCAM",26.2513827021112,24.2404708381568
"16","knn1","EpCAM",0,"EpCAM",8.47489038810337,8.05232885567914
"17","knn3","EpCAM",0,"EpCAM",10.5854812790462,9.88452046726954
"18","knn5","EpCAM",0,"EpCAM",12.6793234714176,11.7921372606289
"19","knn1","SMA",0,"EpCAM",46.5535717466983,38.7882714232025
"20","knn3","SMA",0,"EpCAM",62.2736281112551,53.2610744436914
"21","knn5","SMA",0,"EpCAM",73.6739110929098,63.6748166399902
"22","knn1","Unclass",0,"EpCAM",30.0919665504573,24.6044711383928
"23","knn3","Unclass",0,"EpCAM",37.5160550426106,31.6338438210613
"24","knn5","Unclass",0,"EpCAM",42.9660052938609,36.6676842781369
"25","knn1","CD8",1,"SMA",15.6616947629491,13.0000000000003
"26","knn3","CD8",1,"SMA",20.7275016864789,18.3128063910193
"27","knn5","CD8",1,"SMA",24.7389091795925,22.3532670336323
"28","knn1","EpCAM",0,"SMA",22.5581825822439,13.5694509837348
"29","knn3","EpCAM",0,"SMA",26.9254549427953,17.9258012850578
"30","knn5","EpCAM",0,"SMA",30.1767951817618,21.1355742510571
"31","knn1","SMA",0,"SMA",19.4193887661261,11.8511602807486
"32","knn3","SMA",0,"SMA",29.2288318529971,22.12337378791
"33","knn5","SMA",0,"SMA",37.119410152933,30.3108334884591
"34","knn1","Unclass",0,"SMA",14.5029408412674,10.9480591887331
"35","knn3","Unclass",0,"SMA",19.7434060002264,16.0634073917849
"36","knn5","Unclass",0,"SMA",23.9298156607143,19.8795833766986
"37","knn1","CD8",1,"Unclass",17.2486587234835,13.6883161857112
"38","knn3","CD8",1,"Unclass",22.7704769674706,19.3534714179111
"39","knn5","CD8",1,"Unclass",27.0483078492094,23.5534157732747
"40","knn1","EpCAM",0,"Unclass",33.2255699892057,19.2585046148447
"41","knn3","EpCAM",0,"Unclass",38.1055819506777,23.8368759197324
"42","knn5","EpCAM",0,"Unclass",41.6662751736471,27.168322861252
"43","knn1","SMA",0,"Unclass",36.8600438071329,28.6036710930611
"44","knn3","SMA",0,"Unclass",51.3404593912358,42.9832577254518
"45","knn5","SMA",0,"Unclass",61.9881375641583,53.2359661523607
"46","knn1","Unclass",0,"Unclass",10.4598651783921,8.86397202161614
"47","knn3","Unclass",0,"Unclass",14.2750620595137,12.0795421487846
"48","knn5","Unclass",0,"Unclass",17.6642010464744,15.0119883880263
