"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",35.2568147157629,10.5361283211623
"2","knn3","CD8",1,"CD8",63.0125293043467,47.6946253292601
"3","knn5","CD8",1,"CD8",84.1380650850954,73.1192906912189
"4","knn1","EpCAM",0,"CD8",12.3192783833445,9.62548700066666
"5","knn3","EpCAM",0,"CD8",15.3310577263542,12.2839036794288
"6","knn5","EpCAM",0,"CD8",17.8347463260297,14.5350863283571
"7","knn1","SMA",0,"CD8",24.3980812109459,16.4915129437141
"8","knn3","SMA",0,"CD8",30.6815942217687,23.2705979997538
"9","knn5","SMA",0,"CD8",35.6320943646786,28.3584255098563
"10","knn1","Unclass",0,"CD8",135.461357239798,37.2556410124955
"11","knn3","Unclass",0,"CD8",155.449558378573,49.9420619337285
"12","knn5","Unclass",0,"CD8",166.079222806297,58.6060345588888
"13","knn1","CD8",1,"EpCAM",98.8812932844229,88.6138815310556
"14","knn3","CD8",1,"EpCAM",131.804940831596,122.961062061676
"15","knn5","CD8",1,"EpCAM",158.768112901224,150.527516740811
"16","knn1","EpCAM",0,"EpCAM",8.28908944081935,8.14923309275047
"17","knn3","EpCAM",0,"EpCAM",9.96299951442609,9.68989600821559
"18","knn5","EpCAM",0,"EpCAM",11.8125226048309,11.4538261710597
"19","knn1","SMA",0,"EpCAM",21.6037223363532,18.3847763108502
"20","knn3","SMA",0,"EpCAM",28.2750311714947,24.9440914561601
"21","knn5","SMA",0,"EpCAM",33.2990902030799,29.7552443200646
"22","knn1","Unclass",0,"EpCAM",44.0748871305911,28.7210724033768
"23","knn3","Unclass",0,"EpCAM",56.0938308721075,38.0720549098187
"24","knn5","Unclass",0,"EpCAM",64.3058550815254,44.9921304661145
"25","knn1","CD8",1,"SMA",96.0317761915606,85.2218868601255
"26","knn3","CD8",1,"SMA",130.702370336874,121.579595017971
"27","knn5","CD8",1,"SMA",158.855738840455,150.167038129406
"28","knn1","EpCAM",0,"SMA",12.8456947267017,10.0304536288242
"29","knn3","EpCAM",0,"SMA",15.6647228899076,12.9315135696468
"30","knn5","EpCAM",0,"SMA",17.9165024430075,15.2713056960581
"31","knn1","SMA",0,"SMA",11.6304813137347,9.68968523740596
"32","knn3","SMA",0,"SMA",16.1782348045119,13.6874876075797
"33","knn5","SMA",0,"SMA",20.1723915274608,17.4959382076038
"34","knn1","Unclass",0,"SMA",36.9070558274837,18.3480244168135
"35","knn3","Unclass",0,"SMA",48.6465129301968,28.5457258105041
"36","knn5","Unclass",0,"SMA",56.7707300966641,35.96062461706
"37","knn1","CD8",1,"Unclass",100.561079529881,88.7475633468328
"38","knn3","CD8",1,"Unclass",136.697850199572,126.882072348788
"39","knn5","CD8",1,"Unclass",165.728587942452,156.661397810032
"40","knn1","EpCAM",0,"Unclass",16.2142614060379,12.4907966119055
"41","knn3","EpCAM",0,"Unclass",19.1881951458203,15.6010400209268
"42","knn5","EpCAM",0,"Unclass",21.4257028099994,17.8716822736226
"43","knn1","SMA",0,"Unclass",16.305260491387,12.0552892955742
"44","knn3","SMA",0,"Unclass",22.0571391176385,17.6147318145321
"45","knn5","SMA",0,"Unclass",26.7230125307276,22.0555032063066
"46","knn1","Unclass",0,"Unclass",13.6578117998346,9.84885780179611
"47","knn3","Unclass",0,"Unclass",19.8764569875276,14.9175868815177
"48","knn5","Unclass",0,"Unclass",25.306043130441,19.9210386265919
