"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",48.6721955062012,32.8421984647798
"2","knn3","CD8",1,"CD8",82.6145581867458,73.5709406701126
"3","knn5","CD8",1,"CD8",108.046941786841,99.5975700415906
"4","knn1","EpCAM",0,"CD8",16.6592932081079,11.0403802796082
"5","knn3","EpCAM",0,"CD8",20.7555590473918,15.4993417645084
"6","knn5","EpCAM",0,"CD8",24.0562412296105,18.8631815284922
"7","knn1","SMA",0,"CD8",11.2287642972653,9.53047690786675
"8","knn3","SMA",0,"CD8",14.3065744610314,12.3451836401664
"9","knn5","SMA",0,"CD8",16.9324644968848,14.8537162467644
"10","knn1","Unclass",0,"CD8",29.3887128877353,23.9674777325176
"11","knn3","Unclass",0,"CD8",39.6727092985905,34.6397260268976
"12","knn5","Unclass",0,"CD8",47.4506648726758,42.6734993938952
"13","knn1","CD8",1,"EpCAM",86.5063988709001,77.131737955206
"14","knn3","CD8",1,"EpCAM",119.639827864298,111.321804135139
"15","knn5","CD8",1,"EpCAM",145.380177007634,137.092232833408
"16","knn1","EpCAM",0,"EpCAM",8.9527812996854,8.31865373723434
"17","knn3","EpCAM",0,"EpCAM",11.7967540267965,10.7096552565977
"18","knn5","EpCAM",0,"EpCAM",14.6055764489179,13.3112097144036
"19","knn1","SMA",0,"EpCAM",11.719337422956,10.0044989879553
"20","knn3","SMA",0,"EpCAM",15.0820637226426,13.5800031745513
"21","knn5","SMA",0,"EpCAM",17.8280534157622,16.3727491414417
"22","knn1","Unclass",0,"EpCAM",35.844277564299,31.0696797536361
"23","knn3","Unclass",0,"EpCAM",46.9797573457947,42.642201416883
"24","knn5","Unclass",0,"EpCAM",55.3233660747128,51.0834186760282
"25","knn1","CD8",1,"SMA",84.8678341615278,74.6171562041871
"26","knn3","CD8",1,"SMA",118.164652726624,108.700076757345
"27","knn5","CD8",1,"SMA",144.050891853655,134.57438338248
"28","knn1","EpCAM",0,"SMA",14.5561118272459,11.1413643688723
"29","knn3","EpCAM",0,"SMA",18.6647055421992,15.5235421997029
"30","knn5","EpCAM",0,"SMA",21.9194316822907,18.6850053040012
"31","knn1","SMA",0,"SMA",8.92821032009075,8.44807670419693
"32","knn3","SMA",0,"SMA",11.2593200158821,10.4983352711202
"33","knn5","SMA",0,"SMA",13.5755705670894,12.6634080690421
"34","knn1","Unclass",0,"SMA",35.1624510834404,29.6339332522696
"35","knn3","Unclass",0,"SMA",46.9110136372455,42.3972211475457
"36","knn5","Unclass",0,"SMA",55.687301269937,51.341027481207
"37","knn1","CD8",1,"Unclass",87.5050322582725,72.8959875436953
"38","knn3","CD8",1,"Unclass",119.660594257124,105.995002958027
"39","knn5","CD8",1,"Unclass",145.050735248129,130.958736964138
"40","knn1","EpCAM",0,"Unclass",37.153617203751,23.3205917592159
"41","knn3","EpCAM",0,"Unclass",42.3779127414918,27.8117900266417
"42","knn5","EpCAM",0,"Unclass",46.0502603629278,31.2876391867693
"43","knn1","SMA",0,"Unclass",17.4593262580623,12.8062484748658
"44","knn3","SMA",0,"Unclass",22.021714553708,17.6585887692084
"45","knn5","SMA",0,"Unclass",25.5508133433131,21.2307665603814
"46","knn1","Unclass",0,"Unclass",13.6332895952057,9.45304183847704
"47","knn3","Unclass",0,"Unclass",19.4210203315413,13.3589631184648
"48","knn5","Unclass",0,"Unclass",24.3332030704233,16.9443125996576
