"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",19.0781457262006,9.6602277405852
"2","knn3","CD8",1,"CD8",31.3033144030675,20.5993305933997
"3","knn5","CD8",1,"CD8",40.9948017564441,30.198018189306
"4","knn1","EpCAM",0,"CD8",45.5688692759282,25.0251873119864
"5","knn3","EpCAM",0,"CD8",53.314776980707,30.4515144672411
"6","knn5","EpCAM",0,"CD8",58.8421771125915,34.502017064098
"7","knn1","EpCAM: SMA",0,"CD8",51.3135194286926,32.8975682991907
"8","knn3","EpCAM: SMA",0,"CD8",62.7976147236252,43.83749769041
"9","knn5","EpCAM: SMA",0,"CD8",71.1673749768066,51.7968664889603
"10","knn1","SMA",0,"CD8",19.2050601074409,13.482581355215
"11","knn3","SMA",0,"CD8",25.0942035849043,19.1708510341172
"12","knn5","SMA",0,"CD8",29.6269368012494,23.4056974590774
"13","knn1","Unclass",0,"CD8",22.5512482745663,14.5993150524261
"14","knn3","Unclass",0,"CD8",28.6675824524931,19.704987418253
"15","knn5","Unclass",0,"CD8",33.1848033537337,23.3560959920676
"16","knn1","CD8",1,"EpCAM",62.0897720855145,55.1870455813679
"17","knn3","CD8",1,"EpCAM",80.7145428779966,74.3227621238559
"18","knn5","CD8",1,"EpCAM",95.3793233950629,89.0032665876746
"19","knn1","EpCAM",0,"EpCAM",9.01220934201357,8.25651258098796
"20","knn3","EpCAM",0,"EpCAM",11.8723363012302,10.5577743334802
"21","knn5","EpCAM",0,"EpCAM",14.6515750967525,13.08877914041
"22","knn1","EpCAM: SMA",0,"EpCAM",26.4825397887891,16.8834238233829
"23","knn3","EpCAM: SMA",0,"EpCAM",36.2276165004674,24.9824376660771
"24","knn5","EpCAM: SMA",0,"EpCAM",43.4857121630744,30.9488702594719
"25","knn1","SMA",0,"EpCAM",22.4886017064962,18.261708572857
"26","knn3","SMA",0,"EpCAM",29.7645524704891,25.0368952650377
"27","knn5","SMA",0,"EpCAM",35.125194457977,29.9129115904019
"28","knn1","Unclass",0,"EpCAM",18.2330414665828,15.5048379546494
"29","knn3","Unclass",0,"EpCAM",23.4044948346171,20.5541926033611
"30","knn5","Unclass",0,"EpCAM",27.2871983236901,24.2829172590272
"31","knn1","CD8",1,"EpCAM: SMA",61.8650952102502,54.1238394791606
"32","knn3","CD8",1,"EpCAM: SMA",81.5984622180754,74.2216824293969
