"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",15.402752933564,9.05538513813561
"2","knn3","CD8",1,"CD8",23.376447231761,14.1283641545676
"3","knn5","CD8",1,"CD8",29.9294404084371,19.0818930779527
"4","knn1","EpCAM",0,"CD8",72.6652063176827,37.5736609874519
"5","knn3","EpCAM",0,"CD8",82.6844819777013,47.1494991387591
"6","knn5","EpCAM",0,"CD8",89.4922354408783,53.8130419688599
"7","knn1","SMA",0,"CD8",19.058604528249,11.6417352658442
"8","knn3","SMA",0,"CD8",23.5663635673463,16.0258274996467
"9","knn5","SMA",0,"CD8",27.0088971672247,19.2295434926604
"10","knn1","Unclass",0,"CD8",49.9569644547627,34.1058645983376
"11","knn3","Unclass",0,"CD8",61.0293555829066,44.9227425576008
"12","knn5","Unclass",0,"CD8",68.9026333363604,52.2091243494974
"13","knn1","CD8",1,"EpCAM",67.986253546,57.9279725176012
"14","knn3","CD8",1,"EpCAM",89.2923953571188,79.757778566977
"15","knn5","CD8",1,"EpCAM",105.475066606062,96.082125890527
"16","knn1","EpCAM",0,"EpCAM",9.38783841315183,8.46463230152476
"17","knn3","EpCAM",0,"EpCAM",12.2608542065297,10.5896756735254
"18","knn5","EpCAM",0,"EpCAM",15.0754545629179,12.9474045542301
"19","knn1","SMA",0,"EpCAM",16.282820078465,11.4337220536425
"20","knn3","SMA",0,"EpCAM",21.3692785937692,16.2996050625017
"21","knn5","SMA",0,"EpCAM",25.2746207526349,19.7183697758946
"22","knn1","Unclass",0,"EpCAM",27.4399000324401,21.3805986819837
"23","knn3","Unclass",0,"EpCAM",34.5957838605474,27.7388765494271
"24","knn5","Unclass",0,"EpCAM",39.8845161802907,32.3221437381077
"25","knn1","CD8",1,"SMA",55.7429484429131,44.7223657692652
"26","knn3","CD8",1,"SMA",72.8509419775545,62.0608032958457
"27","knn5","CD8",1,"SMA",85.8432724750065,74.4972124330423
"28","knn1","EpCAM",0,"SMA",32.3608925011109,16.1817798773798
"29","knn3","EpCAM",0,"SMA",39.7368502335888,22.2691118796767
"30","knn5","EpCAM",0,"SMA",45.2261815718193,26.7981755881793
"31","knn1","SMA",0,"SMA",9.39617238056025,8.60929730001097
"32","knn3","SMA",0,"SMA",11.8808286738283,10.5845786115292
"33","knn5","SMA",0,"SMA",14.2701736825624,12.6600898131198
"34","knn1","Unclass",0,"SMA",39.7198688006261,25.2507425633394
"35","knn3","Unclass",0,"SMA",49.9978960306045,34.1337850925105
"36","knn5","Unclass",0,"SMA",57.5916838901067,40.2931402786642
"37","knn1","CD8",1,"Unclass",63.0577845702965,50.228477978136
"38","knn3","CD8",1,"Unclass",83.7993422557127,71.3746305864513
"39","knn5","CD8",1,"Unclass",99.2862829587552,86.729885779053
"40","knn1","EpCAM",0,"Unclass",48.8332952348595,23.8726831315893
"41","knn3","EpCAM",0,"Unclass",56.4927195613576,29.6240980436749
"42","knn5","EpCAM",0,"Unclass",61.8537599909203,33.5916717596823
"43","knn1","SMA",0,"Unclass",20.988489713492,14.2225173580485
"44","knn3","SMA",0,"Unclass",27.6028130710126,19.9245695959215
"45","knn5","SMA",0,"Unclass",32.4856782501234,24.0652537588847
"46","knn1","Unclass",0,"Unclass",11.080716280895,9.17060521448859
"47","knn3","Unclass",0,"Unclass",15.0022916338989,12.2843620057851
"48","knn5","Unclass",0,"Unclass",18.4729666787483,15.2304713749429
