"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",12.4158169640496,9.41116358374483
"2","knn3","CD8",1,"CD8",17.6049532316728,14.5136879757506
"3","knn5","CD8",1,"CD8",21.9323643823066,18.7359372789722
"4","knn1","EpCAM",0,"CD8",68.6697214829564,31.6537517523594
"5","knn3","EpCAM",0,"CD8",76.3795461306288,38.3061315085123
"6","knn5","EpCAM",0,"CD8",82.1216530778625,43.2766996716389
"7","knn1","SMA",0,"CD8",12.2810354023522,9.36481713648858
"8","knn3","SMA",0,"CD8",15.7533613944404,12.2849548302502
"9","knn5","SMA",0,"CD8",18.6139018249902,14.8107732914819
"10","knn1","Unclass",0,"CD8",32.9143972544598,17.3667786298808
"11","knn3","Unclass",0,"CD8",43.3021456962063,25.0704448946554
"12","knn5","Unclass",0,"CD8",50.8683654987121,30.6762015369422
"13","knn1","CD8",1,"EpCAM",22.0805358731144,19.471445704995
"14","knn3","CD8",1,"EpCAM",29.6704031294911,27.2297798841084
"15","knn5","CD8",1,"EpCAM",35.3410733547919,32.7681030618153
"16","knn1","EpCAM",0,"EpCAM",10.0351818679443,8.66083136886954
"17","knn3","EpCAM",0,"EpCAM",13.6833360772172,11.5185177393019
"18","knn5","EpCAM",0,"EpCAM",17.0839377841919,14.4937707956011
"19","knn1","SMA",0,"EpCAM",14.7955445284955,11.7324336776301
"20","knn3","SMA",0,"EpCAM",19.112345924854,16.2696039882021
"21","knn5","SMA",0,"EpCAM",22.4498001204776,19.5003585405988
"22","knn1","Unclass",0,"EpCAM",34.8339053192587,20.2871880752361
"23","knn3","Unclass",0,"EpCAM",46.9525159569976,29.332548026024
"24","knn5","Unclass",0,"EpCAM",55.7343474166119,35.680873276238
"25","knn1","CD8",1,"SMA",18.841378916793,15.0233152133608
"26","knn3","CD8",1,"SMA",26.1792871574603,22.229775833998
"27","knn5","CD8",1,"SMA",31.8429291478686,27.5969814935215
"28","knn1","EpCAM",0,"SMA",79.5451091809049,29.1893816309967
"29","knn3","EpCAM",0,"SMA",88.6363910684853,36.7697367128893
"30","knn5","EpCAM",0,"SMA",95.2059525489748,42.4255944166595
"31","knn1","SMA",0,"SMA",8.78518740694473,8.14002456998727
"32","knn3","SMA",0,"SMA",11.0799826123371,10.0267897888294
"33","knn5","SMA",0,"SMA",13.3044693886803,11.9742052031213
"34","knn1","Unclass",0,"SMA",44.2974302747237,24.4364481870829
"35","knn3","Unclass",0,"SMA",57.8958074644932,35.3250547072122
"36","knn5","Unclass",0,"SMA",67.4911521421579,43.1007538827126
"37","knn1","CD8",1,"Unclass",20.1050978756806,15.7613451202616
"38","knn3","CD8",1,"Unclass",27.1030017488527,22.7248191276033
"39","knn5","CD8",1,"Unclass",32.427993991809,27.7980860046337
"40","knn1","EpCAM",0,"Unclass",48.7201831512868,24.5962395497694
"41","knn3","EpCAM",0,"Unclass",56.9435197551209,32.010622570171
"42","knn5","EpCAM",0,"Unclass",63.1108518033499,37.3613163625931
"43","knn1","SMA",0,"Unclass",15.9465241444295,11.4542568506202
"44","knn3","SMA",0,"Unclass",20.8116073262161,16.3382678199279
"45","knn5","SMA",0,"Unclass",24.5954909049614,19.8624636357022
"46","knn1","Unclass",0,"Unclass",10.9381755556882,8.55862138431185
"47","knn3","Unclass",0,"Unclass",14.9573745641085,11.4838087492028
"48","knn5","Unclass",0,"Unclass",18.4197635716705,14.2486346489576
