"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",21.2639760339562,10.2591422643419
"2","knn3","CD8",1,"CD8",34.1642378998571,27.8362751575402
"3","knn5","CD8",1,"CD8",44.2786672459264,39.7634945525646
"4","knn1","EpCAM",0,"CD8",26.1429247324366,15.7800506970032
"5","knn3","EpCAM",0,"CD8",33.3595777381586,21.1744338992777
"6","knn5","EpCAM",0,"CD8",38.6892996258244,25.2708019578681
"7","knn1","EpCAM: SMA",0,"CD8",29.862983914798,16.4076201808801
"8","knn3","EpCAM: SMA",0,"CD8",39.1764931259774,21.7387813323477
"9","knn5","EpCAM: SMA",0,"CD8",46.032075962135,25.8367022238902
"10","knn1","SMA",0,"CD8",12.7798860916035,10.6831643252352
"11","knn3","SMA",0,"CD8",17.0139243356616,15.0088422813714
"12","knn5","SMA",0,"CD8",20.4115961936733,18.2632482848202
"13","knn1","Unclass",0,"CD8",18.9950715458257,15.402921800749
"14","knn3","Unclass",0,"CD8",25.1219651776875,21.8175208332729
"15","knn5","Unclass",0,"CD8",29.7508662220798,26.4664956956906
"16","knn1","CD8",1,"EpCAM",47.3374759584543,40.5940882395445
"17","knn3","CD8",1,"EpCAM",64.0329515699234,57.1353644239846
"18","knn5","CD8",1,"EpCAM",77.1026718106561,69.6528520233511
"19","knn1","EpCAM",0,"EpCAM",11.5194027034422,9.6332756630324
"20","knn3","EpCAM",0,"EpCAM",15.903173673045,14.3545695712747
"21","knn5","EpCAM",0,"EpCAM",19.5993921468232,18.1302226072098
"22","knn1","EpCAM: SMA",0,"EpCAM",14.2710552684353,11.4127122105133
"23","knn3","EpCAM: SMA",0,"EpCAM",19.4857299133878,16.9111193041912
"24","knn5","EpCAM: SMA",0,"EpCAM",23.742845829634,21.0182118182836
"25","knn1","SMA",0,"EpCAM",12.4101052822542,10.5152270541333
"26","knn3","SMA",0,"EpCAM",16.5418517070274,15.0279051599749
"27","knn5","SMA",0,"EpCAM",19.8165669243915,18.257110183041
"28","knn1","Unclass",0,"EpCAM",18.1633202891819,16.6003012020864
"29","knn3","Unclass",0,"EpCAM",24.1567892494647,22.6945463405053
"30","knn5","Unclass",0,"EpCAM",28.7669582657211,27.1144315069795
"31","knn1","CD8",1,"EpCAM: SMA",44.6958651696768,38.6120447529007
"32","knn3","CD8",1,"EpCAM: SMA",60.6081238235821,54.649487363464
"33","knn5","CD8",1,"EpCAM: SMA",73.0683909843751,66.7037030100883
"34","knn1","EpCAM",0,"EpCAM: SMA",12.4237416683924,10.568348972285
"35","knn3","EpCAM",0,"EpCAM: SMA",17.1271716296779,15.7250279551131
"36","knn5","EpCAM",0,"EpCAM: SMA",20.9388295282956,19.5690135055063
