"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",15.7424306664464,9.71750991463433
"2","knn3","CD8",1,"CD8",25.3009746007749,19.4870317286706
"3","knn5","CD8",1,"CD8",33.3574303817616,28.2750559598932
"4","knn1","EpCAM",0,"CD8",13.256202415228,9.76959542129991
"5","knn3","EpCAM",0,"CD8",16.3662319888764,12.7263257585027
"6","knn5","EpCAM",0,"CD8",18.8919304210933,15.1943036808548
"7","knn1","EpCAM: SMA",0,"CD8",269.606237216476,228.52536718737
"8","knn3","EpCAM: SMA",0,"CD8",350.732082707665,334.029055082356
"9","knn5","EpCAM: SMA",0,"CD8",409.62346950116,385.389390844486
"10","knn1","SMA",0,"CD8",235.124418999359,205.444347694599
"11","knn3","SMA",0,"CD8",292.950791222238,276.314604736702
"12","knn5","SMA",0,"CD8",333.617723621666,324.948941057559
"13","knn1","Unclass",0,"CD8",17.8311377449735,13.3304163475867
"14","knn3","Unclass",2.86771717483703e-11,"CD8",22.7293734162238,18.1606486466058
"15","knn5","Unclass",0,"CD8",26.4682279746668,21.6815400436788
"16","knn1","CD8",1,"EpCAM",34.6163774820891,30.617805277323
"17","knn3","CD8",1,"EpCAM",45.2265791665903,41.7960183082347
"18","knn5","CD8",1,"EpCAM",53.6555376793006,50.3991600897446
"19","knn1","EpCAM",0,"EpCAM",8.26379110344816,7.98310716450626
"20","knn3","EpCAM",0,"EpCAM",10.1163353627115,9.59004950547923
"21","knn5","EpCAM",0,"EpCAM",12.0678252085875,11.3545065337779
"22","knn1","EpCAM: SMA",0,"EpCAM",320.08919933284,295.982676843274
"23","knn3","EpCAM: SMA",0,"EpCAM",410.661442483382,399.037692659489
"24","knn5","EpCAM: SMA",0,"EpCAM",471.458670733795,465.359855352689
"25","knn1","SMA",0,"EpCAM",286.456410550208,267.037862483787
"26","knn3","SMA",0,"EpCAM",354.528408807581,347.63261044426
"27","knn5","SMA",0,"EpCAM",401.093118248064,405.206741349116
"28","knn1","Unclass",0,"EpCAM",18.1672274837477,14.5499140890942
"29","knn3","Unclass",0,"EpCAM",22.9587471348815,19.283603576623
"30","knn5","Unclass",0,"EpCAM",26.5999774789418,22.8849684643607
"31","knn1","CD8",1,"EpCAM: SMA",28.8150717537173,23.1663549139692
"32","knn3","CD8",1,"EpCAM: SMA",38.0703697598635,30.5500616931209
"33","knn5","CD8",1,"EpCAM: SMA",45.2485929066715,37.9401167856923
"34","knn1","EpCAM",0,"EpCAM: SMA",10.0349050253433,8.18413098624432
"35","knn3","EpCAM",0,"EpCAM: SMA",12.8902354179566,10.4820475255831
"36","knn5","EpCAM",0,"EpCAM: SMA",15.4427838135107,12.4658612585521
"37","knn1","EpCAM: SMA",5.94043042534409e-08,"EpCAM: SMA",65.0313037117592,27.6371127290822
"38","knn3","EpCAM: SMA",0,"EpCAM: SMA",105.166091276224,71.9131029110273
"39","knn5","EpCAM: SMA",0,"EpCAM: SMA",139.533652332734,108.913611607722
"40","knn1","SMA",2.59792187762287e-14,"EpCAM: SMA",123.422742748495,40.0675679321831
"41","knn3","SMA",0,"EpCAM: SMA",155.717739722534,83.2123264692825
"42","knn5","SMA",0,"EpCAM: SMA",191.259749865306,111.917870795188
"43","knn1","Unclass",2.59792187762287e-14,"EpCAM: SMA",15.8883968313639,12.467958934805
"44","knn3","Unclass",6.66133814775094e-16,"EpCAM: SMA",21.2950414792788,18.7144906762738
"45","knn5","Unclass",0,"EpCAM: SMA",25.6873030168853,21.9239593947433
"46","knn1","CD8",1,"SMA",30.8993039630257,24.0184239817795
"47","knn3","CD8",1,"SMA",40.4875600902381,33.6629922217461
"48","knn5","CD8",1,"SMA",47.6798541999008,39.6503926634027
"49","knn1","EpCAM",1.13323284089972e-09,"SMA",30.9309655878554,16.2380205134701
"50","knn3","EpCAM",0,"SMA",35.7956184439276,21.080803069675
"51","knn5","EpCAM",0,"SMA",39.8905369449534,24.6021969868678
"52","knn1","EpCAM: SMA",0,"SMA",99.0081750740684,64.3459208260157
"53","knn3","EpCAM: SMA",0,"SMA",156.239028162585,103.973544652637
"54","knn5","EpCAM: SMA",0,"SMA",205.904305529437,144.210490221804
"55","knn1","SMA",9.04928354472645e-11,"SMA",40.8399768675182,16.1310166667989
"56","knn3","SMA",3.56954189228986e-06,"SMA",66.661640327284,30.534425793861
"57","knn5","SMA",2.64347843614843e-08,"SMA",87.6242783165057,41.8563236568409
"58","knn1","Unclass",0,"SMA",10.4608695998137,8.87608822446801
"59","knn3","Unclass",0,"SMA",13.884314102008,11.901810233612
"60","knn5","Unclass",0,"SMA",16.9077815908252,14.375920705181
"61","knn1","CD8",1,"Unclass",34.4143490630461,29.6378136845478
"62","knn3","CD8",1,"Unclass",45.3184581065886,40.9614603521728
"63","knn5","CD8",1,"Unclass",53.8954094703381,49.5638304435617
"64","knn1","EpCAM",0,"Unclass",17.6058510471151,10.9110036201989
"65","knn3","EpCAM",0,"Unclass",21.0751146656841,14.4923832808184
"66","knn5","EpCAM",0,"Unclass",23.8433610317305,17.0918273751792
"67","knn1","EpCAM: SMA",0,"Unclass",339.126263376554,307.96343938851
"68","knn3","EpCAM: SMA",0,"Unclass",433.344972738818,423.937716761558
"69","knn5","EpCAM: SMA",0,"Unclass",499.427231158124,505.183843446908
"70","knn1","SMA",0,"Unclass",240.320055030285,215.669422960231
"71","knn3","SMA",0,"Unclass",318.347642553984,313.598285650595
"72","knn5","SMA",0,"Unclass",371.987874683332,388.817291846027
"73","knn1","Unclass",0,"Unclass",8.89099344022804,8.07774721070338
"74","knn3","Unclass",0,"Unclass",11.3802865396158,10.0254676180722
"75","knn5","Unclass",0,"Unclass",13.8305751690259,12.0596384152811
