"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",28.3547400637169,14.1196583414764
"2","knn3","CD8",1,"CD8",48.1721297562578,42.0192540552459
"3","knn5","CD8",1,"CD8",63.1013462638065,58.6449755689241
"4","knn1","EpCAM",0,"CD8",12.0818507929802,10.3886943051227
"5","knn3","EpCAM",0,"CD8",15.1296644410754,13.5338418404099
"6","knn5","EpCAM",0,"CD8",17.5500532061929,16.0516037449491
"7","knn1","SMA",0,"CD8",27.9195117540323,13.2992480512202
"8","knn3","SMA",0,"CD8",36.8731415232591,18.4823421856727
"9","knn5","SMA",0,"CD8",43.3711022581276,21.9915251218131
"10","knn1","Unclass",0,"CD8",24.7724396982737,17.6909547086266
"11","knn3","Unclass",0,"CD8",33.1293133462461,25.7626104466341
"12","knn5","Unclass",0,"CD8",39.4495127195636,31.7844789811594
"13","knn1","CD8",1,"EpCAM",55.0282379898906,49.3340653098849
"14","knn3","CD8",1,"EpCAM",73.9389922213355,68.8397908984518
"15","knn5","CD8",1,"EpCAM",88.7771883176679,83.6410534727695
"16","knn1","EpCAM",0,"EpCAM",8.76249796693922,8.47230783199019
"17","knn3","EpCAM",0,"EpCAM",10.9272945111467,10.4022106364436
"18","knn5","EpCAM",0,"EpCAM",13.1040727713287,12.4817443921171
"19","knn1","SMA",0,"EpCAM",31.8342227500797,15.839823231336
"20","knn3","SMA",0,"EpCAM",41.8410645377765,21.3821529624929
"21","knn5","SMA",0,"EpCAM",49.3317652951663,25.3281876783617
"22","knn1","Unclass",0,"EpCAM",27.2839971115087,21.7441946275326
"23","knn3","Unclass",0,"EpCAM",35.4619151405433,29.0084491053362
"24","knn5","Unclass",0,"EpCAM",41.5575064724972,34.3559149077849
"25","knn1","CD8",1,"SMA",52.4553426971662,46.5394456348596
"26","knn3","CD8",1,"SMA",71.5190865400515,66.2890839248663
"27","knn5","CD8",1,"SMA",86.5517137291609,81.4966267088706
"28","knn1","EpCAM",0,"SMA",11.4666800122959,10.0623058987491
"29","knn3","EpCAM",0,"SMA",14.5935792067676,13.3051382241532
"30","knn5","EpCAM",0,"SMA",17.1392227151577,15.9412453625327
"31","knn1","SMA",0,"SMA",10.1685219204409,8.99444272870731
"32","knn3","SMA",0,"SMA",13.4244631146397,11.6643084937122
"33","knn5","SMA",0,"SMA",16.4463719164252,14.3001796994422
"34","knn1","Unclass",0,"SMA",29.2679181264561,22.8238909916777
"35","knn3","Unclass",0,"SMA",40.208813443821,34.9931413714804
"36","knn5","Unclass",0,"SMA",48.3996378954661,43.2135244033771
"37","knn1","CD8",1,"Unclass",55.4375132101581,47.3193406547466
"38","knn3","CD8",1,"Unclass",75.5211404364853,67.3596910837007
"39","knn5","CD8",1,"Unclass",91.7124789846514,83.113431381455
"40","knn1","EpCAM",0,"Unclass",15.6504592486308,12.0266371026983
"41","knn3","EpCAM",0,"Unclass",19.3329461001174,15.8183365981389
"42","knn5","EpCAM",0,"Unclass",22.1303266569451,18.5049496646794
"43","knn1","SMA",0,"Unclass",52.1018455013845,28.2251660756855
"44","knn3","SMA",0,"Unclass",69.9290766446674,43.1819703036625
"45","knn5","SMA",0,"Unclass",82.0509948578538,54.4642114613484
"46","knn1","Unclass",0,"Unclass",10.8679972181359,8.75728268357239
"47","knn3","Unclass",0,"Unclass",14.8915739167662,11.5650263767381
"48","knn5","Unclass",0,"Unclass",18.4813930387339,14.3088703493405
