"","knn","NearestCellType","KS.pval","CellType","MeanDistance","MedianDistance"
"1","knn1","CD8",1,"CD8",20.0307771769257,10.1178060863
"2","knn3","CD8",1,"CD8",34.0853867474694,26.0189787853963
"3","knn5","CD8",1,"CD8",45.65214534329,39.2647156371632
"4","knn1","EpCAM",0,"CD8",43.808160348695,19.8861761030118
"5","knn3","EpCAM",0,"CD8",50.0010143574618,24.8801293122626
"6","knn5","EpCAM",0,"CD8",54.4065812203269,28.7381813574898
"7","knn1","SMA",0,"CD8",19.2974990072469,11.6777566338734
"8","knn3","SMA",0,"CD8",24.5631667570772,15.6855153990468
"9","knn5","SMA",0,"CD8",28.6062599741883,18.7300291103585
"10","knn1","Unclass",0,"CD8",29.4408952480872,18.1999999999998
"11","knn3","Unclass",0,"CD8",37.0732105268674,25.6919076177355
"12","knn5","Unclass",0,"CD8",42.7917415995088,31.4126061191989
"13","knn1","CD8",1,"EpCAM",52.975619839156,47.3845966533422
"14","knn3","CD8",1,"EpCAM",68.0554872067355,63.279408315836
"15","knn5","CD8",1,"EpCAM",80.3439658187267,75.7584214044089
"16","knn1","EpCAM",0,"EpCAM",9.45298270605374,8.63712915267597
"17","knn3","EpCAM",0,"EpCAM",12.6153815256513,11.2088859760774
"18","knn5","EpCAM",0,"EpCAM",15.6493840734469,13.978525458064
"19","knn1","SMA",0,"EpCAM",15.5672241965889,10.4000000000015
"20","knn3","SMA",0,"EpCAM",20.1643223759349,13.9712183003588
"21","knn5","SMA",0,"EpCAM",23.7561964932901,16.7560941225635
"22","knn1","Unclass",0,"EpCAM",38.4506946424573,32.5
"23","knn3","Unclass",0,"EpCAM",47.4074408320432,41.6562730988423
"24","knn5","Unclass",0,"EpCAM",54.0186567430182,48.3058421566761
"25","knn1","CD8",1,"SMA",52.8693162380024,47.3736213519713
"26","knn3","CD8",1,"SMA",68.3468316686872,63.7070997620963
"27","knn5","CD8",1,"SMA",81.007241090543,76.6285853699023
"28","knn1","EpCAM",0,"SMA",24.4166158897232,14.4810220633756
"29","knn3","EpCAM",0,"SMA",30.0679511494372,19.6098780859617
"30","knn5","EpCAM",0,"SMA",34.3144455943148,23.4022668595012
"31","knn1","SMA",0,"SMA",9.01496188201949,8.5708809348865
"32","knn3","SMA",0,"SMA",11.1777843917818,10.3661132810961
"33","knn5","SMA",0,"SMA",13.3268270090081,12.2495904115787
"34","knn1","Unclass",0,"SMA",42.6744605872545,34.2527371169084
"35","knn3","Unclass",0,"SMA",53.2454340827968,46.0929480090407
"36","knn5","Unclass",0,"SMA",60.928137692739,54.3318469389017
"37","knn1","CD8",1,"Unclass",45.4476624231233,39.1645605104057
"38","knn3","CD8",1,"Unclass",60.6918882905165,55.4630928475437
"39","knn5","CD8",1,"Unclass",72.5624543959085,67.6048674940848
"40","knn1","EpCAM",0,"Unclass",63.6786269449993,42.0460461873154
"41","knn3","EpCAM",0,"Unclass",70.2978753665065,47.1822626651241
"42","knn5","EpCAM",0,"Unclass",74.8865045041041,51.0076553359956
"43","knn1","SMA",0,"Unclass",26.6025636135161,18.7002673777692
"44","knn3","SMA",0,"Unclass",34.1446578586968,25.3777067396985
"45","knn5","SMA",0,"Unclass",39.6813470244319,29.9957898592
"46","knn1","Unclass",0,"Unclass",10.2621825385621,8.82779700718068
"47","knn3","Unclass",0,"Unclass",13.5013335847129,11.0960415244993
"48","knn5","Unclass",0,"Unclass",16.4552400415487,13.2465532792065
